rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.08023255 0.093023255
2 0.0 0.3 1.0 1.0 13.9 14.0 0.85714287 0.8994506 1.0 0.069767445 0.0860465 0.10465116
3 0.0 0.23333335 0.6666667 1.0 14.8 15.0 0.8 0.8652381 0.93333334 0.069767445 0.093023255 0.12790698
4 0.0 0.225 0.5 1.0 15.8 16.0 0.75 0.8166667 0.875 0.08139535 0.10465117 0.15116279
5 0.0 0.22 0.4 1.0 16.7 17.0 0.7058824 0.7845588 0.88235295 0.08139535 0.10697673 0.12790698
6 0.0 0.23333335 0.5 1.0 17.5 18.0 0.7058824 0.7656862 0.8235294 0.08139535 0.111627914 0.15116279
7 0.0 0.22857144 0.42857143 1.0 18.4 19.0 0.6666667 0.73333335 0.7894737 0.093023255 0.12093023 0.1627907
8 0.0 0.2375 0.5 1.0 19.4 20.0 0.6315789 0.70078945 0.75 0.10465116 0.1360465 0.19767442
9 0.0 0.25555557 0.44444445 1.0 20.2 21.0 0.6 0.6735338 0.7619048 0.10465116 0.14186046 0.19767442
10 0.0 0.26 0.5 1.0 21.2 22.0 0.59090906 0.6509957 0.72727275 0.11627907 0.14767441 0.19767442
11 0.0 0.25454545 0.54545456 1.0 22.0 23.0 0.5652174 0.62728214 0.6956522 0.11627907 0.16162792 0.22093023
12 0.0 0.24166664 0.5 1.0 23.0 24.0 0.5416667 0.5958004 0.6666667 0.11627907 0.16744187 0.22093023
13 0.0 0.23846154 0.46153846 1.0 23.8 25.0 0.52 0.58433723 0.6666667 0.10465116 0.172093 0.22093023
14 0.071428575 0.25714284 0.5 1.0 24.6 26.0 0.5 0.5739041 0.68 0.10465116 0.17674418 0.23255815
15 0.06666667 0.25333333 0.46666667 1.0 25.3 27.0 0.5185185 0.5618169 0.65384614 0.10465116 0.18604651 0.24418604
16 0.125 0.26875 0.5 1.0 26.1 28.0 0.5 0.5560883 0.6296296 0.11627907 0.19534883 0.23255815
17 0.11764706 0.27058825 0.5294118 1.0 27.0 28.0 0.5 0.5412373 0.60714287 0.11627907 0.20232558 0.24418604
18 0.11111111 0.2611111 0.5555556 1.0 27.6 29.0 0.4827586 0.52540696 0.64285713 0.12790698 0.20581396 0.24418604
19 0.10526316 0.25789475 0.5263158 1.0 28.5 30.0 0.46666667 0.5159024 0.62068963 0.13953489 0.21162792 0.25581396
20 0.15 0.26500005 0.5 1.0 29.0 30.0 0.46666667 0.5206002 0.6333333 0.15116279 0.21627907 0.25581396
21 0.14285715 0.26190478 0.47619048 1.0 29.7 31.0 0.4516129 0.504835 0.61290324 0.15116279 0.21976745 0.27906978
22 0.13636364 0.25454548 0.45454547 1.0 30.5 32.0 0.4375 0.49502248 0.61290324 0.15116279 0.2267442 0.29069766
23 0.13043478 0.2521739 0.4347826 1.0 31.2 33.0 0.43333334 0.48724946 0.58064514 0.1627907 0.23139536 0.30232558
24 0.125 0.25 0.45833334 1.0 31.9 33.0 0.41935483 0.4792149 0.5625 0.1627907 0.23720932 0.30232558
25 0.16 0.252 0.48 1.0 32.7 34.0 0.42424244 0.4738489 0.59375 0.1627907 0.2395349 0.30232558
26 0.15384616 0.25384617 0.5 1.0 33.1 35.0 0.4117647 0.4776079 0.59375 0.1744186 0.23720932 0.30232558
27 0.14814815 0.2703704 0.5185185 1.0 33.6 36.0 0.42424244 0.47646436 0.59375 0.1744186 0.2395349 0.30232558
28 0.14285715 0.27500004 0.5 1.0 34.4 37.0 0.4117647 0.46573433 0.625 0.1744186 0.24534884 0.30232558
29 0.1724138 0.27931035 0.51724136 1.0 34.9 37.0 0.4117647 0.467851 0.6060606 0.1744186 0.25 0.30232558
30 0.16666667 0.28333336 0.5 1.0 35.6 38.0 0.41666666 0.4618675 0.5882353 0.18604651 0.26046515 0.30232558
31 0.16129032 0.28387097 0.48387095 1.0 36.3 39.0 0.3888889 0.45310226 0.6 0.22093023 0.26627907 0.30232558
32 0.1875 0.29375 0.5 1.0 37.0 39.0 0.3783784 0.44697008 0.5555556 0.22093023 0.26976746 0.3139535
33 0.18181819 0.2939394 0.4848485 1.0 37.5 40.0 0.3783784 0.44614512 0.5675676 0.24418604 0.272093 0.3139535
34 0.1764706 0.29705885 0.5 1.0 37.9 41.0 0.36842105 0.4465362 0.57894737 0.24418604 0.27790698 0.3488372
35 0.17142858 0.3 0.4857143 1.0 38.3 41.0 0.35897437 0.43926096 0.53846157 0.24418604 0.28488374 0.3488372
36 0.16666667 0.2972222 0.5 1.0 38.9 42.0 0.375 0.43519378 0.53846157 0.24418604 0.29186043 0.3604651
37 0.16216215 0.30270272 0.4864865 1.0 39.6 43.0 0.36585367 0.4352756 0.525 0.25581396 0.29999998 0.39534885
38 0.15789473 0.3 0.47368422 1.0 40.3 44.0 0.36585367 0.42523757 0.5121951 0.25581396 0.30348834 0.40697673
39 0.17948718 0.30512822 0.4871795 1.0 40.8 44.0 0.3809524 0.42726842 0.5 0.26744187 0.3127907 0.40697673
40 0.2 0.315 0.5 1.0 41.4 45.0 0.37209302 0.42600837 0.5 0.27906978 0.31860465 0.40697673
41 0.19512194 0.31707317 0.4878049 1.0 42.2 46.0 0.3409091 0.415914 0.52380955 0.29069766 0.32674414 0.40697673
42 0.1904762 0.31904763 0.5 1.0 42.4 45.0 0.3409091 0.41847688 0.5116279 0.29069766 0.3348837 0.43023255
43 0.18604651 0.31627905 0.4883721 1.0 42.9 45.0 0.3409091 0.41316995 0.5116279 0.29069766 0.33837205 0.43023255
44 0.18181819 0.3204545 0.5 1.0 43.5 46.0 0.35555556 0.4144784 0.5 0.29069766 0.34069765 0.44186047
45 0.17777778 0.3222222 0.51111114 1.0 44.0 47.0 0.3478261 0.40761137 0.46666667 0.29069766 0.34186044 0.45348838
46 0.19565217 0.3195652 0.5 1.0 44.4 48.0 0.3478261 0.40630442 0.46666667 0.30232558 0.34883717 0.45348838
47 0.19148937 0.3212766 0.4893617 1.0 45.0 49.0 0.3478261 0.40524912 0.45652175 0.30232558 0.35465112 0.45348838
48 0.20833333 0.3229167 0.5 1.0 45.5 50.0 0.35416666 0.40342322 0.45652175 0.30232558 0.36279064 0.4651163
49 0.20408164 0.32244903 0.48979592 1.0 45.9 51.0 0.3529412 0.4023075 0.44680852 0.3139535 0.36511624 0.4651163
50 0.2 0.32199997 0.48 1.0 46.3 52.0 0.34615386 0.4010822 0.44680852 0.3139535 0.37558135 0.4651163
51 0.19607843 0.32352942 0.49019608 1.0 46.6 52.0 0.34615386 0.39833927 0.44186047 0.3139535 0.3848837 0.4651163
52 0.1923077 0.325 0.5 1.0 46.9 52.0 0.34615386 0.39991167 0.45833334 0.3139535 0.38720927 0.45348838
53 0.20754717 0.33207548 0.49056605 1.0 47.2 52.0 0.34615386 0.39699087 0.4489796 0.3139535 0.39069766 0.4651163
54 0.22222222 0.33703706 0.4814815 1.0 47.8 53.0 0.35416666 0.39616328 0.44 0.3255814 0.39534882 0.4651163
55 0.21818182 0.3381818 0.47272727 1.0 48.1 52.0 0.35416666 0.3913332 0.44 0.3372093 0.3965116 0.4651163
56 0.23214285 0.3375 0.48214287 1.0 48.7 53.0 0.3469388 0.39100733 0.44680852 0.3372093 0.39883718 0.4651163
57 0.22807017 0.3403509 0.49122807 1.0 49.1 54.0 0.36 0.39407182 0.42553192 0.3372093 0.40232557 0.4651163
58 0.22413793 0.3448276 0.4827586 1.0 49.6 54.0 0.3529412 0.39023048 0.42553192 0.3488372 0.40581393 0.47674417
59 0.22033899 0.3440678 0.4915254 1.0 50.0 54.0 0.35185185 0.38938466 0.42553192 0.3372093 0.4127907 0.5
60 0.21666667 0.34666663 0.5 1.0 50.4 55.0 0.35185185 0.38803124 0.4347826 0.3372093 0.4127907 0.5116279
61 0.22950819 0.35081968 0.5081967 1.0 50.8 56.0 0.33333334 0.38516387 0.4347826 0.3372093 0.41395348 0.5116279
62 0.24193548 0.3516129 0.5 1.0 51.3 57.0 0.35185185 0.38727885 0.4347826 0.3139535 0.41860467 0.5232558
63 0.23809524 0.35238093 0.4920635 1.0 51.6 57.0 0.35185185 0.3872146 0.4347826 0.3139535 0.41511625 0.53488374
64 0.25 0.35625 0.484375 1.0 51.6 57.0 0.33333334 0.38533276 0.4347826 0.3139535 0.4244186 0.53488374
65 0.24615385 0.35384616 0.47692308 1.0 52.0 58.0 0.33333334 0.3824976 0.4347826 0.30232558 0.43023252 0.53488374
66 0.24242425 0.3560606 0.46969697 1.0 52.4 59.0 0.33333334 0.38118348 0.42553192 0.30232558 0.4418605 0.53488374
67 0.23880596 0.35373133 0.47761193 1.0 52.9 59.0 0.33333334 0.3790099 0.41666666 0.3139535 0.45116282 0.53488374
68 0.25 0.35588235 0.4852941 1.0 53.2 59.0 0.33898306 0.3807543 0.42 0.3139535 0.45232558 0.53488374
69 0.24637681 0.3565217 0.49275362 1.0 53.6 59.0 0.33898306 0.38169104 0.42 0.3139535 0.4488372 0.53488374
70 0.24285714 0.35285717 0.4857143 1.0 53.9 59.0 0.33898306 0.3811876 0.4117647 0.27906978 0.45232558 0.53488374
71 0.23943663 0.35352117 0.47887325 1.0 54.1 60.0 0.33333334 0.37983075 0.40816328 0.27906978 0.45348835 0.54651165
