rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 54.6 55.0 0.10909091 0.11171718 0.12727273 0.8372093 0.8930232 0.95348835
2 0.0 0.3 0.5 1.0 55.6 56.0 0.10714286 0.113311686 0.12727273 0.8372093 0.88953483 0.95348835
3 0.0 0.3333333 0.6666667 1.0 56.3 57.0 0.10526316 0.11717477 0.14035088 0.8372093 0.88953483 0.95348835
4 0.0 0.325 0.5 1.0 57.3 58.0 0.10344828 0.12044768 0.14035088 0.8372093 0.89069766 0.95348835
5 0.0 0.32000002 0.6 1.0 58.2 59.0 0.10344828 0.12198262 0.13793103 0.8372093 0.89069766 0.95348835
6 0.0 0.31666666 0.5 1.0 59.2 60.0 0.10169491 0.12506428 0.15254237 0.8372093 0.88953483 0.95348835
7 0.0 0.3142857 0.42857143 1.0 59.9 61.0 0.09836066 0.12861443 0.16666667 0.8372093 0.8918605 0.94186044
8 0.0 0.3125 0.5 1.0 60.4 61.0 0.114754096 0.13415301 0.16666667 0.8488372 0.8930233 0.94186044
9 0.0 0.33333334 0.5555556 1.0 61.0 62.0 0.11290322 0.1328142 0.16393442 0.8488372 0.8930233 0.94186044
10 0.1 0.34 0.6 1.0 61.9 63.0 0.11111111 0.13245657 0.16129032 0.8488372 0.9 0.94186044
11 0.18181819 0.35454547 0.54545456 1.0 62.5 64.0 0.109375 0.1328022 0.16129032 0.8604651 0.90465117 0.94186044
12 0.16666667 0.35 0.5833333 1.0 63.2 65.0 0.109375 0.13616005 0.16129032 0.8488372 0.905814 0.96511626
13 0.15384616 0.3615385 0.61538464 1.0 64.0 66.0 0.11111111 0.13913858 0.16666667 0.8488372 0.90348846 0.96511626
14 0.21428572 0.36428574 0.5714286 1.0 64.7 67.0 0.109375 0.1328692 0.16666667 0.8488372 0.91279066 0.9767442
15 0.2 0.36 0.53333336 1.0 65.3 67.0 0.109375 0.13626733 0.171875 0.8372093 0.9139534 0.9767442
16 0.1875 0.35 0.5625 1.0 66.0 68.0 0.11764706 0.13941309 0.16923077 0.8488372 0.9151163 0.9767442
17 0.1764706 0.3529412 0.5294118 1.0 66.3 68.0 0.11764706 0.14188439 0.16923077 0.8604651 0.91279066 0.9767442
18 0.16666667 0.3555555 0.5 1.0 66.9 69.0 0.11594203 0.14059852 0.16666667 0.8488372 0.91279066 0.9767442
19 0.15789473 0.34210527 0.47368422 1.0 67.5 69.0 0.11594203 0.14086977 0.1641791 0.8488372 0.91627914 0.9767442
20 0.15 0.34 0.5 1.0 68.0 70.0 0.11594203 0.1426827 0.1641791 0.8488372 0.9139535 0.96511626
21 0.14285715 0.34285718 0.52380955 1.0 68.3 70.0 0.11594203 0.1434907 0.16176471 0.8488372 0.91046506 0.96511626
22 0.13636364 0.34545454 0.5 1.0 68.8 70.0 0.11594203 0.14673573 0.17391305 0.8488372 0.91046506 0.96511626
23 0.13043478 0.33478257 0.47826087 1.0 69.9 71.0 0.114285715 0.14594728 0.17142858 0.8488372 0.90930235 0.96511626
24 0.125 0.33333334 0.5 1.0 70.3 71.0 0.112676054 0.14658473 0.17142858 0.8372093 0.90348834 0.96511626
25 0.12 0.32399997 0.48 1.0 70.6 72.0 0.112676054 0.14741059 0.17142858 0.8372093 0.8965117 0.95348835
26 0.115384616 0.3192308 0.46153846 1.0 71.2 73.0 0.112676054 0.14890262 0.16901408 0.8372093 0.8988372 0.95348835
27 0.11111111 0.3222222 0.44444445 1.0 71.6 74.0 0.112676054 0.1508556 0.18055555 0.8372093 0.8953487 0.95348835
28 0.10714286 0.32142857 0.4642857 1.0 72.2 74.0 0.112676054 0.15101328 0.18055555 0.8372093 0.8953487 0.95348835
29 0.10344828 0.31379312 0.44827586 1.0 73.1 75.0 0.11111111 0.15190598 0.18055555 0.8488372 0.894186 0.95348835
30 0.13333334 0.32333335 0.46666667 1.0 73.3 76.0 0.11111111 0.15016605 0.18055555 0.8372093 0.89069766 0.95348835
31 0.12903225 0.32903227 0.4516129 1.0 73.8 76.0 0.11111111 0.15312889 0.1780822 0.8372093 0.8848837 0.95348835
32 0.15625 0.325 0.4375 1.0 74.4 77.0 0.11111111 0.15455231 0.1891892 0.81395346 0.8837209 0.95348835
33 0.15151516 0.32727274 0.42424244 1.0 74.6 77.0 0.11111111 0.15544635 0.1891892 0.81395346 0.8837209 0.95348835
34 0.14705883 0.32647058 0.44117647 1.0 75.1 78.0 0.11111111 0.15442595 0.1891892 0.7790698 0.88023263 0.96511626
35 0.14285715 0.3257143 0.45714286 1.0 75.6 79.0 0.11111111 0.15596701 0.18666667 0.7790698 0.87674415 0.96511626
36 0.16666667 0.3277778 0.44444445 1.0 75.8 79.0 0.10958904 0.15827012 0.18666667 0.8023256 0.8790698 0.96511626
37 0.16216215 0.32702702 0.43243244 1.0 76.5 79.0 0.10810811 0.16064754 0.18421052 0.81395346 0.8860465 0.94186044
38 0.15789473 0.3263158 0.4473684 1.0 77.1 80.0 0.10666667 0.16078028 0.19480519 0.8255814 0.8883721 0.94186044
39 0.17948718 0.3282051 0.43589744 1.0 77.3 80.0 0.10666667 0.157814 0.19480519 0.8255814 0.89069766 0.95348835
40 0.2 0.3325 0.45 1.0 77.7 81.0 0.10666667 0.15696754 0.18181819 0.8255814 0.8872093 0.95348835
41 0.19512194 0.33414632 0.46341464 1.0 78.1 81.0 0.10666667 0.15480323 0.17948718 0.7906977 0.88023263 0.9302326
42 0.1904762 0.3285714 0.45238096 1.0 78.9 81.0 0.103896104 0.15581964 0.17721519 0.7906977 0.883721 0.95348835
43 0.18604651 0.33023256 0.4651163 1.0 79.3 81.0 0.102564104 0.15631333 0.1875 0.7906977 0.8802325 0.95348835
44 0.18181819 0.32954544 0.47727272 1.0 79.8 82.0 0.101265825 0.15785995 0.1875 0.7906977 0.8790698 0.95348835
45 0.17777778 0.32888892 0.46666667 1.0 80.1 82.0 0.1 0.15729684 0.18518518 0.81395346 0.8790698 0.94186044
46 0.17391305 0.32608694 0.45652175 1.0 80.4 83.0 0.1125 0.15795498 0.18987341 0.81395346 0.88023263 0.9302326
47 0.17021276 0.32553193 0.44680852 1.0 80.5 83.0 0.1125 0.1602104 0.20253165 0.81395346 0.8790698 0.9302326
48 0.1875 0.325 0.45833334 1.0 80.8 83.0 0.11111111 0.15846153 0.20253165 0.81395346 0.8790698 0.9302326
49 0.18367347 0.32040817 0.4489796 1.0 81.4 84.0 0.12195122 0.15855137 0.20253165 0.81395346 0.88023263 0.9302326
