rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.81395346 0.8802325 0.95348835
2 0.0 0.25 1.0 1.0 54.2 55.0 0.10909091 0.11441077 0.12962963 0.8023256 0.872093 0.95348835
3 0.0 0.23333335 0.6666667 1.0 54.4 55.0 0.10909091 0.11579125 0.12962963 0.7906977 0.8651163 0.94186044
4 0.0 0.3 0.75 1.0 54.5 56.0 0.10909091 0.117349684 0.14285715 0.7790698 0.8639535 0.94186044
5 0.0 0.28000003 0.6 1.0 54.8 56.0 0.10714286 0.11672559 0.14285715 0.7790698 0.8627907 0.94186044
6 0.0 0.28333333 0.6666667 1.0 55.0 57.0 0.10526316 0.11628699 0.14035088 0.7790698 0.8569767 0.95348835
7 0.0 0.27142859 0.5714286 1.0 55.3 57.0 0.10526316 0.11745659 0.14035088 0.7906977 0.8534883 0.95348835
8 0.0 0.2625 0.625 1.0 55.4 57.0 0.10526316 0.11907275 0.14035088 0.76744187 0.8430232 0.95348835
9 0.0 0.3 0.6666667 1.0 55.5 57.0 0.10526316 0.11885345 0.14035088 0.76744187 0.8395349 0.95348835
10 0.0 0.29000002 0.7 1.0 56.0 58.0 0.10344828 0.11954963 0.15789473 0.76744187 0.8418605 0.9302326
11 0.0 0.2909091 0.6363636 1.0 56.1 59.0 0.10344828 0.119345084 0.15789473 0.7790698 0.84069777 0.9302326
12 0.0 0.28333333 0.5833333 1.0 56.3 59.0 0.10169491 0.11897494 0.15789473 0.76744187 0.8418605 0.96511626
13 0.0 0.2923077 0.61538464 1.0 56.4 59.0 0.10169491 0.118702695 0.15517241 0.76744187 0.8395349 0.96511626
14 0.071428575 0.2928571 0.5714286 1.0 56.6 59.0 0.10169491 0.11829616 0.15517241 0.74418604 0.83837205 0.96511626
15 0.06666667 0.29333335 0.6 1.0 56.7 59.0 0.10169491 0.11978904 0.15517241 0.73255813 0.83255816 0.96511626
16 0.0625 0.2875 0.625 1.0 56.7 59.0 0.10169491 0.12160722 0.15517241 0.68604654 0.8255814 0.96511626
17 0.05882353 0.28235298 0.5882353 1.0 56.8 60.0 0.1 0.12504163 0.15517241 0.6744186 0.8174418 0.96511626
18 0.055555556 0.28333336 0.5555556 1.0 56.9 60.0 0.10526316 0.12652032 0.15517241 0.6395349 0.81976736 0.96511626
