rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8372093 0.8918605 0.95348835
2 0.0 0.25 0.5 1.0 54.2 55.0 0.10909091 0.11626264 0.12962963 0.8255814 0.88139534 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.4 55.0 0.10909091 0.11585859 0.12962963 0.8255814 0.87558144 0.9302326
4 0.0 0.25 0.5 1.0 54.5 56.0 0.10909091 0.1174495 0.12962963 0.81395346 0.8709303 0.9302326
5 0.0 0.26000002 0.6 1.0 54.7 56.0 0.10909091 0.11886364 0.14814815 0.81395346 0.8709303 0.9302326
6 0.0 0.26666665 0.5 1.0 55.0 57.0 0.10714286 0.12191756 0.16666667 0.81395346 0.8651163 0.94186044
7 0.0 0.2714286 0.42857143 1.0 55.3 57.0 0.10714286 0.123144105 0.16666667 0.8372093 0.872093 0.94186044
8 0.0 0.2625 0.5 1.0 55.4 57.0 0.10714286 0.12290841 0.16666667 0.81395346 0.872093 0.94186044
9 0.0 0.3 0.5555556 1.0 55.5 57.0 0.10526316 0.12272044 0.16666667 0.81395346 0.872093 0.94186044
10 0.0 0.3 0.5 1.0 55.9 57.0 0.10526316 0.1237013 0.16666667 0.8372093 0.8790698 0.94186044
11 0.09090909 0.3 0.45454547 1.0 55.9 57.0 0.10526316 0.1237013 0.16666667 0.81395346 0.87558144 0.9186047
12 0.083333336 0.29999998 0.5 1.0 56.1 57.0 0.10526316 0.12493335 0.16363636 0.8372093 0.877907 0.9186047
13 0.07692308 0.30769232 0.53846157 1.0 56.2 58.0 0.10526316 0.12829527 0.18181819 0.8372093 0.8709303 0.9186047
14 0.14285715 0.30714288 0.5 1.0 56.5 58.0 0.10344828 0.12938115 0.18181819 0.8023256 0.8720931 0.9186047
15 0.13333334 0.30666667 0.46666667 1.0 56.6 58.0 0.10344828 0.12905648 0.17857143 0.7906977 0.8651163 0.90697676
16 0.125 0.3 0.5 1.0 56.6 58.0 0.10344828 0.12905648 0.17857143 0.7906977 0.86162794 0.90697676
17 0.11764706 0.30588233 0.47058824 1.0 56.7 58.0 0.10344828 0.12884475 0.17857143 0.7790698 0.85813963 0.90697676
18 0.11111111 0.31111115 0.44444445 1.0 57.0 59.0 0.10169491 0.12812234 0.1754386 0.7790698 0.8569768 0.9186047
19 0.10526316 0.30526313 0.47368422 1.0 57.1 59.0 0.10169491 0.12610039 0.1754386 0.7790698 0.85 0.9302326
20 0.15 0.305 0.45 1.0 57.3 60.0 0.10714286 0.12915048 0.1754386 0.7790698 0.85 0.9302326
21 0.14285715 0.31904763 0.47619048 1.0 57.2 60.0 0.10714286 0.12935504 0.1754386 0.7790698 0.8476745 0.9186047
22 0.13636364 0.3181818 0.45454547 1.0 57.4 60.0 0.10714286 0.12886134 0.1754386 0.7790698 0.85465115 0.90697676
23 0.13043478 0.3086956 0.4347826 1.0 57.6 60.0 0.10714286 0.13018319 0.1754386 0.76744187 0.84069765 0.90697676
24 0.125 0.30416667 0.45833334 1.0 57.5 60.0 0.10909091 0.13379905 0.19298245 0.75581396 0.8360465 0.90697676
25 0.12 0.304 0.48 1.0 57.5 60.0 0.10909091 0.13379905 0.19298245 0.76744187 0.8267442 0.90697676
26 0.115384616 0.29230767 0.46153846 1.0 57.4 60.0 0.10909091 0.13392307 0.19298245 0.76744187 0.8313953 0.89534885
27 0.11111111 0.29259259 0.4814815 1.0 57.4 60.0 0.10909091 0.13740791 0.19298245 0.76744187 0.82906973 0.89534885
28 0.10714286 0.28928572 0.4642857 1.0 57.6 61.0 0.10909091 0.13694735 0.19298245 0.76744187 0.82558143 0.872093
29 0.10344828 0.2862069 0.4827586 1.0 57.6 61.0 0.10909091 0.13694735 0.19298245 0.75581396 0.8151163 0.872093
30 0.1 0.29000002 0.46666667 1.0 57.6 62.0 0.11111111 0.13855074 0.19298245 0.7209302 0.8081396 0.8604651
31 0.12903225 0.3064516 0.4516129 1.0 57.7 62.0 0.10909091 0.13644502 0.19298245 0.7209302 0.8069768 0.872093
32 0.15625 0.309375 0.4375 1.0 58.0 62.0 0.10909091 0.13578992 0.19298245 0.7209302 0.8 0.872093
33 0.18181819 0.3151515 0.42424244 1.0 58.0 62.0 0.10909091 0.13578992 0.19298245 0.7209302 0.79651165 0.872093
34 0.1764706 0.3147059 0.4117647 1.0 58.0 62.0 0.10169491 0.1339516 0.17741935 0.6976744 0.79186046 0.872093
35 0.2 0.32 0.4 1.0 58.2 62.0 0.10909091 0.13520287 0.17741935 0.6976744 0.79186046 0.872093
36 0.22222222 0.32222223 0.41666666 1.0 58.3 62.0 0.10909091 0.13675524 0.17741935 0.6744186 0.7965116 0.872093
37 0.21621622 0.3243243 0.43243244 1.0 58.2 61.0 0.10909091 0.13383119 0.16393442 0.6976744 0.78837204 0.872093
38 0.23684211 0.32105264 0.42105263 1.0 58.4 62.0 0.10909091 0.13162328 0.16393442 0.7209302 0.78604656 0.88372093
39 0.23076923 0.3230769 0.41025642 1.0 58.5 62.0 0.11666667 0.13323691 0.16393442 0.7209302 0.7930232 0.88372093
40 0.225 0.3175 0.4 1.0 58.4 62.0 0.11666667 0.13346289 0.16393442 0.6976744 0.7790698 0.8488372
41 0.2195122 0.32439023 0.41463414 1.0 58.4 62.0 0.11666667 0.13346289 0.16393442 0.68604654 0.7767442 0.8488372
42 0.23809524 0.32619047 0.42857143 1.0 58.6 62.0 0.11666667 0.13299683 0.16393442 0.6744186 0.78023255 0.89534885
