rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 53.2 54.0 0.11111111 0.112788275 0.11320755 0.8372093 0.8802325 0.95348835
2 0.0 0.2 0.5 1.0 52.6 54.0 0.11111111 0.11594635 0.12962963 0.8023256 0.866279 0.94186044
3 0.0 0.2 0.6666667 1.0 52.0 54.0 0.11111111 0.11732216 0.13207547 0.76744187 0.8569768 0.94186044
4 0.0 0.25 0.5 1.0 51.5 54.0 0.11111111 0.11846346 0.13207547 0.74418604 0.84651166 0.94186044
5 0.0 0.24000001 0.6 1.0 50.9 54.0 0.11111111 0.119913675 0.13461539 0.7209302 0.8360465 0.9302326
6 0.0 0.25 0.5 1.0 50.4 54.0 0.11111111 0.121130325 0.13461539 0.7209302 0.8267442 0.9302326
7 0.0 0.25714287 0.42857143 1.0 50.0 53.0 0.11320755 0.12208612 0.13461539 0.7209302 0.81860465 0.9302326
8 0.0 0.25 0.5 1.0 49.3 52.0 0.115384616 0.12379799 0.13461539 0.68604654 0.79651165 0.89534885
9 0.0 0.28888887 0.5555556 1.0 49.1 53.0 0.11764706 0.12431644 0.13333334 0.68604654 0.794186 0.89534885
10 0.0 0.28000003 0.5 1.0 48.7 52.0 0.11764706 0.12541695 0.13636364 0.68604654 0.7953488 0.89534885
11 0.09090909 0.2909091 0.45454547 1.0 48.1 51.0 0.12 0.12697336 0.13725491 0.6744186 0.79186046 0.89534885
12 0.083333336 0.29166666 0.41666666 1.0 47.7 50.0 0.12 0.13013668 0.14285715 0.6511628 0.7825581 0.88372093
13 0.07692308 0.3 0.46153846 1.0 47.4 51.0 0.11764706 0.1310567 0.14285715 0.6511628 0.77093023 0.88372093
14 0.071428575 0.29285714 0.42857143 1.0 46.7 50.0 0.12 0.13303052 0.14285715 0.627907 0.76279074 0.88372093
15 0.06666667 0.28666666 0.46666667 1.0 45.9 49.0 0.12244898 0.13540627 0.14634146 0.60465115 0.74883723 0.872093
16 0.0625 0.2875 0.5 1.0 45.2 49.0 0.12244898 0.1375806 0.15 0.54651165 0.73139536 0.872093
17 0.05882353 0.2882353 0.5294118 1.0 44.7 50.0 0.125 0.13914518 0.15384616 0.54651165 0.727907 0.872093
18 0.055555556 0.2944444 0.5 1.0 44.4 50.0 0.125 0.14019331 0.15789473 0.54651165 0.7232558 0.89534885
