rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11656566 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.7 57.0 0.10714286 0.11491058 0.12727273 0.8372093 0.8860465 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.8 59.0 0.10526316 0.11963384 0.14035088 0.8372093 0.8872093 0.95348835
4 0.0 0.325 0.5 1.0 57.6 60.0 0.10344828 0.12156427 0.14035088 0.8372093 0.88953483 0.95348835
5 0.0 0.32000002 0.6 1.0 58.7 60.0 0.10169491 0.12094523 0.13793103 0.8372093 0.89069766 0.95348835
6 0.0 0.3333333 0.6666667 1.0 59.6 61.0 0.1 0.122527435 0.15 0.8372093 0.89069766 0.95348835
7 0.0 0.34285718 0.71428573 1.0 60.5 63.0 0.09836066 0.12238977 0.15 0.8372093 0.8918605 0.95348835
8 0.0 0.3375 0.625 1.0 61.5 64.0 0.09677419 0.12679385 0.14754099 0.8372093 0.88953495 0.95348835
9 0.0 0.3666667 0.6666667 1.0 61.9 64.0 0.0952381 0.1292089 0.15625 0.8372093 0.88953495 0.95348835
10 0.0 0.35999998 0.7 1.0 62.9 64.0 0.09375 0.12879625 0.15625 0.8372093 0.8930233 0.95348835
11 0.09090909 0.38181815 0.72727275 1.0 63.5 66.0 0.09375 0.12903528 0.15151516 0.8372093 0.89418614 0.95348835
12 0.083333336 0.37499997 0.75 1.0 64.1 66.0 0.09375 0.12933126 0.15151516 0.8604651 0.9 0.94186044
13 0.07692308 0.3692308 0.7692308 1.0 64.9 67.0 0.10606061 0.12938038 0.15151516 0.8488372 0.8965117 0.94186044
14 0.14285715 0.37142855 0.71428573 1.0 65.5 67.0 0.104477614 0.12667169 0.15151516 0.8488372 0.8965117 0.94186044
15 0.13333334 0.38000003 0.6666667 1.0 66.1 68.0 0.104477614 0.12558302 0.14925373 0.8488372 0.8965117 0.94186044
16 0.125 0.36875 0.625 1.0 67.0 69.0 0.104477614 0.12830006 0.16176471 0.8488372 0.8953489 0.94186044
17 0.1764706 0.3647059 0.5882353 1.0 67.5 70.0 0.104477614 0.13029888 0.16176471 0.8488372 0.89883727 0.9767442
18 0.16666667 0.3611111 0.5555556 1.0 68.2 71.0 0.10294118 0.13041893 0.1594203 0.8488372 0.90232563 0.9767442
19 0.15789473 0.35263157 0.57894737 1.0 69.0 72.0 0.10144927 0.13038681 0.15714286 0.8488372 0.90465117 0.95348835
20 0.15 0.35500002 0.6 1.0 69.5 72.0 0.10144927 0.12796454 0.15492958 0.8372093 0.90232563 0.95348835
21 0.14285715 0.35714287 0.5714286 1.0 69.9 72.0 0.10144927 0.12720823 0.15492958 0.8488372 0.9069768 0.95348835
22 0.13636364 0.35909092 0.59090906 1.0 70.4 74.0 0.11111111 0.12777388 0.15492958 0.8372093 0.9069768 0.95348835
23 0.13043478 0.3521739 0.5652174 1.0 71.7 75.0 0.11111111 0.12686509 0.15277778 0.8372093 0.905814 0.95348835
24 0.125 0.35 0.5833333 1.0 72.1 76.0 0.10958904 0.12756416 0.15277778 0.8372093 0.90348834 0.95348835
25 0.12 0.34399998 0.6 1.0 72.6 76.0 0.10810811 0.1280866 0.15277778 0.8372093 0.8988372 0.95348835
26 0.115384616 0.34230772 0.61538464 1.0 73.2 76.0 0.10666667 0.12702127 0.15068494 0.8372093 0.8976744 0.95348835
27 0.11111111 0.34074074 0.5925926 1.0 73.7 76.0 0.10526316 0.12487485 0.14864865 0.8372093 0.89534885 0.95348835
28 0.10714286 0.33571428 0.5714286 1.0 74.4 77.0 0.11111111 0.12501445 0.14864865 0.8488372 0.8976744 0.95348835
29 0.10344828 0.33448276 0.5862069 1.0 75.1 77.0 0.10810811 0.12515157 0.15789473 0.8604651 0.8988372 0.95348835
30 0.1 0.34666666 0.6 1.0 75.5 78.0 0.10666667 0.12587085 0.15789473 0.8604651 0.8988372 0.95348835
31 0.09677419 0.3483871 0.58064514 1.0 75.9 78.0 0.10666667 0.12255516 0.14666666 0.8604651 0.894186 0.95348835
32 0.09375 0.346875 0.5625 1.0 76.6 79.0 0.11392405 0.12664118 0.15789473 0.8604651 0.8930232 0.94186044
33 0.09090909 0.35151514 0.54545456 1.0 76.9 79.0 0.11392405 0.1261069 0.15584415 0.8604651 0.89534885 0.94186044
34 0.0882353 0.35 0.5588235 1.0 77.4 81.0 0.11111111 0.12668236 0.15584415 0.8604651 0.89534885 0.94186044
35 0.114285715 0.34857145 0.54285717 1.0 77.9 82.0 0.11111111 0.12837431 0.1625 0.8604651 0.8918605 0.94186044
36 0.11111111 0.34722224 0.5277778 1.0 78.4 83.0 0.11111111 0.13007604 0.1625 0.8604651 0.89069766 0.94186044
37 0.13513513 0.34324327 0.5135135 1.0 78.7 83.0 0.1097561 0.12960339 0.1625 0.8255814 0.8860465 0.94186044
38 0.13157895 0.33684212 0.5 1.0 79.3 84.0 0.10666667 0.13114057 0.1625 0.8255814 0.89069766 0.94186044
39 0.15384616 0.34102565 0.51282054 1.0 79.7 85.0 0.10666667 0.13043585 0.15853658 0.8255814 0.8918605 0.94186044
