rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.0 57.0 0.10714286 0.11269196 0.12727273 0.8372093 0.8837209 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.0 59.0 0.10714286 0.119575545 0.14285715 0.8372093 0.8848837 0.95348835
4 0.0 0.3 0.5 1.0 56.4 60.0 0.10526316 0.12052898 0.14285715 0.8372093 0.8848837 0.95348835
5 0.0 0.3 0.6 1.0 57.1 60.0 0.10526316 0.1208087 0.14035088 0.8372093 0.8848837 0.95348835
6 0.0 0.3 0.5 1.0 57.8 61.0 0.10169491 0.12455858 0.15254237 0.8372093 0.8848837 0.95348835
7 0.0 0.3 0.42857143 1.0 58.6 63.0 0.10169491 0.12628894 0.15254237 0.8372093 0.883721 0.94186044
8 0.0 0.3 0.5 1.0 59.1 64.0 0.10169491 0.1300681 0.15 0.8372093 0.88023263 0.94186044
9 0.0 0.33333334 0.5555556 1.0 59.5 64.0 0.1 0.13254234 0.15625 0.8372093 0.88023263 0.94186044
10 0.0 0.33 0.6 1.0 60.2 64.0 0.1 0.13433261 0.15625 0.8372093 0.883721 0.94186044
11 0.09090909 0.33636364 0.54545456 1.0 60.6 64.0 0.1 0.13505384 0.15625 0.8372093 0.88139534 0.94186044
12 0.083333336 0.3333333 0.5 1.0 61.0 65.0 0.1 0.13735178 0.15384616 0.8255814 0.8790698 0.9302326
13 0.07692308 0.33846158 0.53846157 1.0 61.4 65.0 0.11290322 0.13822837 0.15384616 0.8255814 0.8744186 0.9186047
14 0.14285715 0.34285718 0.5 1.0 61.9 65.0 0.11111111 0.13548622 0.15384616 0.8255814 0.87558144 0.9186047
15 0.13333334 0.34666666 0.53333336 1.0 62.2 66.0 0.11111111 0.13650003 0.16393442 0.8255814 0.87558144 0.9186047
16 0.125 0.3375 0.5 1.0 62.5 66.0 0.11111111 0.14048746 0.16666667 0.8255814 0.8744186 0.9186047
17 0.11764706 0.33529413 0.5294118 1.0 62.2 67.0 0.11290322 0.14280848 0.16666667 0.8255814 0.872093 0.9186047
18 0.11111111 0.3388889 0.5 1.0 62.5 67.0 0.11111111 0.14214747 0.16666667 0.81395346 0.86744195 0.9186047
19 0.10526316 0.33157897 0.5263158 1.0 62.9 68.0 0.11111111 0.14278741 0.16666667 0.8023256 0.8627907 0.9186047
20 0.1 0.33 0.5 1.0 63.1 69.0 0.11111111 0.14229909 0.1641791 0.8023256 0.8627907 0.9186047
21 0.14285715 0.3333333 0.52380955 1.0 63.4 69.0 0.11111111 0.14159665 0.1641791 0.7906977 0.85813963 0.9186047
22 0.13636364 0.33636367 0.5 1.0 64.1 72.0 0.118644066 0.14479865 0.16923077 0.7906977 0.8581395 0.9186047
