rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.11171718 0.12727273 0.8372093 0.883721 0.95348835
2 0.0 0.3 1.0 1.0 55.4 56.0 0.10714286 0.11191559 0.12727273 0.8372093 0.88023263 0.95348835
3 0.0 0.3 0.6666667 1.0 56.3 57.0 0.10526316 0.11188028 0.14035088 0.81395346 0.87558144 0.9302326
4 0.0 0.375 0.75 1.0 56.9 58.0 0.10344828 0.11421442 0.13793103 0.8023256 0.8767443 0.9302326
5 0.0 0.38000003 0.6 1.0 57.9 59.0 0.10344828 0.11731829 0.15254237 0.8023256 0.877907 0.9302326
6 0.0 0.36666667 0.6666667 1.0 59.0 60.0 0.1 0.11849892 0.18333334 0.8023256 0.8790698 0.9302326
7 0.0 0.34285718 0.5714286 1.0 60.0 61.0 0.1 0.120012976 0.18333334 0.8255814 0.883721 0.9302326
8 0.0 0.3375 0.625 1.0 60.7 62.0 0.09836066 0.120258234 0.18032786 0.8255814 0.883721 0.9302326
9 0.0 0.35555556 0.6666667 1.0 61.4 63.0 0.09836066 0.11882279 0.17741935 0.81395346 0.8860465 0.9302326
10 0.0 0.35 0.7 1.0 62.4 64.0 0.09677419 0.11852707 0.1904762 0.81395346 0.8883721 0.9302326
11 0.09090909 0.36363634 0.6363636 1.0 63.0 65.0 0.10769231 0.12056426 0.1875 0.81395346 0.8883721 0.9302326
12 0.083333336 0.3583333 0.5833333 1.0 63.7 65.0 0.10769231 0.12084402 0.1875 0.8255814 0.8906978 0.9302326
13 0.07692308 0.3461539 0.53846157 1.0 64.5 66.0 0.10606061 0.119366504 0.18461539 0.8372093 0.894186 0.95348835
14 0.14285715 0.35 0.5714286 1.0 65.0 67.0 0.10606061 0.116753206 0.17910448 0.8372093 0.89767444 0.95348835
15 0.2 0.35333332 0.53333336 1.0 65.6 68.0 0.104477614 0.11563951 0.1764706 0.8372093 0.8988372 0.95348835
16 0.1875 0.34375 0.5 1.0 66.3 69.0 0.104477614 0.118842565 0.1884058 0.8372093 0.89883727 0.95348835
17 0.1764706 0.33529413 0.5294118 1.0 66.7 68.0 0.10294118 0.11985238 0.19117647 0.81395346 0.89534885 0.95348835
18 0.16666667 0.3333333 0.5 1.0 67.3 69.0 0.10144927 0.1216587 0.1884058 0.81395346 0.89534885 0.95348835
19 0.15789473 0.32105264 0.47368422 1.0 68.1 70.0 0.1 0.121775046 0.18571429 0.81395346 0.894186 0.95348835
20 0.2 0.315 0.45 1.0 68.5 71.0 0.10144927 0.12378786 0.1971831 0.81395346 0.89534885 0.95348835
21 0.1904762 0.30952382 0.42857143 1.0 68.8 71.0 0.1 0.12473522 0.1971831 0.81395346 0.8860464 0.95348835
22 0.18181819 0.31363636 0.4090909 1.0 69.3 72.0 0.10144927 0.12521175 0.19444445 0.8023256 0.88139534 0.95348835
23 0.17391305 0.3043478 0.39130434 1.0 70.5 73.0 0.09859155 0.12596214 0.20547946 0.75581396 0.8755814 0.95348835
24 0.16666667 0.30416667 0.41666666 1.0 71.1 73.0 0.097222224 0.12779906 0.20547946 0.75581396 0.8744186 0.95348835
25 0.16 0.3 0.44 1.0 71.3 73.0 0.097222224 0.12745231 0.20547946 0.75581396 0.8709302 0.95348835
26 0.15384616 0.2923077 0.42307693 1.0 72.0 74.0 0.09589041 0.12482031 0.1891892 0.75581396 0.88023263 0.95348835
27 0.14814815 0.2962963 0.44444445 1.0 72.3 75.0 0.09589041 0.12291421 0.1891892 0.75581396 0.8790698 0.95348835
28 0.14285715 0.2857143 0.42857143 1.0 72.5 76.0 0.09589041 0.12399931 0.1891892 0.75581396 0.877907 0.95348835
29 0.13793103 0.27931032 0.44827586 1.0 73.2 77.0 0.0945946 0.12281338 0.18666667 0.75581396 0.877907 0.95348835
30 0.13333334 0.28666666 0.43333334 1.0 73.6 77.0 0.0945946 0.12493366 0.18666667 0.75581396 0.8755814 0.95348835
31 0.12903225 0.28387097 0.41935483 1.0 74.2 77.0 0.0945946 0.12247695 0.18181819 0.74418604 0.8755814 0.95348835
32 0.125 0.278125 0.40625 1.0 74.7 77.0 0.093333334 0.12306748 0.18181819 0.74418604 0.87325585 0.95348835
33 0.121212125 0.2818182 0.3939394 1.0 74.9 77.0 0.093333334 0.12276925 0.18181819 0.7209302 0.8697675 0.95348835
34 0.11764706 0.2794118 0.38235295 1.0 75.3 77.0 0.093333334 0.120735824 0.18181819 0.7209302 0.87325585 0.95348835
35 0.14285715 0.28 0.37142858 1.0 76.1 78.0 0.09210526 0.120758496 0.17948718 0.7209302 0.8709302 0.95348835
36 0.1388889 0.275 0.3611111 1.0 76.7 79.0 0.08974359 0.11852298 0.17721519 0.74418604 0.87441856 0.95348835
37 0.16216215 0.27297294 0.35135135 1.0 77.4 79.0 0.088607594 0.11754862 0.17721519 0.74418604 0.872093 0.94186044
38 0.15789473 0.27105266 0.34210527 1.0 77.8 80.0 0.0875 0.11574242 0.16455697 0.74418604 0.8697675 0.9186047
39 0.15384616 0.27692312 0.35897437 1.0 78.0 80.0 0.0875 0.11541797 0.16455697 0.75581396 0.87325585 0.9186047
40 0.175 0.27749997 0.35 1.0 78.3 81.0 0.086419754 0.115106605 0.16666667 0.75581396 0.8709303 0.9186047
41 0.17073171 0.2804878 0.36585367 1.0 78.8 81.0 0.086419754 0.11435189 0.16666667 0.7790698 0.8720931 0.9186047
42 0.1904762 0.27857143 0.35714287 1.0 79.3 82.0 0.085365854 0.11612371 0.17721519 0.7790698 0.8720931 0.9186047
43 0.18604651 0.27441862 0.3488372 1.0 79.9 82.0 0.085365854 0.11777717 0.17721519 0.81395346 0.8790698 0.9302326
44 0.20454545 0.27272728 0.3409091 1.0 80.4 83.0 0.084337346 0.11705621 0.1625 0.7790698 0.8709303 0.9186047
45 0.2 0.27333337 0.33333334 1.0 80.8 84.0 0.0875 0.116367936 0.1625 0.7790698 0.8662791 0.89534885
46 0.19565217 0.27173916 0.32608697 1.0 81.3 85.0 0.0875 0.11438378 0.16049382 0.7790698 0.8639535 0.89534885
47 0.19148937 0.27234042 0.34042552 1.0 81.5 85.0 0.0875 0.11405842 0.16049382 0.7790698 0.8651163 0.89534885
48 0.1875 0.27083334 0.33333334 1.0 81.9 86.0 0.0875 0.11477055 0.16049382 0.7790698 0.86860466 0.90697676
49 0.18367347 0.26938775 0.3469388 1.0 82.4 86.0 0.086419754 0.1165327 0.16049382 0.7790698 0.872093 0.90697676
50 0.18 0.27 0.34 1.0 83.0 86.0 0.086419754 0.116774954 0.15662651 0.7790698 0.8697675 0.90697676
51 0.1764706 0.26862746 0.3529412 1.0 83.4 86.0 0.085365854 0.11508322 0.15662651 0.7790698 0.86744183 0.90697676
52 0.17307693 0.26923078 0.34615386 1.0 83.7 86.0 0.085365854 0.115934655 0.15662651 0.7790698 0.8651163 0.90697676
53 0.16981132 0.27169812 0.35849056 1.0 84.1 87.0 0.084337346 0.11532964 0.15294118 0.7906977 0.86744183 0.9302326
54 0.16666667 0.2703704 0.35185185 1.0 84.4 88.0 0.084337346 0.11373677 0.15294118 0.7906977 0.8662791 0.94186044
55 0.18181819 0.2709091 0.34545454 1.0 84.8 88.0 0.084337346 0.113180414 0.15116279 0.7906977 0.86976737 0.94186044
56 0.17857143 0.275 0.3392857 1.0 85.0 88.0 0.084337346 0.11408166 0.15116279 0.7906977 0.872093 0.94186044
