rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.6 56.0 0.10714286 0.11155844 0.12727273 0.8372093 0.8848837 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 57.0 0.10526316 0.11130953 0.125 0.8255814 0.88255817 0.94186044
4 0.0 0.275 0.5 1.0 57.2 58.0 0.10344828 0.11014606 0.12280702 0.8255814 0.8802325 0.94186044
5 0.0 0.28000003 0.6 1.0 58.1 59.0 0.10169491 0.11015359 0.12280702 0.81395346 0.88139534 0.94186044
6 0.0 0.28333333 0.5 1.0 59.1 60.0 0.1 0.10996201 0.13333334 0.81395346 0.88139534 0.95348835
7 0.0 0.28571433 0.42857143 1.0 60.1 61.0 0.09836066 0.111498855 0.13333334 0.81395346 0.877907 0.95348835
8 0.0 0.2875 0.5 1.0 60.8 62.0 0.09677419 0.11349313 0.13333334 0.81395346 0.8790698 0.94186044
9 0.0 0.32222223 0.5555556 1.0 61.3 63.0 0.0952381 0.112598576 0.13114753 0.81395346 0.8790698 0.94186044
10 0.1 0.33 0.5 1.0 62.1 64.0 0.0952381 0.1111087 0.12903225 0.8255814 0.8790698 0.94186044
11 0.18181819 0.33636367 0.45454547 1.0 62.7 64.0 0.09375 0.11163938 0.12903225 0.8255814 0.88023263 0.9186047
12 0.16666667 0.3333333 0.5 1.0 63.4 66.0 0.092307694 0.11350894 0.13636364 0.8255814 0.877907 0.9186047
13 0.15384616 0.3461539 0.53846157 1.0 64.1 66.0 0.09090909 0.1154636 0.13846155 0.8255814 0.87558144 0.9186047
14 0.21428572 0.35000002 0.5 1.0 64.8 67.0 0.09090909 0.11272097 0.13846155 0.8255814 0.88139534 0.94186044
15 0.2 0.34666666 0.53333336 1.0 65.6 68.0 0.08955224 0.11287248 0.13636364 0.8255814 0.88139534 0.95348835
16 0.25 0.35 0.5625 1.0 66.0 68.0 0.0882353 0.11366241 0.14925373 0.81395346 0.8802325 0.95348835
17 0.23529412 0.34705883 0.5882353 1.0 66.5 69.0 0.0882353 0.112841986 0.14925373 0.81395346 0.88488376 0.96511626
18 0.22222222 0.33888888 0.5555556 1.0 67.0 69.0 0.08695652 0.11201526 0.14925373 0.7790698 0.88139546 0.96511626
19 0.21052632 0.33684212 0.57894737 1.0 67.7 70.0 0.08695652 0.11086085 0.14705883 0.7906977 0.88255817 0.95348835
20 0.2 0.34 0.6 1.0 68.0 70.0 0.08695652 0.11180868 0.14705883 0.7790698 0.8779071 0.95348835
21 0.1904762 0.33809525 0.61904764 1.0 68.6 70.0 0.08571429 0.11225706 0.1594203 0.7906977 0.88139534 0.95348835
22 0.18181819 0.32727274 0.59090906 1.0 69.2 72.0 0.08450704 0.11422826 0.1594203 0.7790698 0.8767443 0.94186044
23 0.17391305 0.32608694 0.5652174 1.0 69.9 73.0 0.08450704 0.114403866 0.15714286 0.8023256 0.877907 0.94186044
24 0.16666667 0.32916668 0.5416667 1.0 70.3 73.0 0.08450704 0.113773845 0.15714286 0.7906977 0.877907 0.94186044
25 0.16 0.33200002 0.52 1.0 70.9 73.0 0.08450704 0.112779975 0.15492958 0.7906977 0.88255817 0.94186044
26 0.15384616 0.3230769 0.5 1.0 71.7 74.0 0.083333336 0.1114939 0.15277778 0.7906977 0.8860465 0.94186044
27 0.14814815 0.3148148 0.4814815 1.0 72.0 74.0 0.083333336 0.11102891 0.15277778 0.7906977 0.8802325 0.94186044
28 0.14285715 0.3035714 0.4642857 1.0 72.2 74.0 0.097222224 0.11204884 0.15068494 0.7906977 0.8779069 0.94186044
29 0.1724138 0.3 0.4827586 1.0 72.9 75.0 0.09589041 0.11094536 0.14864865 0.7906977 0.877907 0.94186044
30 0.16666667 0.30333334 0.5 1.0 73.5 75.0 0.0945946 0.11147888 0.14864865 0.8023256 0.877907 0.94186044
31 0.16129032 0.30322582 0.48387095 1.0 73.6 77.0 0.0945946 0.11130327 0.14864865 0.7906977 0.872093 0.94186044
32 0.15625 0.30625 0.46875 1.0 74.1 77.0 0.09210526 0.11190119 0.14666666 0.7790698 0.86976737 0.94186044
33 0.15151516 0.3030303 0.45454547 1.0 74.4 77.0 0.0945946 0.11414701 0.14666666 0.7790698 0.86511624 0.94186044
34 0.14705883 0.30588236 0.44117647 1.0 74.5 77.0 0.1 0.11677084 0.14864865 0.7790698 0.8639535 0.95348835
35 0.17142858 0.3114286 0.42857143 1.0 75.0 78.0 0.1 0.11865549 0.14864865 0.7790698 0.8639535 0.9302326
36 0.16666667 0.31111112 0.44444445 1.0 75.5 79.0 0.09859155 0.11919515 0.14473684 0.7790698 0.86162794 0.9302326
37 0.1891892 0.3108108 0.43243244 1.0 75.9 79.0 0.09859155 0.11984859 0.15584415 0.7790698 0.8593024 0.9302326
38 0.18421052 0.30789477 0.4473684 1.0 76.3 80.0 0.09589041 0.12060201 0.15584415 0.7790698 0.8639535 0.94186044
39 0.17948718 0.31538463 0.43589744 1.0 76.6 80.0 0.09589041 0.12139144 0.15584415 0.7790698 0.86860466 0.94186044
40 0.2 0.32 0.45 1.0 76.8 80.0 0.09589041 0.119789004 0.15584415 0.7790698 0.86279076 0.94186044
41 0.19512194 0.31707317 0.46341464 1.0 77.8 81.0 0.09589041 0.121993564 0.15384616 0.7790698 0.8639535 0.94186044
42 0.1904762 0.31904763 0.47619048 1.0 78.2 81.0 0.0945946 0.12270194 0.15189873 0.7790698 0.85930234 0.9186047
43 0.18604651 0.3162791 0.4651163 1.0 78.6 81.0 0.093333334 0.12081699 0.15 0.7906977 0.8581395 0.9186047
44 0.18181819 0.3181818 0.47727272 1.0 79.0 82.0 0.09210526 0.12142439 0.15853658 0.7906977 0.85930234 0.9186047
45 0.17777778 0.3177778 0.46666667 1.0 79.4 82.0 0.09090909 0.12089586 0.15853658 0.8023256 0.8627907 0.9186047
46 0.17391305 0.31739128 0.45652175 1.0 79.8 82.0 0.085365854 0.12033733 0.15853658 0.8023256 0.86046517 0.9186047
47 0.17021276 0.31702128 0.44680852 1.0 80.3 83.0 0.085365854 0.12071172 0.15662651 0.8023256 0.86279076 0.9186047
48 0.16666667 0.31458336 0.45833334 1.0 81.1 84.0 0.084337346 0.120695926 0.16666667 0.7790698 0.8686048 0.95348835
49 0.1632653 0.3102041 0.46938777 1.0 81.6 85.0 0.084337346 0.12228803 0.16470589 0.7790698 0.86279076 0.95348835
50 0.16 0.312 0.48 1.0 81.9 84.0 0.084337346 0.1218847 0.16666667 0.7790698 0.86279076 0.95348835
51 0.15686275 0.30980393 0.49019608 1.0 82.3 85.0 0.084337346 0.12126569 0.16666667 0.7790698 0.85930234 0.95348835
52 0.15384616 0.30769232 0.48076922 1.0 82.4 85.0 0.084337346 0.12106383 0.16666667 0.7790698 0.8662791 0.95348835
53 0.1509434 0.31320757 0.49056605 1.0 82.6 85.0 0.084337346 0.12317181 0.16666667 0.7790698 0.8651163 0.95348835
54 0.14814815 0.31111112 0.4814815 1.0 83.2 86.0 0.084337346 0.12240909 0.16666667 0.7790698 0.86162794 0.95348835
55 0.14545454 0.3090909 0.47272727 1.0 83.7 87.0 0.083333336 0.121754214 0.15294118 0.7790698 0.8662791 0.95348835
56 0.14285715 0.31071427 0.4642857 1.0 83.9 88.0 0.083333336 0.122659326 0.15294118 0.75581396 0.8639535 0.95348835
57 0.14035088 0.3087719 0.45614034 1.0 84.4 88.0 0.09411765 0.12550366 0.15294118 0.73255813 0.85930234 0.94186044
58 0.13793103 0.31034485 0.46551725 1.0 84.7 88.0 0.093023255 0.12510696 0.15294118 0.73255813 0.8581395 0.94186044
