rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9461538 1.0 0.069767445 0.08372092 0.093023255
2 0.0 0.35 1.0 1.0 14.0 14.0 0.85714287 0.8714286 0.9285714 0.069767445 0.09186046 0.11627907
3 0.0 0.3 0.6666667 1.0 15.0 15.0 0.8 0.8133334 0.8666667 0.069767445 0.10116279 0.13953489
4 0.0 0.3 0.75 1.0 15.9 16.0 0.75 0.77375 0.875 0.08139535 0.112790704 0.1627907
5 0.0 0.28000003 0.8 1.0 16.8 17.0 0.7058824 0.73823535 0.8235294 0.08139535 0.11744187 0.1627907
6 0.0 0.25000003 0.6666667 1.0 17.6 18.0 0.6666667 0.704902 0.7647059 0.093023255 0.12906978 0.1627907
7 0.0 0.27142859 0.5714286 1.0 18.5 19.0 0.6666667 0.6865497 0.7777778 0.08139535 0.13139534 0.1627907
8 0.125 0.3125 0.625 1.0 19.5 20.0 0.6 0.65631574 0.7 0.08139535 0.14302325 0.1744186
9 0.11111111 0.30000004 0.6666667 1.0 20.2 21.0 0.5714286 0.614411 0.65 0.08139535 0.14767441 0.18604651
10 0.1 0.3 0.7 1.0 21.1 22.0 0.54545456 0.5882251 0.6666667 0.093023255 0.15581395 0.22093023
11 0.09090909 0.3 0.6363636 1.0 22.1 23.0 0.5217391 0.5704404 0.6363636 0.093023255 0.16627905 0.23255815
12 0.083333336 0.29166663 0.5833333 1.0 22.9 24.0 0.5 0.5466567 0.6363636 0.093023255 0.1732558 0.23255815
13 0.07692308 0.2769231 0.53846157 1.0 23.8 25.0 0.48 0.5264914 0.6363636 0.093023255 0.18372092 0.25581396
14 0.071428575 0.28571427 0.5714286 1.0 24.4 26.0 0.46153846 0.5181308 0.6363636 0.093023255 0.19186047 0.25581396
15 0.13333334 0.29333335 0.53333336 1.0 25.2 27.0 0.44444445 0.5062289 0.6363636 0.093023255 0.1988372 0.25581396
16 0.1875 0.29375 0.5625 1.0 26.0 28.0 0.42857143 0.49122977 0.6363636 0.093023255 0.20581396 0.29069766
17 0.1764706 0.31764704 0.5882353 1.0 26.6 28.0 0.42857143 0.4795 0.6086956 0.093023255 0.20930234 0.29069766
18 0.22222222 0.3222223 0.6111111 1.0 27.0 29.0 0.42857143 0.4680419 0.5416667 0.093023255 0.20232558 0.24418604
19 0.21052632 0.31578943 0.57894737 1.0 27.5 29.0 0.41379312 0.46365052 0.5416667 0.10465116 0.20581396 0.25581396
20 0.2 0.315 0.55 1.0 28.2 30.0 0.4 0.46319944 0.56 0.10465116 0.20813954 0.25581396
21 0.1904762 0.30952382 0.52380955 1.0 28.9 31.0 0.38709676 0.45171294 0.55172414 0.11627907 0.21511629 0.26744187
22 0.18181819 0.29545456 0.5 1.0 29.6 32.0 0.375 0.4377893 0.55172414 0.15116279 0.22441861 0.25581396
23 0.17391305 0.2826087 0.47826087 1.0 30.2 33.0 0.36363637 0.42866462 0.53333336 0.15116279 0.23139536 0.27906978
24 0.20833333 0.2958333 0.5 1.0 30.8 33.0 0.36363637 0.42378765 0.53333336 0.15116279 0.23372094 0.29069766
25 0.2 0.296 0.52 1.0 31.3 34.0 0.3529412 0.4174532 0.53333336 0.18604651 0.24186048 0.29069766
26 0.1923077 0.29999998 0.5 1.0 31.9 34.0 0.3529412 0.40887433 0.516129 0.18604651 0.24534884 0.29069766
27 0.18518518 0.30370373 0.4814815 1.0 32.2 35.0 0.34285715 0.4053759 0.516129 0.18604651 0.24302325 0.26744187
28 0.17857143 0.3 0.4642857 1.0 32.8 36.0 0.33333334 0.40128803 0.516129 0.18604651 0.24418604 0.27906978
29 0.20689656 0.29999998 0.44827586 1.0 33.6 36.0 0.33333334 0.39697474 0.5 0.18604651 0.2546512 0.30232558
30 0.2 0.3 0.43333334 1.0 34.2 37.0 0.33333334 0.39088935 0.47058824 0.19767442 0.2639535 0.3255814
31 0.19354838 0.3 0.4516129 1.0 35.1 38.0 0.3243243 0.3811203 0.46875 0.19767442 0.2744186 0.3255814
32 0.1875 0.3 0.4375 1.0 35.7 39.0 0.3243243 0.37733212 0.4848485 0.20930232 0.2837209 0.3488372
33 0.21212122 0.3 0.42424244 1.0 36.3 40.0 0.31578946 0.37100348 0.44444445 0.22093023 0.28488374 0.3488372
34 0.20588236 0.3 0.4117647 1.0 36.9 40.0 0.30769232 0.3649236 0.44117647 0.22093023 0.2883721 0.3488372
35 0.2 0.3 0.4 1.0 37.4 41.0 0.3 0.36051446 0.43243244 0.23255815 0.29651162 0.38372093
36 0.19444445 0.30277783 0.41666666 1.0 37.8 41.0 0.3 0.35886157 0.42105263 0.22093023 0.29651162 0.38372093
37 0.21621622 0.30810815 0.43243244 1.0 38.2 42.0 0.29268292 0.35761243 0.41666666 0.23255815 0.29651165 0.3604651
38 0.21052632 0.3131579 0.4473684 1.0 39.0 43.0 0.3 0.35806632 0.41666666 0.24418604 0.3034884 0.3488372
39 0.20512821 0.31282055 0.43589744 1.0 39.5 44.0 0.2857143 0.34571248 0.4054054 0.23255815 0.30581397 0.3488372
40 0.2 0.31250003 0.425 1.0 40.2 45.0 0.2857143 0.33942613 0.39473686 0.23255815 0.31511626 0.38372093
41 0.19512194 0.31219512 0.41463414 1.0 40.8 46.0 0.27906978 0.33463898 0.3902439 0.23255815 0.31976742 0.3604651
42 0.1904762 0.30714285 0.4047619 1.0 41.2 47.0 0.27906978 0.33141595 0.3846154 0.24418604 0.32558134 0.39534885
43 0.18604651 0.3046512 0.41860464 1.0 41.5 48.0 0.27272728 0.33398563 0.3809524 0.26744187 0.33139533 0.39534885
44 0.18181819 0.3 0.4318182 1.0 41.7 48.0 0.27272728 0.3323248 0.3902439 0.27906978 0.34069762 0.39534885
45 0.17777778 0.3 0.42222223 1.0 42.3 49.0 0.27906978 0.3346328 0.4047619 0.27906978 0.35232556 0.40697673
46 0.17391305 0.3021739 0.41304347 1.0 42.8 49.0 0.27272728 0.32832405 0.375 0.27906978 0.36046508 0.41860464
47 0.17021276 0.30212766 0.40425533 1.0 43.6 50.0 0.26666668 0.32668266 0.375 0.27906978 0.3686046 0.43023255
48 0.16666667 0.3 0.41666666 1.0 44.0 50.0 0.27272728 0.31901088 0.36585367 0.30232558 0.3732558 0.43023255
49 0.1632653 0.3 0.40816328 1.0 44.4 50.0 0.26666668 0.3185157 0.36585367 0.30232558 0.37441856 0.43023255
50 0.16 0.298 0.42 1.0 44.6 50.0 0.26086956 0.32177487 0.3902439 0.30232558 0.37674415 0.43023255
51 0.15686275 0.3 0.43137255 1.0 45.2 50.0 0.26 0.31551352 0.3902439 0.3139535 0.3802325 0.43023255
52 0.17307693 0.3 0.42307693 1.0 45.5 50.0 0.26 0.3154677 0.4047619 0.29069766 0.3813953 0.43023255
53 0.16981132 0.3 0.43396226 1.0 45.8 50.0 0.26 0.31326762 0.4047619 0.3139535 0.37790695 0.43023255
54 0.16666667 0.29814816 0.42592594 1.0 46.1 51.0 0.25490198 0.31530043 0.39534885 0.3139535 0.3813953 0.45348838
55 0.16363636 0.29636365 0.4181818 1.0 46.7 52.0 0.26666668 0.3128714 0.38636363 0.3139535 0.39186043 0.47674417
56 0.16071428 0.2982143 0.4107143 1.0 47.4 53.0 0.26086956 0.31089056 0.38636363 0.3139535 0.40116277 0.5
57 0.15789473 0.2982456 0.42105263 1.0 47.5 53.0 0.26415095 0.31010965 0.38636363 0.3139535 0.39767438 0.4883721
58 0.15517241 0.2965517 0.41379312 1.0 47.9 54.0 0.25925925 0.30557448 0.38636363 0.29069766 0.39883718 0.53488374
59 0.16949153 0.29661018 0.40677965 1.0 48.3 54.0 0.25925925 0.3031298 0.38636363 0.29069766 0.4069767 0.5232558
60 0.16666667 0.29833335 0.4 1.0 48.8 55.0 0.25454545 0.30224758 0.38636363 0.29069766 0.40813953 0.5232558
61 0.16393442 0.30327868 0.39344263 1.0 49.2 56.0 0.25 0.2997417 0.37777779 0.29069766 0.40930232 0.5232558
62 0.17741935 0.30806452 0.4032258 1.0 49.4 56.0 0.25 0.3005703 0.37777779 0.30232558 0.4127907 0.5232558
63 0.17460318 0.30476192 0.3968254 1.0 49.7 56.0 0.25 0.2946969 0.37777779 0.30232558 0.41395348 0.53488374
64 0.171875 0.3046875 0.40625 1.0 50.1 57.0 0.25 0.29421657 0.37777779 0.30232558 0.41627902 0.54651165
65 0.16923077 0.30307692 0.4 1.0 50.3 56.0 0.24489796 0.2892496 0.37777779 0.30232558 0.41511625 0.53488374
66 0.16666667 0.3030303 0.3939394 1.0 50.4 56.0 0.24489796 0.2905666 0.37777779 0.30232558 0.4104651 0.53488374
67 0.17910448 0.30895522 0.40298507 1.0 50.4 57.0 0.24489796 0.29074022 0.37777779 0.30232558 0.4104651 0.54651165
68 0.19117647 0.30882353 0.3970588 1.0 50.8 57.0 0.24561404 0.28866997 0.37777779 0.30232558 0.41511625 0.54651165
69 0.1884058 0.3101449 0.4057971 1.0 51.5 58.0 0.24 0.28042957 0.3478261 0.3372093 0.42674416 0.55813956
70 0.18571429 0.31 0.4 1.0 51.8 59.0 0.23728813 0.2789227 0.3478261 0.3255814 0.42906976 0.5697674
71 0.18309858 0.3084507 0.3943662 1.0 52.1 59.0 0.23728813 0.27547395 0.3478261 0.3255814 0.422093 0.5116279
72 0.18055555 0.30555558 0.4027778 1.0 52.4 60.0 0.23333333 0.274461 0.35555556 0.3139535 0.43488368 0.5116279
73 0.1780822 0.30958906 0.41095892 1.0 52.7 60.0 0.23333333 0.27274054 0.3478261 0.3139535 0.43488368 0.5116279
74 0.17567568 0.3108108 0.4054054 1.0 53.3 61.0 0.22950819 0.27347043 0.3478261 0.3139535 0.43837208 0.53488374
75 0.17333333 0.31199998 0.4 1.0 53.5 61.0 0.22950819 0.27038833 0.34042552 0.3255814 0.4372093 0.53488374
76 0.17105263 0.30921054 0.39473686 1.0 53.7 61.0 0.23636363 0.27113324 0.34042552 0.3139535 0.4430232 0.5116279
77 0.16883117 0.3090909 0.4025974 1.0 53.9 61.0 0.23214285 0.27022094 0.34042552 0.3372093 0.4430232 0.5232558
78 0.16666667 0.30897436 0.3974359 1.0 54.5 62.0 0.23214285 0.26884696 0.31914893 0.3488372 0.45116276 0.55813956
79 0.16455697 0.30886075 0.39240506 1.0 55.0 62.0 0.22807017 0.26282233 0.31914893 0.3488372 0.45232552 0.5232558
80 0.175 0.31 0.3875 1.0 55.3 63.0 0.22807017 0.25941926 0.3090909 0.3488372 0.45465118 0.5232558
81 0.18518518 0.31234568 0.39506173 1.0 55.4 63.0 0.21818182 0.25737822 0.29787233 0.3488372 0.45348835 0.5232558
82 0.19512194 0.3109756 0.3902439 1.0 55.9 63.0 0.21818182 0.25673848 0.29166666 0.3488372 0.46860465 0.5697674
83 0.19277108 0.31084338 0.38554215 1.0 56.1 64.0 0.21818182 0.25755692 0.29090908 0.3255814 0.46976748 0.5813953
84 0.1904762 0.31190473 0.39285713 1.0 56.3 63.0 0.21818182 0.25653416 0.29090908 0.3488372 0.4755814 0.5813953
