rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11111112 0.12727273 0.8372093 0.88837206 0.95348835
2 0.0 0.2 0.5 1.0 55.7 56.0 0.10714286 0.11133118 0.12727273 0.8372093 0.89069766 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.5 57.0 0.10526316 0.111497484 0.125 0.8372093 0.8883721 0.94186044
4 0.0 0.275 0.5 1.0 57.3 58.0 0.10344828 0.11344309 0.12280702 0.8372093 0.8930233 0.95348835
5 0.0 0.3 0.6 1.0 58.3 59.0 0.10169491 0.114932775 0.13793103 0.8372093 0.894186 0.95348835
6 0.0 0.26666665 0.5 1.0 59.3 60.0 0.1 0.11465061 0.13559322 0.81395346 0.89069766 0.95348835
7 0.0 0.27142859 0.42857143 1.0 59.7 61.0 0.09836066 0.1138791 0.13559322 0.8023256 0.89069766 0.95348835
8 0.0 0.275 0.5 1.0 60.4 62.0 0.09836066 0.11413904 0.14754099 0.8023256 0.88255817 0.94186044
9 0.0 0.3 0.5555556 1.0 61.1 63.0 0.09836066 0.11276213 0.14516129 0.8023256 0.88255817 0.9302326
10 0.0 0.3 0.5 1.0 62.2 64.0 0.0952381 0.11544231 0.15625 0.8255814 0.8860466 0.94186044
11 0.09090909 0.31818184 0.54545456 1.0 62.8 65.0 0.0952381 0.11747213 0.16923077 0.8372093 0.8883721 0.94186044
12 0.083333336 0.30833334 0.5 1.0 63.7 65.0 0.09375 0.117467284 0.16923077 0.8372093 0.8918605 0.95348835
13 0.07692308 0.30769232 0.46153846 1.0 64.4 66.0 0.092307694 0.11783357 0.16923077 0.8372093 0.8930232 0.9767442
14 0.14285715 0.30714288 0.42857143 1.0 65.3 67.0 0.09090909 0.114552245 0.1641791 0.8372093 0.9023255 0.9767442
15 0.13333334 0.30666667 0.4 1.0 65.8 68.0 0.09090909 0.1136872 0.1641791 0.81395346 0.9011628 0.9883721
16 0.125 0.3 0.4375 1.0 66.4 69.0 0.09090909 0.117175385 0.16176471 0.81395346 0.8965117 0.9767442
17 0.11764706 0.3 0.4117647 1.0 66.6 69.0 0.08955224 0.11980319 0.17391305 0.81395346 0.89534885 0.9767442
18 0.11111111 0.29444447 0.3888889 1.0 67.1 69.0 0.0952381 0.12051002 0.17391305 0.81395346 0.8930232 0.96511626
19 0.10526316 0.28947368 0.42105263 1.0 67.6 70.0 0.092307694 0.11957917 0.17142858 0.81395346 0.8906976 0.96511626
20 0.1 0.28000003 0.4 1.0 68.3 70.0 0.09090909 0.12001276 0.17391305 0.8488372 0.8930233 0.96511626
21 0.14285715 0.2809524 0.42857143 1.0 68.8 70.0 0.09090909 0.12061781 0.17391305 0.8372093 0.88837206 0.96511626
22 0.13636364 0.27727273 0.4090909 1.0 69.6 72.0 0.0882353 0.12081735 0.17391305 0.8372093 0.8906976 0.96511626
23 0.13043478 0.27391303 0.4347826 1.0 70.6 73.0 0.08695652 0.12193841 0.17142858 0.8372093 0.8837209 0.96511626
24 0.125 0.27083334 0.45833334 1.0 71.2 73.0 0.08571429 0.12229363 0.16901408 0.8255814 0.88255817 0.96511626
25 0.12 0.272 0.44 1.0 71.7 74.0 0.08571429 0.12562409 0.16901408 0.8255814 0.88255817 0.95348835
26 0.115384616 0.26538464 0.42307693 1.0 72.0 74.0 0.08571429 0.12501413 0.16666667 0.8255814 0.883721 0.96511626
27 0.14814815 0.26666668 0.44444445 1.0 72.3 74.0 0.08571429 0.124491975 0.16666667 0.8023256 0.88255817 0.96511626
28 0.14285715 0.27142859 0.42857143 1.0 72.7 76.0 0.08571429 0.12387918 0.16666667 0.8023256 0.88255817 0.96511626
29 0.13793103 0.26896554 0.44827586 1.0 73.5 76.0 0.08450704 0.12384583 0.16438356 0.8023256 0.8848837 0.96511626
30 0.16666667 0.27666667 0.46666667 1.0 73.7 76.0 0.08571429 0.12211887 0.16216215 0.8023256 0.8837209 0.96511626
31 0.19354838 0.28387097 0.4516129 1.0 74.1 77.0 0.078947365 0.12006543 0.16 0.8023256 0.8872093 0.96511626
32 0.1875 0.278125 0.4375 1.0 74.7 78.0 0.08571429 0.12177458 0.16 0.8372093 0.894186 0.9767442
33 0.18181819 0.28181818 0.42424244 1.0 75.0 79.0 0.08571429 0.121283606 0.16 0.81395346 0.89069766 0.9767442
34 0.1764706 0.2882353 0.44117647 1.0 75.2 79.0 0.08571429 0.11965303 0.14666666 0.8372093 0.8930232 0.9767442
35 0.2 0.2942857 0.42857143 1.0 75.8 80.0 0.08450704 0.12008774 0.14666666 0.8372093 0.89186037 0.9767442
36 0.19444445 0.28888887 0.41666666 1.0 76.5 81.0 0.083333336 0.12165815 0.15068494 0.8372093 0.89534885 0.9767442
37 0.1891892 0.2864865 0.4054054 1.0 77.0 81.0 0.083333336 0.124666944 0.15584415 0.8023256 0.8872093 0.9767442
38 0.18421052 0.2842105 0.39473686 1.0 77.4 81.0 0.08219178 0.12275441 0.15584415 0.8023256 0.8872093 0.9767442
39 0.20512821 0.28717947 0.41025642 1.0 77.7 81.0 0.08219178 0.12482522 0.15584415 0.8023256 0.8872093 0.9767442
40 0.2 0.29000002 0.425 1.0 77.8 81.0 0.08219178 0.12458354 0.1625 0.8023256 0.8837209 0.9767442
41 0.19512194 0.29268295 0.41463414 1.0 78.1 81.0 0.09589041 0.124098316 0.16049382 0.8023256 0.88255817 0.9767442
42 0.1904762 0.28809527 0.4047619 1.0 78.6 82.0 0.09589041 0.12579565 0.17283951 0.8023256 0.87674415 0.9767442
43 0.18604651 0.28139535 0.39534885 1.0 79.0 83.0 0.09589041 0.12649919 0.17283951 0.7790698 0.8872093 0.9767442
44 0.18181819 0.275 0.38636363 1.0 79.4 83.0 0.0945946 0.12959245 0.17073171 0.7790698 0.88139534 0.96511626
45 0.17777778 0.28000003 0.37777779 1.0 79.7 84.0 0.0945946 0.13160947 0.17073171 0.7790698 0.8802325 0.9767442
46 0.17391305 0.27608696 0.36956522 1.0 79.9 84.0 0.09589041 0.13122563 0.1625 0.76744187 0.8802325 0.9767442
47 0.17021276 0.27659574 0.3617021 1.0 80.2 84.0 0.09589041 0.13075665 0.1625 0.76744187 0.877907 0.9767442
48 0.16666667 0.27291667 0.35416666 1.0 80.5 84.0 0.09589041 0.13280506 0.16049382 0.7790698 0.877907 0.9767442
49 0.1632653 0.2734694 0.36734694 1.0 80.9 85.0 0.09589041 0.13337962 0.16049382 0.81395346 0.88139534 0.9767442
50 0.16 0.272 0.36 1.0 81.6 86.0 0.09589041 0.13341914 0.16049382 0.81395346 0.88255817 0.9767442
51 0.15686275 0.27450982 0.37254903 1.0 82.0 87.0 0.0945946 0.1339865 0.15853658 0.81395346 0.8872093 0.9767442
52 0.17307693 0.275 0.3653846 1.0 82.5 88.0 0.0945946 0.13315043 0.15853658 0.81395346 0.8883721 0.9767442
53 0.18867925 0.2792453 0.3773585 1.0 83.0 88.0 0.10344828 0.13484553 0.15853658 0.81395346 0.8872093 0.9767442
54 0.18518518 0.27777776 0.37037036 1.0 83.1 88.0 0.10344828 0.13107261 0.14634146 0.81395346 0.8848837 0.9767442
55 0.18181819 0.27636364 0.36363637 1.0 83.7 89.0 0.10526316 0.13245642 0.15476191 0.8023256 0.8872093 0.9767442
56 0.17857143 0.27857143 0.35714287 1.0 83.8 89.0 0.103896104 0.1323373 0.15476191 0.8023256 0.883721 0.9767442
57 0.1754386 0.27894738 0.3508772 1.0 84.2 90.0 0.10227273 0.1293753 0.14457831 0.8023256 0.8802325 0.9767442
58 0.1724138 0.2775862 0.3448276 1.0 84.2 90.0 0.10227273 0.13181195 0.14634146 0.8023256 0.8744186 0.9767442
59 0.16949153 0.28305084 0.3559322 1.0 84.4 91.0 0.10227273 0.13146874 0.14634146 0.8023256 0.8732559 0.9767442
60 0.16666667 0.285 0.36666667 1.0 84.8 91.0 0.10227273 0.13084592 0.14634146 0.81395346 0.8802325 0.9767442
61 0.18032786 0.2836066 0.36065573 1.0 84.6 92.0 0.10227273 0.13116953 0.14634146 0.81395346 0.8755814 0.9883721
62 0.19354838 0.28387097 0.37096775 1.0 84.6 92.0 0.10227273 0.13116953 0.14634146 0.81395346 0.872093 0.9883721
63 0.1904762 0.2809524 0.36507937 1.0 84.6 92.0 0.10227273 0.13110827 0.14457831 0.81395346 0.86744183 0.9883721
64 0.1875 0.2796875 0.359375 1.0 84.5 92.0 0.10227273 0.13004379 0.14457831 0.8023256 0.86860466 0.9883721
65 0.18461539 0.27846155 0.35384616 1.0 84.8 93.0 0.10227273 0.12959903 0.14457831 0.75581396 0.8639535 1.0
66 0.1969697 0.28030303 0.34848484 1.0 85.0 93.0 0.10526316 0.13044995 0.14457831 0.76744187 0.866279 1.0
67 0.19402985 0.27910447 0.3432836 1.0 85.3 93.0 0.103896104 0.13107368 0.14457831 0.7790698 0.8709303 1.0
68 0.19117647 0.27500004 0.3382353 1.0 85.6 93.0 0.103896104 0.13054872 0.14457831 0.7906977 0.872093 1.0
69 0.1884058 0.27536228 0.33333334 1.0 85.6 92.0 0.103896104 0.13165137 0.14457831 0.7906977 0.8697675 0.9767442
70 0.2 0.27714288 0.34285715 1.0 85.7 92.0 0.103896104 0.13149972 0.14444445 0.7906977 0.8744186 0.9767442
71 0.1971831 0.2774648 0.33802816 1.0 86.1 93.0 0.102564104 0.13209425 0.14444445 0.7906977 0.8755814 0.9767442
72 0.19444445 0.2763889 0.33333334 1.0 86.3 93.0 0.102564104 0.13179402 0.14444445 0.7906977 0.8709302 0.9767442
73 0.19178082 0.27671233 0.34246576 1.0 86.4 93.0 0.102564104 0.13169132 0.15294118 0.7790698 0.86860466 0.9767442
74 0.2027027 0.27702704 0.33783785 1.0 86.7 93.0 0.102564104 0.1336237 0.15294118 0.7790698 0.86860466 0.9767442
75 0.2 0.28 0.33333334 1.0 86.8 93.0 0.102564104 0.13348003 0.15294118 0.7790698 0.8616279 0.9767442
76 0.19736843 0.28026313 0.34210527 1.0 87.2 93.0 0.1 0.13290417 0.15294118 0.75581396 0.85930234 0.9767442
77 0.19480519 0.28181818 0.35064936 1.0 87.5 93.0 0.1 0.13243827 0.15294118 0.7209302 0.86046505 0.9767442
78 0.1923077 0.28076923 0.35897437 1.0 87.6 94.0 0.1 0.13240543 0.15662651 0.7209302 0.8616279 0.9767442
79 0.18987341 0.28227848 0.35443038 1.0 87.8 94.0 0.1 0.13211845 0.15662651 0.75581396 0.8639535 0.96511626
80 0.1875 0.27875 0.35 1.0 88.0 94.0 0.09876543 0.13182953 0.15476191 0.73255813 0.855814 0.94186044
81 0.18518518 0.27901235 0.34567901 1.0 87.9 94.0 0.09756097 0.13205293 0.15662651 0.7209302 0.85930234 0.94186044
82 0.18292683 0.2792683 0.35365853 1.0 88.0 94.0 0.09756097 0.13187507 0.15662651 0.7209302 0.86046517 0.94186044
83 0.18072289 0.27951807 0.36144578 1.0 88.5 94.0 0.09638554 0.13119611 0.15476191 0.7790698 0.8651163 0.94186044
84 0.17857143 0.2797619 0.35714287 1.0 88.5 94.0 0.0952381 0.13119784 0.15476191 0.7209302 0.8616279 0.94186044
85 0.1764706 0.2764706 0.3529412 1.0 88.3 94.0 0.09638554 0.13369156 0.16470589 0.7209302 0.85930234 0.94186044
86 0.1744186 0.2755814 0.3488372 1.0 88.4 95.0 0.09638554 0.13352528 0.16470589 0.7209302 0.85813963 0.94186044
87 0.1724138 0.27701148 0.35632184 1.0 88.6 96.0 0.10843374 0.13444057 0.16470589 0.7209302 0.86046517 0.94186044
88 0.17045455 0.27613634 0.36363637 1.0 88.8 96.0 0.10714286 0.13409273 0.1627907 0.7209302 0.8569768 0.94186044
89 0.16853933 0.27415726 0.35955057 1.0 88.9 95.0 0.10714286 0.13393763 0.1627907 0.75581396 0.8569768 0.94186044
90 0.16666667 0.27333337 0.36666667 1.0 88.9 95.0 0.10714286 0.13510539 0.1627907 0.75581396 0.8523256 0.94186044
91 0.16483517 0.2736264 0.37362638 1.0 89.0 95.0 0.10714286 0.1349617 0.1627907 0.75581396 0.85 0.94186044
92 0.16304348 0.275 0.36956522 1.0 88.9 95.0 0.11702128 0.13630539 0.1627907 0.73255813 0.8441861 0.94186044
93 0.17204301 0.27526882 0.3655914 1.0 89.1 95.0 0.10638298 0.1348916 0.1627907 0.73255813 0.8418605 0.9302326
94 0.17021276 0.2797872 0.3723404 1.0 88.9 95.0 0.10638298 0.13403991 0.1627907 0.7093023 0.8441861 0.9302326
95 0.16842106 0.2778947 0.36842105 1.0 88.9 96.0 0.10526316 0.13304386 0.1744186 0.7093023 0.8441861 0.95348835
96 0.16666667 0.27708334 0.375 1.0 89.0 96.0 0.104166664 0.13281651 0.1744186 0.68604654 0.83720934 0.95348835
