rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07325582 0.08139535
100 0.19 0.331 0.48 1.0 68.3 73.0 0.22727273 0.2899056 0.32857144 0.3604651 0.4465116 0.5116279
200 0.265 0.375 0.445 1.0 86.3 91.0 0.21686748 0.26872176 0.32941177 0.53488374 0.6465117 0.73255813
300 0.32 0.39433336 0.44333333 1.0 93.4 100.0 0.22340426 0.28248757 0.34444445 0.627907 0.73255813 0.7790698
400 0.3775 0.4255 0.4725 1.0 97.7 103.0 0.24 0.2999919 0.34 0.6511628 0.7267442 0.7906977
500 0.41 0.44699997 0.48 1.0 101.0 107.0 0.24761905 0.3206608 0.37373737 0.7093023 0.7627907 0.81395346
600 0.43666667 0.4683333 0.50333333 1.0 103.2 111.0 0.25233644 0.3297352 0.4056604 0.75581396 0.80465114 0.8255814
700 0.44714287 0.48342857 0.51285714 1.0 105.1 114.0 0.29473683 0.3582874 0.42201835 0.68604654 0.8058139 0.8604651
800 0.45875 0.49575 0.52 1.0 105.3 115.0 0.34736842 0.3878078 0.4528302 0.74418604 0.822093 0.872093
900 0.46888888 0.5112222 0.5422222 1.0 105.1 115.0 0.35 0.4138368 0.47 0.8023256 0.8418605 0.872093
1000 0.474 0.525 0.558 1.0 104.0 113.0 0.36448598 0.4340027 0.5135135 0.7790698 0.833721 0.88372093
1100 0.4781818 0.53609085 0.57 1.0 102.9 111.0 0.41666666 0.46383262 0.5233645 0.75581396 0.82441866 0.872093
1200 0.4925 0.54891664 0.57666665 1.0 103.0 112.0 0.42 0.48092562 0.5566038 0.76744187 0.81046516 0.8488372
1300 0.49923077 0.5612308 0.5846154 1.0 101.4 107.0 0.44791666 0.514798 0.59615386 0.7209302 0.80930233 0.8604651
1400 0.5157143 0.5717143 0.5992857 1.0 100.4 106.0 0.45360824 0.54638207 0.61538464 0.7209302 0.8151163 0.872093
1500 0.5286667 0.5833333 0.60933334 1.0 99.0 105.0 0.50537634 0.578123 0.6413044 0.7093023 0.80930233 0.872093
1600 0.5425 0.5943125 0.61875 1.0 97.4 104.0 0.49462366 0.5967041 0.6413044 0.7209302 0.81046516 0.872093
1700 0.5511765 0.6058824 0.63 1.0 95.7 102.0 0.5 0.6199059 0.6666667 0.73255813 0.80116284 0.8488372
1800 0.56 0.6179444 0.6438889 1.0 94.7 101.0 0.5425532 0.6461937 0.7241379 0.7209302 0.79883724 0.8604651
1900 0.5721053 0.6274737 0.6536842 1.0 93.6 101.0 0.55789477 0.67029905 0.7386364 0.74418604 0.80581397 0.8372093
2000 0.583 0.63775 0.661 1.0 92.0 98.0 0.60215056 0.7002038 0.78409094 0.74418604 0.80465114 0.8488372
2100 0.59 0.64719045 0.66761905 1.0 90.9 98.0 0.6304348 0.727293 0.81395346 0.74418604 0.8023256 0.872093
2200 0.60045457 0.65690905 0.67636365 1.0 89.9 98.0 0.66292137 0.7405134 0.8117647 0.74418604 0.80116284 0.89534885
2300 0.6126087 0.6662609 0.68652177 1.0 88.6 96.0 0.6666667 0.7604722 0.8352941 0.74418604 0.79186046 0.8604651
2400 0.6220833 0.67520833 0.695 1.0 87.4 94.0 0.6744186 0.7765591 0.8433735 0.74418604 0.78837216 0.8372093
2500 0.63 0.68347996 0.7044 1.0 85.5 93.0 0.69411767 0.8003662 0.8795181 0.74418604 0.78604656 0.8255814
2600 0.63884616 0.6914615 0.7146154 1.0 85.7 93.0 0.72527474 0.8076848 0.86904764 0.73255813 0.78837216 0.8255814
2700 0.64592594 0.6996667 0.7237037 1.0 85.5 93.0 0.7741935 0.8196529 0.8795181 0.73255813 0.7825582 0.8255814
2800 0.6528571 0.70725 0.7310714 1.0 84.6 91.0 0.7912088 0.83167744 0.8902439 0.73255813 0.78023255 0.8255814
2900 0.6634483 0.7147241 0.7372414 1.0 83.9 90.0 0.79518074 0.83881265 0.8902439 0.74418604 0.7848837 0.8255814
3000 0.6706667 0.72146666 0.744 1.0 82.3 89.0 0.80487806 0.85758495 0.9220779 0.74418604 0.78720933 0.8255814
3100 0.67903227 0.7283226 0.75096774 1.0 80.8 86.0 0.8271605 0.8767686 0.9350649 0.73255813 0.78488374 0.8255814
3200 0.6859375 0.73481244 0.7578125 1.0 80.5 86.0 0.825 0.8786336 0.9240506 0.73255813 0.7860465 0.81395346
3300 0.69242424 0.7411515 0.7642424 1.0 80.1 84.0 0.8148148 0.8854806 0.93670887 0.73255813 0.7813953 0.81395346
3400 0.6997059 0.74755883 0.7705882 1.0 79.6 83.0 0.8375 0.89573467 0.93670887 0.73255813 0.78023255 0.81395346
3500 0.7062857 0.7533714 0.776 1.0 79.2 84.0 0.8375 0.9019024 0.9350649 0.73255813 0.7813953 0.8255814
3600 0.7125 0.75825006 0.77916664 1.0 79.3 84.0 0.8518519 0.90603054 0.9594595 0.74418604 0.78372097 0.8255814
3700 0.7194595 0.76375675 0.7845946 1.0 79.3 84.0 0.8292683 0.90338707 0.95 0.74418604 0.7860465 0.8255814
3800 0.7263158 0.7688421 0.78973687 1.0 78.3 83.0 0.875 0.91732913 0.96202534 0.74418604 0.78720933 0.8255814
3900 0.73307693 0.77376926 0.7951282 1.0 78.1 84.0 0.8795181 0.92120343 0.96202534 0.74418604 0.78720933 0.8255814
4000 0.73825 0.7783749 0.8 1.0 77.6 84.0 0.9047619 0.92955035 0.974359 0.74418604 0.78604656 0.8255814
4100 0.74439025 0.7832195 0.80487806 1.0 77.4 84.0 0.89873415 0.93243325 0.974359 0.74418604 0.78720933 0.8255814
4200 0.75 0.78771436 0.80904764 1.0 76.9 84.0 0.9047619 0.9397788 0.9859155 0.74418604 0.7848837 0.8255814
4300 0.75581396 0.7920233 0.81302327 1.0 76.9 83.0 0.91566265 0.9435064 0.9722222 0.74418604 0.7860465 0.8255814
4400 0.7606818 0.7961364 0.81704545 1.0 76.8 82.0 0.9220779 0.94428796 0.9589041 0.74418604 0.7860465 0.8255814
4500 0.766 0.8000444 0.8202222 1.0 77.0 81.0 0.9113924 0.94430697 0.96103895 0.75581396 0.7883721 0.8255814
4600 0.77086955 0.8036305 0.82326084 1.0 76.7 80.0 0.9113924 0.94944745 0.97402596 0.75581396 0.78720933 0.8255814
4700 0.7755319 0.8072978 0.8268085 1.0 76.0 80.0 0.9230769 0.958224 0.987013 0.75581396 0.78720933 0.8255814
4800 0.78 0.81081235 0.8304167 1.0 75.7 80.0 0.9113924 0.9634142 1.0 0.75581396 0.78720933 0.8255814
4900 0.7834694 0.81424487 0.8336735 1.0 75.5 80.0 0.9350649 0.96723574 1.0 0.75581396 0.78720933 0.8255814
5000 0.7876 0.8177799 0.837 1.0 75.5 80.0 0.9350649 0.9698941 1.0 0.75581396 0.78720933 0.8255814
5100 0.79156864 0.8211373 0.8401961 1.0 75.2 80.0 0.9444444 0.9723344 1.0 0.75581396 0.7848837 0.8255814
5200 0.7951923 0.8242308 0.8432692 1.0 75.2 79.0 0.9350649 0.97219527 1.0 0.75581396 0.7848837 0.8255814
5300 0.79886794 0.82730186 0.8462264 1.0 75.2 78.0 0.94736844 0.97204286 1.0 0.75581396 0.7848837 0.8255814
5400 0.8024074 0.83022213 0.84907407 1.0 74.9 78.0 0.94736844 0.97595865 1.0 0.75581396 0.7860465 0.8255814
5500 0.806 0.8330363 0.8518182 1.0 74.8 78.0 0.94736844 0.9772218 1.0 0.75581396 0.7848837 0.8255814
5600 0.8092857 0.83589286 0.8544643 1.0 74.6 78.0 0.96 0.98120916 1.0 0.75581396 0.7848837 0.8255814
5700 0.81245613 0.83859646 0.8570175 1.0 74.4 78.0 0.96 0.9851619 1.0 0.75581396 0.7837209 0.8255814
5800 0.81551725 0.8412241 0.85948277 1.0 74.6 78.0 0.9722222 0.9852189 1.0 0.75581396 0.78488374 0.8255814
5900 0.8184746 0.8437797 0.8618644 1.0 74.6 78.0 0.9722222 0.985236 1.0 0.75581396 0.78488374 0.8255814
6000 0.82133335 0.8463333 0.8641667 1.0 74.5 78.0 0.96 0.98527205 1.0 0.75581396 0.7860465 0.8255814
6100 0.8242623 0.8488032 0.86639345 1.0 74.4 78.0 0.96 0.98797476 1.0 0.75581396 0.7860465 0.8255814
6200 0.82709676 0.85124195 0.8685484 1.0 74.4 78.0 0.96 0.98797476 1.0 0.75581396 0.7860465 0.8255814
6300 0.82984126 0.85347617 0.8706349 1.0 74.5 78.0 0.94736844 0.9867116 1.0 0.75581396 0.7848837 0.81395346
6400 0.8321875 0.8557032 0.8726562 1.0 74.6 78.0 0.94736844 0.9853422 1.0 0.75581396 0.7848837 0.81395346
6500 0.83476925 0.8578615 0.8746154 1.0 74.4 78.0 0.96 0.98797524 1.0 0.75581396 0.7848837 0.81395346
6600 0.8372727 0.85996974 0.87651515 1.0 74.3 78.0 0.96 0.989291 1.0 0.75581396 0.7848837 0.81395346
6700 0.8397015 0.8620149 0.8783582 1.0 74.3 78.0 0.9722222 0.99194014 1.0 0.75581396 0.7848837 0.81395346
6800 0.8419118 0.8640294 0.88014704 1.0 74.2 78.0 0.97333336 0.9933095 1.0 0.75581396 0.7848837 0.81395346
6900 0.844058 0.8659856 0.88188404 1.0 74.2 78.0 0.97333336 0.99343586 1.0 0.75581396 0.7848837 0.81395346
7000 0.8462857 0.86785716 0.88357145 1.0 74.2 78.0 0.97333336 0.99343586 1.0 0.75581396 0.7848837 0.81395346
7100 0.8484507 0.86961967 0.8852113 1.0 74.2 78.0 0.97333336 0.99343586 1.0 0.75581396 0.7860465 0.8255814
7200 0.85055554 0.87140274 0.88680553 1.0 74.1 78.0 0.974359 0.99475116 1.0 0.75581396 0.7860465 0.8255814
7300 0.8526027 0.87315065 0.88835615 1.0 74.2 78.0 0.97333336 0.99343586 1.0 0.75581396 0.7860465 0.8255814
7400 0.8545946 0.87485135 0.88986486 1.0 74.2 78.0 0.97333336 0.99343586 1.0 0.75581396 0.7860465 0.8255814
7500 0.8562667 0.87648 0.89133334 1.0 74.2 78.0 0.974359 0.9933623 1.0 0.75581396 0.7860465 0.8255814
7600 0.8581579 0.87809217 0.89276314 1.0 74.2 78.0 0.96153843 0.9920802 1.0 0.75581396 0.7860465 0.8255814
7700 0.86 0.8796624 0.89415586 1.0 74.2 78.0 0.96153843 0.9920802 1.0 0.75581396 0.7860465 0.8255814
7800 0.8617949 0.8812052 0.8955128 1.0 74.2 78.0 0.96153843 0.9920802 1.0 0.75581396 0.7860465 0.8255814
7900 0.8635443 0.8826709 0.89683545 1.0 74.2 78.0 0.96153843 0.9921158 1.0 0.75581396 0.7860465 0.8255814
8000 0.86525 0.88409996 0.898125 1.0 74.2 78.0 0.974359 0.9933979 1.0 0.75581396 0.7860465 0.8255814
8100 0.86691356 0.88550615 0.8993827 1.0 74.1 78.0 0.974359 0.99471366 1.0 0.75581396 0.7860465 0.8255814
8200 0.8685366 0.886878 0.90060973 1.0 74.1 78.0 0.974359 0.99471366 1.0 0.75581396 0.7860465 0.8255814
8300 0.87012047 0.8882289 0.90180725 1.0 74.0 78.0 0.974359 0.996047 1.0 0.75581396 0.7860465 0.8255814
8400 0.87154764 0.88954765 0.9029762 1.0 73.9 78.0 0.974359 0.9974359 1.0 0.75581396 0.7860465 0.8255814
8500 0.8730588 0.8908235 0.90411764 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
8600 0.8745349 0.892093 0.90523255 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
8700 0.87597704 0.8933333 0.9063218 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
8800 0.8773864 0.89454544 0.90738636 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
8900 0.87876403 0.8957303 0.90842694 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
9000 0.8801111 0.8968889 0.90944445 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
9100 0.8814286 0.898022 0.91043955 1.0 73.9 78.0 1.0 1.0 1.0 0.75581396 0.7860465 0.8255814
9200 0.8827174 0.89911956 0.911413 1.0 74.0 78.0 1.0 1.0 1.0 0.75581396 0.78720933 0.8255814
9300 0.8839785 0.9002043 0.9123656 1.0 74.0 78.0 1.0 1.0 1.0 0.75581396 0.78720933 0.8255814
9400 0.8852128 0.9012659 0.9132979 1.0 74.0 78.0 1.0 1.0 1.0 0.75581396 0.78720933 0.8255814
9500 0.886421 0.9023053 0.9142105 1.0 74.0 78.0 0.98717946 0.9987179 1.0 0.75581396 0.78720933 0.8255814
9600 0.8876042 0.903323 0.91510415 1.0 74.0 78.0 0.974359 0.9974359 1.0 0.75581396 0.78720933 0.8255814
9700 0.8887629 0.90429896 0.9159794 1.0 74.0 78.0 0.974359 0.9974359 1.0 0.75581396 0.78720933 0.8255814
9800 0.88989794 0.9052755 0.91683674 1.0 74.0 78.0 0.974359 0.9974359 1.0 0.75581396 0.78720933 0.8255814
9900 0.8910101 0.9062222 0.91767675 1.0 74.0 78.0 0.98717946 0.9987179 1.0 0.75581396 0.78720933 0.8255814
10000 0.8921 0.90716 0.9185 1.0 74.0 78.0 0.98717946 0.9987179 1.0 0.75581396 0.78720933 0.8255814
