rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8860465 0.95348835
100 0.21 0.29299998 0.34 1.0 95.1 99.0 0.08695652 0.11860678 0.13541667 0.8488372 0.90465117 0.96511626
200 0.265 0.33299997 0.37 1.0 101.4 105.0 0.10576923 0.13397126 0.16 0.8488372 0.8988372 0.96511626
300 0.31666666 0.34900004 0.37666667 1.0 102.6 105.0 0.115384616 0.14824702 0.19 0.8488372 0.9 0.94186044
400 0.34 0.37375003 0.3975 1.0 101.7 104.0 0.12871288 0.17408866 0.20792079 0.8488372 0.8883721 0.95348835
500 0.352 0.39159998 0.416 1.0 101.6 107.0 0.14141414 0.20173664 0.23762377 0.8023256 0.8651163 0.9302326
600 0.39 0.4108333 0.44333333 1.0 100.8 105.0 0.18367347 0.234906 0.2761905 0.7906977 0.8697675 0.94186044
700 0.40428573 0.42642856 0.45285714 1.0 99.1 102.0 0.19387755 0.24888733 0.3069307 0.81395346 0.8709302 0.94186044
800 0.415 0.43925 0.46375 1.0 98.0 102.0 0.23469388 0.26932645 0.30526316 0.7790698 0.844186 0.89534885
900 0.43 0.45088887 0.47666666 1.0 97.8 102.0 0.23958333 0.2910683 0.37254903 0.75581396 0.833721 0.88372093
1000 0.444 0.4673 0.496 1.0 95.3 98.0 0.27659574 0.3177268 0.37755102 0.73255813 0.8162791 0.9186047
1100 0.45272726 0.4820909 0.5090909 1.0 94.9 100.0 0.2929293 0.3362189 0.38541666 0.75581396 0.8139535 0.89534885
1200 0.46583334 0.49325004 0.5158333 1.0 93.5 96.0 0.32608697 0.3729505 0.4375 0.7209302 0.8 0.88372093
1300 0.4846154 0.5080769 0.5307692 1.0 92.4 95.0 0.35106382 0.40177113 0.4673913 0.74418604 0.79651165 0.8604651
1400 0.49785715 0.5202857 0.5392857 1.0 91.0 94.0 0.40425533 0.44077182 0.51111114 0.74418604 0.78953487 0.88372093
1500 0.51266664 0.53293335 0.55333334 1.0 90.0 92.0 0.37777779 0.46552032 0.52747256 0.73255813 0.7848837 0.872093
1600 0.5175 0.5439375 0.568125 1.0 88.8 93.0 0.39784947 0.49380994 0.5568182 0.7209302 0.77558136 0.8488372
1700 0.53 0.55776465 0.5788235 1.0 88.6 92.0 0.46067417 0.508334 0.5632184 0.7209302 0.78837216 0.8372093
1800 0.54 0.56866664 0.5883333 1.0 86.9 90.0 0.49411765 0.5387316 0.64705884 0.74418604 0.7813954 0.8372093
1900 0.55105263 0.5783158 0.59894735 1.0 85.1 89.0 0.51724136 0.5702131 0.6321839 0.74418604 0.76976746 0.8023256
2000 0.565 0.58975 0.6115 1.0 82.5 87.0 0.54651165 0.61484134 0.6785714 0.74418604 0.7651163 0.8023256
2100 0.57714283 0.5992857 0.62333333 1.0 82.1 87.0 0.5925926 0.6286524 0.72839504 0.7093023 0.7569767 0.8023256
2200 0.5872727 0.6087273 0.63454545 1.0 80.6 89.0 0.5925926 0.6487578 0.721519 0.68604654 0.755814 0.8023256
2300 0.59695655 0.6184348 0.64608693 1.0 80.2 86.0 0.627907 0.6765966 0.7468355 0.68604654 0.7569767 0.8023256
2400 0.60583335 0.62649995 0.65375 1.0 78.5 82.0 0.6666667 0.7072563 0.75 0.68604654 0.75232565 0.8023256
2500 0.6152 0.63556004 0.6616 1.0 77.4 81.0 0.69135803 0.7303894 0.7808219 0.68604654 0.7511628 0.8255814
2600 0.62653846 0.6447693 0.66923076 1.0 76.9 81.0 0.6933333 0.74305445 0.8055556 0.68604654 0.7395349 0.7906977
2700 0.6340741 0.6533333 0.6774074 1.0 75.9 80.0 0.7125 0.7593858 0.8169014 0.68604654 0.7372093 0.7790698
2800 0.64178574 0.6613571 0.68642855 1.0 75.6 81.0 0.69135803 0.7705913 0.7972973 0.68604654 0.7488372 0.81395346
2900 0.6513793 0.66944826 0.69310343 1.0 73.8 79.0 0.721519 0.7892679 0.8194444 0.68604654 0.73953485 0.81395346
3000 0.658 0.6762333 0.6996667 1.0 72.9 78.0 0.7808219 0.8099055 0.87142855 0.68604654 0.73372096 0.8023256
3100 0.6651613 0.6836129 0.70387095 1.0 73.5 83.0 0.7631579 0.8146559 0.87142855 0.68604654 0.73372096 0.8023256
3200 0.674375 0.6904688 0.706875 1.0 73.5 80.0 0.7631579 0.8155459 0.8450704 0.68604654 0.7372093 0.7790698
3300 0.6818182 0.697303 0.71363634 1.0 73.6 82.0 0.7532467 0.820078 0.85714287 0.68604654 0.7348837 0.7906977
3400 0.6882353 0.7037059 0.7197059 1.0 72.7 80.0 0.7837838 0.83419627 0.8695652 0.6976744 0.7383721 0.7906977
3500 0.69514287 0.71028566 0.7254286 1.0 72.7 79.0 0.7837838 0.83552724 0.8888889 0.6976744 0.7418605 0.8023256
3600 0.70111114 0.71622217 0.7302778 1.0 72.1 79.0 0.79452056 0.8452883 0.90140843 0.6976744 0.74418604 0.8488372
3700 0.7067568 0.7217027 0.73513514 1.0 71.3 77.0 0.8028169 0.8589079 0.9142857 0.6976744 0.74186045 0.81395346
3800 0.71289474 0.7273158 0.7405263 1.0 70.4 74.0 0.8028169 0.87386763 0.9264706 0.6976744 0.73720926 0.8023256
3900 0.7184615 0.7326923 0.7448718 1.0 69.9 73.0 0.8333333 0.8849125 0.9402985 0.68604654 0.73139536 0.7906977
4000 0.724 0.7377 0.75025 1.0 69.4 73.0 0.8309859 0.8852185 0.942029 0.6976744 0.73139536 0.7906977
4100 0.7304878 0.7427074 0.75487804 1.0 68.3 72.0 0.85507244 0.902748 0.9701493 0.68604654 0.73139536 0.7906977
4200 0.73642856 0.74761903 0.76 1.0 68.0 72.0 0.85714287 0.91381395 0.9701493 0.68604654 0.7302326 0.7906977
4300 0.7406977 0.7524651 0.7651163 1.0 67.4 71.0 0.8695652 0.9258865 0.9701493 0.68604654 0.7360465 0.7906977
4400 0.7456818 0.75731814 0.76954544 1.0 68.1 71.0 0.8695652 0.9164678 0.9577465 0.68604654 0.73255813 0.7906977
4500 0.7502222 0.7618222 0.7735556 1.0 67.2 69.0 0.88235295 0.9300645 0.98550725 0.68604654 0.73720926 0.7906977
4600 0.75456524 0.7659565 0.7778261 1.0 67.4 70.0 0.89855075 0.9256997 0.9714286 0.68604654 0.73488367 0.7906977
4700 0.75893617 0.7704042 0.7823404 1.0 66.7 70.0 0.8955224 0.93534166 0.9714286 0.68604654 0.7313953 0.7906977
4800 0.76354164 0.77464586 0.7866667 1.0 66.3 69.0 0.9104478 0.94402856 0.98550725 0.68604654 0.7337209 0.7906977
4900 0.76816326 0.77863264 0.7906122 1.0 66.2 70.0 0.9104478 0.9458615 0.98550725 0.68604654 0.7337209 0.7906977
5000 0.7722 0.78258 0.7948 1.0 65.4 69.0 0.92424244 0.95878184 0.98550725 0.68604654 0.7325581 0.7906977
5100 0.7762745 0.78641164 0.79862744 1.0 65.4 69.0 0.93846154 0.9620164 1.0 0.68604654 0.7325581 0.7906977
5200 0.7803846 0.7901538 0.8021154 1.0 65.6 69.0 0.92753625 0.9592072 1.0 0.68604654 0.73255813 0.8023256
5300 0.78415096 0.7938113 0.8054717 1.0 65.2 69.0 0.953125 0.9693225 1.0 0.68604654 0.73255813 0.8023256
5400 0.787963 0.7972592 0.8087037 1.0 65.2 69.0 0.93846154 0.97072667 1.0 0.68604654 0.73255813 0.8023256
5500 0.79163635 0.8007091 0.81218183 1.0 65.1 69.0 0.92424244 0.9723302 1.0 0.68604654 0.73255813 0.8023256
5600 0.795 0.804 0.8151786 1.0 65.3 69.0 0.92424244 0.97089213 1.0 0.68604654 0.7337209 0.8023256
5700 0.798421 0.8072456 0.8182456 1.0 65.1 70.0 0.92424244 0.9739906 1.0 0.68604654 0.7337209 0.8023256
5800 0.8015517 0.81031036 0.82120687 1.0 65.1 70.0 0.92537314 0.9724442 1.0 0.68604654 0.7337209 0.8023256
5900 0.8045763 0.8132373 0.8242373 1.0 65.2 70.0 0.92537314 0.9724466 1.0 0.68604654 0.7337209 0.8023256
6000 0.8078333 0.8162001 0.827 1.0 65.1 70.0 0.953125 0.9737787 1.0 0.68604654 0.7360465 0.8023256
6100 0.8108197 0.8190328 0.8298361 1.0 65.1 70.0 0.95238096 0.97375566 1.0 0.6976744 0.73720926 0.8023256
6200 0.8132258 0.82179034 0.83241934 1.0 65.1 70.0 0.95238096 0.9753124 1.0 0.6976744 0.7360465 0.8023256
6300 0.8155556 0.8244603 0.8350794 1.0 65.0 70.0 0.95384616 0.978484 1.0 0.6976744 0.73488367 0.8023256
6400 0.8184375 0.8270157 0.83765626 1.0 64.5 69.0 0.96825397 0.98595107 1.0 0.6976744 0.73488367 0.8023256
6500 0.8210769 0.8295385 0.8401539 1.0 64.3 69.0 0.96825397 0.98744357 1.0 0.6976744 0.73488367 0.8023256
6600 0.82378787 0.83206064 0.8425757 1.0 64.3 69.0 0.96825397 0.98744357 1.0 0.6976744 0.73488367 0.8023256
6700 0.8264179 0.83441794 0.8447761 1.0 64.3 70.0 0.96825397 0.98760223 1.0 0.6976744 0.73488367 0.8023256
6800 0.8289706 0.83680886 0.84705883 1.0 64.3 70.0 0.96825397 0.98760223 1.0 0.6976744 0.73720926 0.8023256
6900 0.8313044 0.8390869 0.84927535 1.0 64.2 70.0 0.96825397 0.9907303 1.0 0.6976744 0.7360465 0.8023256
7000 0.8337143 0.8413143 0.8512857 1.0 64.1 69.0 0.96825397 0.9921589 1.0 0.6976744 0.7360465 0.8023256
7100 0.83605635 0.843507 0.85338026 1.0 63.9 69.0 0.96825397 0.99528694 1.0 0.6976744 0.73488367 0.8023256
7200 0.8383333 0.8456667 0.85541666 1.0 64.0 69.0 0.96825397 0.9936741 1.0 0.6976744 0.73488367 0.8023256
7300 0.8405479 0.8477808 0.85739726 1.0 64.0 69.0 0.96825397 0.9936741 1.0 0.6976744 0.73488367 0.8023256
7400 0.84256756 0.84977025 0.85932434 1.0 63.9 69.0 0.983871 0.99523574 1.0 0.6976744 0.73488367 0.8023256
7500 0.8445333 0.85176 0.8612 1.0 63.9 69.0 0.983871 0.99523574 1.0 0.6976744 0.73488367 0.8023256
7600 0.84657896 0.8536975 0.8630263 1.0 63.8 69.0 0.983871 0.9968487 1.0 0.6976744 0.73488367 0.8023256
7700 0.8485714 0.8555714 0.8648052 1.0 64.0 69.0 0.9701493 0.9938636 1.0 0.6976744 0.73488367 0.8023256
7800 0.8505128 0.85738456 0.86641026 1.0 64.0 69.0 0.9701493 0.9938636 1.0 0.6976744 0.73488367 0.8023256
7900 0.8524051 0.85917723 0.86810124 1.0 64.1 69.0 0.9701493 0.9923484 1.0 0.6976744 0.73488367 0.8023256
8000 0.85425 0.86082506 0.86975 1.0 64.1 69.0 0.9701493 0.9923484 1.0 0.6976744 0.7360465 0.8023256
8100 0.85604936 0.8625186 0.87135804 1.0 64.0 69.0 0.983871 0.9938183 1.0 0.6976744 0.73488367 0.8023256
8200 0.8578049 0.86419517 0.87292683 1.0 64.0 69.0 0.983871 0.9938183 1.0 0.6976744 0.73488367 0.8023256
8300 0.8593976 0.86579514 0.87445784 1.0 64.0 69.0 0.983871 0.993841 1.0 0.6976744 0.73488367 0.8023256
8400 0.8610714 0.86739284 0.87595236 1.0 64.0 69.0 0.983871 0.993841 1.0 0.6976744 0.73488367 0.8023256
8500 0.8625882 0.86891764 0.8772941 1.0 64.0 69.0 0.983871 0.993841 1.0 0.6976744 0.73488367 0.8023256
8600 0.8639535 0.8703836 0.87872094 1.0 63.9 69.0 0.9846154 0.99545383 1.0 0.6976744 0.73488367 0.8023256
