rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.10929294 0.11111111 0.8372093 0.8883721 0.95348835
100 0.21 0.30699998 0.44 1.0 93.2 97.0 0.08510638 0.12001006 0.15957446 0.872093 0.89418614 0.9186047
200 0.27 0.34649998 0.46 1.0 96.9 101.0 0.095744684 0.14021185 0.1827957 0.76744187 0.86046517 0.95348835
300 0.33 0.379 0.44666666 1.0 97.9 100.0 0.121212125 0.15833512 0.20833333 0.75581396 0.8662791 0.95348835
400 0.3675 0.40675002 0.4475 1.0 95.6 100.0 0.13541667 0.17577656 0.22340426 0.75581396 0.8593024 0.9302326
500 0.392 0.42679995 0.468 1.0 93.8 98.0 0.14285715 0.19540463 0.2747253 0.73255813 0.8430233 0.9302326
600 0.41333333 0.44583336 0.49166667 1.0 91.7 96.0 0.17708333 0.22435474 0.26966292 0.7209302 0.82325584 0.872093
700 0.42857143 0.46114287 0.49285713 1.0 89.4 96.0 0.18888889 0.23402664 0.2736842 0.74418604 0.79883724 0.8604651
800 0.46125 0.47999996 0.5125 1.0 87.4 93.0 0.2 0.24603483 0.27160493 0.6976744 0.7895348 0.88372093
900 0.47333333 0.49422216 0.5188889 1.0 84.1 91.0 0.25581396 0.28859097 0.34210527 0.6627907 0.75232565 0.8488372
1000 0.487 0.51280004 0.534 1.0 80.9 91.0 0.28915662 0.33974153 0.4117647 0.6511628 0.7162791 0.8372093
1100 0.50454545 0.53263634 0.5536364 1.0 78.2 91.0 0.28767124 0.37220296 0.4390244 0.627907 0.7 0.8488372
1200 0.52166665 0.54616666 0.56583333 1.0 74.9 84.0 0.36585367 0.40391082 0.4520548 0.61627907 0.68139535 0.81395346
1300 0.5407692 0.5630769 0.58615386 1.0 72.5 84.0 0.3970588 0.4508418 0.5151515 0.60465115 0.6744186 0.7790698
1400 0.555 0.5773572 0.6028572 1.0 70.0 82.0 0.42682928 0.49198484 0.55714285 0.60465115 0.65348834 0.7790698
1500 0.576 0.5941334 0.616 1.0 67.8 81.0 0.45679012 0.5146337 0.5588235 0.60465115 0.64069766 0.76744187
1600 0.593125 0.6076874 0.6275 1.0 65.2 79.0 0.44 0.55936706 0.62068963 0.5697674 0.6360465 0.74418604
1700 0.60411763 0.62211764 0.6435294 1.0 63.6 79.0 0.49367088 0.590052 0.6440678 0.54651165 0.6209302 0.74418604
1800 0.62 0.6360556 0.66 1.0 62.0 77.0 0.53246754 0.628446 0.6785714 0.53488374 0.61046517 0.73255813
1900 0.6310526 0.64852625 0.6731579 1.0 60.5 76.0 0.56578946 0.6669041 0.7407407 0.5232558 0.5976744 0.7093023
2000 0.637 0.65940005 0.684 1.0 58.7 73.0 0.6060606 0.71129984 0.7962963 0.5232558 0.5883721 0.68604654
2100 0.65 0.67161906 0.6957143 1.0 57.5 70.0 0.6507937 0.73158467 0.8148148 0.5232558 0.58488375 0.6627907
2200 0.6618182 0.6823636 0.705 1.0 56.7 70.0 0.64285713 0.7455786 0.8269231 0.5116279 0.5767442 0.6627907
2300 0.67130435 0.6932174 0.71565217 1.0 55.9 69.0 0.6721311 0.768294 0.84313726 0.5116279 0.5767442 0.6744186
2400 0.67833334 0.702875 0.72583336 1.0 55.4 69.0 0.6721311 0.78442156 0.88 0.5 0.5767442 0.6744186
2500 0.6884 0.71160007 0.7364 1.0 54.8 68.0 0.704918 0.8041876 0.9 0.5232558 0.5825581 0.6976744
2600 0.69576925 0.7203846 0.7457692 1.0 53.7 65.0 0.71666664 0.8335804 0.9 0.5116279 0.5837209 0.6744186
2700 0.70555556 0.7292963 0.7544444 1.0 52.8 62.0 0.71666664 0.8495123 0.8979592 0.5116279 0.5767442 0.6744186
2800 0.7135714 0.73725003 0.76214284 1.0 51.8 60.0 0.7894737 0.87243426 0.9166667 0.5116279 0.57209307 0.6627907
2900 0.7224138 0.74524134 0.76931036 1.0 51.4 60.0 0.80701756 0.8774465 0.9318182 0.5 0.5686047 0.6627907
3000 0.72966665 0.7526668 0.77633333 1.0 51.1 58.0 0.7894737 0.8900811 0.95454544 0.5 0.56860465 0.6511628
3100 0.7370968 0.7595807 0.78290325 1.0 50.6 57.0 0.80701756 0.8878199 0.94736844 0.5 0.5651163 0.6511628
3200 0.7428125 0.76609373 0.7884375 1.0 50.5 57.0 0.8245614 0.8960535 0.93877554 0.5 0.5651163 0.6511628
3300 0.7487879 0.77239394 0.7945455 1.0 49.9 57.0 0.8703704 0.9223528 0.9791667 0.5 0.5651163 0.6511628
3400 0.75411767 0.77841175 0.7991176 1.0 49.7 56.0 0.8703704 0.931497 1.0 0.5116279 0.5639535 0.6511628
3500 0.75942856 0.78417146 0.8037143 1.0 49.2 56.0 0.9166667 0.9502939 1.0 0.5116279 0.56279075 0.6511628
3600 0.76555556 0.78975 0.80916667 1.0 49.0 56.0 0.9183673 0.9541569 1.0 0.4883721 0.5604651 0.6511628
3700 0.77135134 0.7949459 0.81378376 1.0 48.9 56.0 0.9183673 0.95855725 1.0 0.4883721 0.56279075 0.6511628
3800 0.7771053 0.800079 0.81842107 1.0 48.4 56.0 0.9183673 0.9667495 1.0 0.4883721 0.5581395 0.6511628
3900 0.7828205 0.8051283 0.8230769 1.0 48.4 56.0 0.9183673 0.96687204 1.0 0.4883721 0.5593023 0.6511628
4000 0.788 0.80982506 0.827 1.0 48.1 56.0 0.9411765 0.9772072 1.0 0.4883721 0.55813956 0.6511628
