rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8930233 0.95348835
100 0.25 0.326 0.43 1.0 93.5 99.0 0.08421053 0.12001364 0.17204301 0.8604651 0.90465117 0.94186044
200 0.29 0.36349997 0.435 1.0 98.8 102.0 0.0990099 0.13250457 0.17 0.81395346 0.89534885 0.94186044
300 0.34333333 0.39033335 0.44666666 1.0 97.8 101.0 0.11 0.16463524 0.22222222 0.8255814 0.883721 0.9302326
400 0.3575 0.41500002 0.4525 1.0 96.9 100.0 0.14141414 0.18703228 0.22680412 0.7906977 0.8744186 0.95348835
500 0.394 0.44099998 0.476 1.0 94.7 98.0 0.15306123 0.19224903 0.22916667 0.81395346 0.8569768 0.89534885
600 0.43166667 0.46449995 0.495 1.0 93.2 96.0 0.18947369 0.21572027 0.24175824 0.8023256 0.84069765 0.88372093
700 0.45857143 0.48328575 0.51 1.0 90.8 95.0 0.18478261 0.23980215 0.2736842 0.8023256 0.8523256 0.90697676
800 0.4725 0.50125 0.5375 1.0 88.0 93.0 0.23076923 0.27064335 0.31111112 0.7790698 0.8360465 0.88372093
900 0.49555555 0.51811105 0.54555553 1.0 85.8 90.0 0.23863636 0.29255608 0.33333334 0.7790698 0.8162791 0.89534885
1000 0.522 0.5374 0.559 1.0 83.9 88.0 0.23255815 0.30994597 0.35365853 0.75581396 0.80581397 0.872093
1100 0.54 0.555 0.5809091 1.0 81.9 87.0 0.30120483 0.33574742 0.3678161 0.7093023 0.79651165 0.872093
1200 0.55833334 0.57425004 0.5966667 1.0 79.7 86.0 0.3253012 0.37479392 0.42105263 0.7093023 0.78488374 0.8604651
1300 0.5730769 0.5913846 0.6138462 1.0 77.9 85.0 0.35135135 0.4110511 0.47435898 0.7093023 0.7790697 0.8604651
1400 0.5878571 0.6061429 0.62214285 1.0 76.1 82.0 0.38356164 0.44252658 0.49295774 0.7093023 0.7616279 0.8488372
1500 0.604 0.6212667 0.6393333 1.0 74.2 80.0 0.4027778 0.46744815 0.51428574 0.7209302 0.7651163 0.8488372
1600 0.616875 0.63537496 0.650625 1.0 72.2 78.0 0.45333335 0.4892072 0.5217391 0.7093023 0.7593023 0.8488372
1700 0.62764704 0.6488824 0.6623529 1.0 70.0 75.0 0.46478873 0.5222472 0.578125 0.7093023 0.7523256 0.8488372
1800 0.6427778 0.6631111 0.6761111 1.0 68.7 75.0 0.5 0.53875405 0.6031746 0.7093023 0.75 0.8488372
1900 0.65947366 0.6765263 0.6894737 1.0 67.0 74.0 0.52112675 0.56160855 0.6333333 0.6976744 0.75348836 0.8488372
2000 0.676 0.6893 0.6995 1.0 66.1 74.0 0.51428574 0.56907535 0.6333333 0.6976744 0.7523256 0.8488372
2100 0.69 0.70166665 0.71238095 1.0 65.2 73.0 0.5285714 0.58179736 0.6551724 0.7093023 0.75581396 0.8488372
2200 0.7013636 0.7120909 0.7236364 1.0 64.0 71.0 0.5362319 0.59825164 0.68421054 0.7093023 0.7546512 0.8488372
2300 0.71217394 0.7228261 0.73478264 1.0 62.7 71.0 0.5294118 0.60647166 0.6964286 0.6976744 0.7476744 0.8488372
2400 0.72083336 0.73291665 0.745 1.0 61.8 71.0 0.53731346 0.61530733 0.6785714 0.7093023 0.7488372 0.8488372
2500 0.7308 0.74276 0.7548 1.0 61.4 70.0 0.54545456 0.6174547 0.6785714 0.7093023 0.7488372 0.8488372
2600 0.74038464 0.7516154 0.76384616 1.0 61.3 70.0 0.56060606 0.62525594 0.6964286 0.7093023 0.7488372 0.8488372
2700 0.7496296 0.760037 0.7725926 1.0 61.1 69.0 0.5692308 0.62685114 0.6964286 0.6976744 0.7453488 0.8488372
2800 0.75714284 0.7675357 0.7803571 1.0 60.4 66.0 0.578125 0.63862264 0.7090909 0.6976744 0.74651164 0.8488372
