rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
100 0.25 0.33699998 0.43 1.0 82.1 88.0 0.085365854 0.1273644 0.18181819 0.7093023 0.8290698 0.88372093
200 0.335 0.40499997 0.445 1.0 74.9 88.0 0.10666667 0.15211113 0.1891892 0.627907 0.7406976 0.8372093
300 0.41333333 0.45100003 0.48666668 1.0 64.6 72.0 0.09859155 0.18977845 0.25 0.5 0.6604651 0.76744187
400 0.4775 0.49899998 0.52 1.0 55.4 63.0 0.16393442 0.24925694 0.32608697 0.39534885 0.5872093 0.6744186
500 0.526 0.547 0.568 1.0 48.7 56.0 0.20408164 0.2807992 0.3617021 0.37209302 0.5244186 0.61627907
600 0.56333333 0.5886666 0.6166667 1.0 43.6 51.0 0.25531915 0.3390643 0.46666667 0.37209302 0.48372087 0.5813953
700 0.5942857 0.62471426 0.6514286 1.0 39.7 50.0 0.3255814 0.41470724 0.5714286 0.3604651 0.46162787 0.55813956
800 0.63375 0.6565 0.68125 1.0 38.0 48.0 0.35897437 0.4708372 0.59375 0.3488372 0.45116276 0.54651165
900 0.66 0.6840001 0.70555556 1.0 36.6 45.0 0.36585367 0.5006668 0.61290324 0.3372093 0.4465116 0.53488374
1000 0.689 0.7088 0.733 1.0 35.0 42.0 0.43589744 0.55759054 0.73333335 0.3372093 0.44534883 0.53488374
1100 0.7145454 0.7307272 0.75545454 1.0 33.9 40.0 0.5 0.58048016 0.6666667 0.3372093 0.44418603 0.54651165
1200 0.7316667 0.74875003 0.77416664 1.0 33.2 40.0 0.5555556 0.6374546 0.7 0.3372093 0.44069767 0.53488374
1300 0.74846154 0.7651539 0.79 1.0 32.8 38.0 0.5769231 0.6682019 0.76666665 0.3372093 0.43023252 0.53488374
1400 0.765 0.78085715 0.80285716 1.0 32.7 38.0 0.6111111 0.68358576 0.76666665 0.3372093 0.43023252 0.53488374
1500 0.78 0.7946 0.8153333 1.0 32.6 38.0 0.625 0.7031852 0.8 0.3372093 0.43023252 0.5232558
1600 0.793125 0.8065624 0.825625 1.0 32.4 38.0 0.6111111 0.7020133 0.76666665 0.3372093 0.43139535 0.5232558
1700 0.8052941 0.81747055 0.8347059 1.0 32.2 38.0 0.6388889 0.7195994 0.82758623 0.3372093 0.42906976 0.5232558
1800 0.815 0.8273333 0.8438889 1.0 32.2 38.0 0.6388889 0.72682524 0.82758623 0.3372093 0.42906976 0.5232558
1900 0.8242105 0.8361052 0.85210526 1.0 32.2 38.0 0.6388889 0.7262341 0.8 0.3372093 0.42906976 0.5232558
2000 0.833 0.844 0.859 1.0 32.1 38.0 0.6388889 0.7322111 0.82758623 0.3372093 0.42906976 0.5232558
2100 0.8404762 0.8512381 0.8657143 1.0 32.0 38.0 0.6388889 0.73877025 0.8333333 0.3372093 0.427907 0.5232558
2200 0.8477273 0.8579092 0.8718182 1.0 32.0 38.0 0.6666667 0.7441796 0.8333333 0.3372093 0.427907 0.5232558
2300 0.8543478 0.86404353 0.8773913 1.0 31.9 38.0 0.6666667 0.74372035 0.8333333 0.3372093 0.427907 0.5232558
2400 0.86 0.869625 0.8825 1.0 31.9 38.0 0.6666667 0.7464981 0.8333333 0.3372093 0.427907 0.5232558
2500 0.8656 0.87483996 0.8872 1.0 31.9 38.0 0.6666667 0.7464981 0.8333333 0.3372093 0.427907 0.5232558
