rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.08023255 0.093023255
100 0.29 0.374 0.49 1.0 63.6 72.0 0.30555555 0.35791793 0.41666666 0.38372093 0.49767447 0.6395349
200 0.365 0.41349998 0.495 1.0 81.9 86.0 0.29761904 0.34194085 0.37662336 0.5813953 0.6802325 0.7906977
300 0.41666666 0.45099998 0.49333334 1.0 89.9 96.0 0.28723404 0.33594432 0.4090909 0.627907 0.7569767 0.8023256
400 0.445 0.47299996 0.515 1.0 92.8 103.0 0.3152174 0.3652318 0.46067417 0.6976744 0.772093 0.8604651
500 0.474 0.4966 0.532 1.0 94.3 100.0 0.31632653 0.38804215 0.42553192 0.74418604 0.7988372 0.8488372
600 0.5 0.5196666 0.54833335 1.0 94.5 102.0 0.375 0.42096728 0.47368422 0.76744187 0.8034884 0.8604651
700 0.5114286 0.53514296 0.56857145 1.0 93.2 97.0 0.40860215 0.4650384 0.5116279 0.7790698 0.80581397 0.8488372
800 0.535 0.553125 0.5825 1.0 93.1 98.0 0.4673913 0.5012959 0.53061223 0.7790698 0.8197675 0.8488372
900 0.55333334 0.5707778 0.5988889 1.0 93.5 101.0 0.44 0.5429819 0.5888889 0.8023256 0.82558143 0.8604651
1000 0.572 0.5878 0.616 1.0 91.9 98.0 0.47959185 0.57291156 0.6344086 0.7906977 0.8209302 0.8488372
1100 0.5872727 0.6037273 0.63363636 1.0 91.5 100.0 0.52 0.6062099 0.6781609 0.8023256 0.8290698 0.8604651
1200 0.605 0.6196667 0.64 1.0 89.1 97.0 0.58762884 0.65450084 0.7294118 0.8023256 0.82790697 0.872093
1300 0.6176923 0.63530767 0.65 1.0 88.5 96.0 0.6145833 0.6969888 0.78409094 0.8023256 0.83255816 0.89534885
1400 0.63357145 0.64842856 0.6621429 1.0 87.8 94.0 0.63736266 0.73578393 0.7977528 0.8023256 0.8302326 0.8604651
1500 0.648 0.6609999 0.67266667 1.0 86.9 91.0 0.72527474 0.7639821 0.8181818 0.7906977 0.82674426 0.872093
1600 0.65875 0.67350006 0.685 1.0 86.1 90.0 0.7386364 0.7842801 0.82758623 0.7906977 0.82558143 0.8604651
1700 0.67294115 0.6854706 0.69647056 1.0 84.7 87.0 0.76744187 0.8134915 0.8488372 0.8023256 0.8290698 0.872093
1800 0.6855556 0.6971667 0.7083333 1.0 83.4 89.0 0.78571427 0.84098375 0.89411765 0.7906977 0.82441854 0.8604651
1900 0.69473684 0.70773685 0.7168421 1.0 82.7 87.0 0.8045977 0.8622959 0.90697676 0.8023256 0.82441866 0.8604651
2000 0.704 0.71795 0.7255 1.0 83.2 88.0 0.8214286 0.8636643 0.8974359 0.7906977 0.82558143 0.8604651
2100 0.7114286 0.7282857 0.7352381 1.0 82.7 87.0 0.83908045 0.8737823 0.92105263 0.7906977 0.82558143 0.8604651
2200 0.72136366 0.7375909 0.745 1.0 82.2 88.0 0.8604651 0.88969624 0.90789473 0.7906977 0.82790697 0.8604651
2300 0.7321739 0.74647826 0.7534783 1.0 82.5 88.0 0.875 0.89606285 0.925 0.7906977 0.82790697 0.8604651
2400 0.74125 0.7545417 0.7604167 1.0 81.1 84.0 0.89285713 0.92256796 0.9382716 0.7906977 0.82790697 0.872093
2500 0.7484 0.76244 0.768 1.0 80.2 83.0 0.9113924 0.9317071 0.97333336 0.7906977 0.8279069 0.8604651
2600 0.75576925 0.77007693 0.77615386 1.0 80.1 84.0 0.9047619 0.9366347 0.962963 0.7906977 0.82906973 0.8604651
2700 0.7644445 0.7777408 0.78444445 1.0 79.2 82.0 0.9268293 0.94828826 0.9746835 0.7906977 0.82441854 0.8604651
2800 0.7725 0.7847499 0.79 1.0 78.7 82.0 0.9375 0.95574677 0.9746835 0.7906977 0.82441866 0.8604651
2900 0.78034484 0.79155177 0.7965517 1.0 78.6 82.0 0.9268293 0.9610392 0.9868421 0.7906977 0.82325584 0.8604651
3000 0.7873333 0.7978667 0.80233335 1.0 78.1 80.0 0.93670887 0.96701354 0.9868421 0.7906977 0.82441854 0.8604651
3100 0.793871 0.8040001 0.8080645 1.0 78.3 81.0 0.93670887 0.96569717 0.9866667 0.7906977 0.82441854 0.8604651
