rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 54.6 55.0 0.10909091 0.11171718 0.12727273 0.8372093 0.8930232 0.95348835
100 0.23 0.335 0.42 1.0 93.2 98.0 0.1368421 0.1792126 0.23655914 0.8023256 0.8837209 0.95348835
200 0.305 0.37300003 0.43 1.0 96.0 101.0 0.16494845 0.20327489 0.25263157 0.76744187 0.87558144 0.9186047
300 0.36666667 0.40600005 0.45666668 1.0 94.3 100.0 0.185567 0.2386818 0.29473683 0.81395346 0.8523256 0.89534885
400 0.4075 0.432 0.4675 1.0 92.1 99.0 0.22826087 0.269593 0.31460676 0.73255813 0.83139545 0.9186047
500 0.436 0.4572 0.494 1.0 90.6 98.0 0.25301206 0.29336435 0.36263737 0.8023256 0.84069765 0.90697676
600 0.45333335 0.4825 0.50166667 1.0 88.8 95.0 0.28235295 0.32817662 0.39285713 0.8023256 0.844186 0.89534885
700 0.47428572 0.502 0.5271429 1.0 86.4 92.0 0.3152174 0.36446014 0.42528737 0.75581396 0.8139535 0.88372093
800 0.49125 0.52275 0.54375 1.0 84.3 91.0 0.3409091 0.40402094 0.47058824 0.73255813 0.8069768 0.872093
900 0.51222223 0.5382222 0.54888886 1.0 81.2 89.0 0.3764706 0.46259508 0.5584416 0.73255813 0.794186 0.8372093
1000 0.531 0.55579996 0.567 1.0 80.5 88.0 0.40697673 0.49800205 0.5972222 0.73255813 0.79418606 0.8372093
1100 0.54727274 0.57436365 0.58272725 1.0 81.8 90.0 0.44705883 0.5391095 0.6103896 0.76744187 0.8139536 0.8604651
1200 0.56166667 0.5919167 0.6025 1.0 80.5 86.0 0.4651163 0.5785165 0.6621622 0.7790698 0.8139535 0.872093
1300 0.5769231 0.6060769 0.6207692 1.0 79.0 84.0 0.5714286 0.6439063 0.739726 0.76744187 0.81046516 0.88372093
1400 0.5978571 0.6201428 0.63285714 1.0 77.4 84.0 0.60714287 0.67406255 0.7826087 0.75581396 0.80930233 0.88372093
1500 0.61733335 0.6348 0.6446667 1.0 77.3 83.0 0.654321 0.7176423 0.7777778 0.76744187 0.7930232 0.8372093
1600 0.634375 0.65018755 0.659375 1.0 76.4 82.0 0.6666667 0.7350813 0.7837838 0.75581396 0.78837216 0.8488372
1700 0.65 0.66364706 0.6694118 1.0 75.5 79.0 0.6805556 0.75619614 0.8076923 0.74418604 0.7848837 0.8372093
1800 0.6627778 0.67677784 0.6844444 1.0 75.2 81.0 0.7407407 0.7860657 0.8181818 0.73255813 0.7790698 0.8372093
1900 0.6773684 0.68957895 0.69842106 1.0 74.2 80.0 0.74666667 0.80793715 0.8472222 0.74418604 0.78023255 0.8372093
2000 0.69 0.70054996 0.709 1.0 73.9 79.0 0.75949365 0.811415 0.8888889 0.74418604 0.7848837 0.8372093
2100 0.70047617 0.7109047 0.72 1.0 73.3 77.0 0.8108108 0.84891194 0.8873239 0.7209302 0.777907 0.8255814
2200 0.7104545 0.721 0.73045456 1.0 71.4 75.0 0.82608694 0.87414324 0.92753625 0.7209302 0.7767442 0.8255814
2300 0.7217391 0.7310435 0.74043477 1.0 70.9 75.0 0.82857144 0.89168376 0.95522386 0.74418604 0.7813953 0.8255814
2400 0.73041666 0.73995835 0.75 1.0 70.7 75.0 0.8405797 0.90296763 0.969697 0.73255813 0.77325577 0.8255814
2500 0.738 0.74876 0.7592 1.0 70.3 74.0 0.875 0.9121156 0.9577465 0.73255813 0.77558136 0.8255814
2600 0.74538463 0.7568462 0.7673077 1.0 70.0 75.0 0.8933333 0.9260253 0.9710145 0.73255813 0.77325577 0.8255814
2700 0.75296295 0.7644815 0.77518517 1.0 69.8 74.0 0.89705884 0.9344326 0.9705882 0.73255813 0.7767441 0.8255814
2800 0.76107144 0.7720714 0.7828571 1.0 69.3 73.0 0.89041096 0.9412508 0.9852941 0.73255813 0.77558136 0.8255814
2900 0.76862067 0.778931 0.78931034 1.0 69.7 73.0 0.89041096 0.9414061 0.98550725 0.73255813 0.7790698 0.81395346
3000 0.77566665 0.7855666 0.795 1.0 69.6 73.0 0.89041096 0.9400161 0.9714286 0.73255813 0.7767442 0.81395346
3100 0.7822581 0.79196775 0.8016129 1.0 69.6 72.0 0.90140843 0.94127095 0.98550725 0.74418604 0.7813953 0.81395346
3200 0.788125 0.79775006 0.8071875 1.0 69.5 72.0 0.9117647 0.9425885 0.9848485 0.74418604 0.7813953 0.81395346
3300 0.7936364 0.8028485 0.81242424 1.0 69.0 72.0 0.92537314 0.95386523 1.0 0.74418604 0.78023255 0.81395346
3400 0.7985294 0.8080295 0.81735295 1.0 69.4 72.0 0.9142857 0.94391394 0.969697 0.74418604 0.7790698 0.81395346
3500 0.80285716 0.81277144 0.8217143 1.0 69.1 72.0 0.9264706 0.9509177 0.9710145 0.74418604 0.78023255 0.81395346
3600 0.80777776 0.81724995 0.8263889 1.0 68.1 72.0 0.9402985 0.9679796 1.0 0.75581396 0.78023255 0.81395346
3700 0.8127027 0.82197297 0.8310811 1.0 68.0 72.0 0.9402985 0.9694314 1.0 0.75581396 0.7813953 0.8255814
3800 0.81736845 0.82631576 0.8355263 1.0 68.5 74.0 0.9189189 0.9654729 1.0 0.74418604 0.7813954 0.8255814
3900 0.8220513 0.83035886 0.8397436 1.0 68.6 75.0 0.9066667 0.9656995 1.0 0.74418604 0.7813954 0.8255814
4000 0.826 0.83435 0.8435 1.0 68.4 75.0 0.9066667 0.9684005 1.0 0.74418604 0.7813954 0.8255814
4100 0.8302439 0.83807325 0.8470732 1.0 68.1 74.0 0.9189189 0.97115344 1.0 0.74418604 0.7813954 0.8255814
4200 0.83428574 0.84171426 0.85071427 1.0 68.0 73.0 0.9411765 0.97672904 1.0 0.74418604 0.78255814 0.8372093
4300 0.83790696 0.8452093 0.85418606 1.0 68.2 75.0 0.9066667 0.97726935 1.0 0.74418604 0.78255814 0.8372093
4400 0.84113634 0.8485228 0.8570455 1.0 68.2 74.0 0.9324324 0.9783727 1.0 0.74418604 0.7802326 0.8255814
4500 0.84422225 0.8516445 0.8602222 1.0 67.9 72.0 0.9583333 0.9838419 1.0 0.74418604 0.7802326 0.8255814
4600 0.8473913 0.85467386 0.86326087 1.0 67.9 72.0 0.9444444 0.9839262 1.0 0.74418604 0.7802326 0.8255814
4700 0.85042554 0.857617 0.86595744 1.0 67.9 72.0 0.95522386 0.98538226 1.0 0.74418604 0.7825582 0.8255814
4800 0.8535417 0.8605625 0.86854166 1.0 67.8 72.0 0.95522386 0.9868315 1.0 0.74418604 0.7825582 0.8255814
4900 0.8565306 0.86334693 0.87122446 1.0 67.7 72.0 0.95522386 0.98830205 1.0 0.74418604 0.7802326 0.8255814
5000 0.8594 0.86594 0.8738 1.0 67.7 71.0 0.95522386 0.98959035 1.0 0.74418604 0.7802326 0.8255814
5100 0.86215687 0.86852944 0.8762745 1.0 67.8 71.0 0.969697 0.9895911 1.0 0.75581396 0.7813954 0.8255814
5200 0.8646154 0.8709423 0.87826926 1.0 67.9 71.0 0.9701493 0.98965704 1.0 0.75581396 0.7813954 0.8255814
5300 0.8671698 0.8733584 0.88056606 1.0 67.9 71.0 0.9701493 0.98965704 1.0 0.75581396 0.7813954 0.8255814
5400 0.8696296 0.87566674 0.8825926 1.0 67.8 71.0 0.9701493 0.991127 1.0 0.75581396 0.7813954 0.8255814
5500 0.872 0.87787277 0.8847273 1.0 67.7 71.0 0.9848485 0.9925968 1.0 0.75581396 0.7813954 0.8255814
5600 0.8742857 0.88 0.88660717 1.0 67.4 70.0 0.9848485 0.9939846 1.0 0.75581396 0.78023255 0.81395346
5700 0.8763158 0.8820175 0.8885965 1.0 67.5 72.0 0.9722222 0.99421453 1.0 0.75581396 0.78023255 0.81395346
5800 0.87844825 0.8840173 0.89051723 1.0 67.6 72.0 0.9848485 0.9941328 1.0 0.75581396 0.7813954 0.8255814
5900 0.88033897 0.88594913 0.8923729 1.0 67.4 71.0 0.9848485 0.9955839 1.0 0.75581396 0.7813954 0.8255814
6000 0.88233334 0.8878166 0.89416665 1.0 67.5 71.0 0.9848485 0.99409133 1.0 0.75581396 0.7813954 0.8255814
6100 0.8842623 0.8896394 0.8959016 1.0 67.5 71.0 0.9848485 0.99400723 1.0 0.75581396 0.7813954 0.8255814
6200 0.886129 0.8913871 0.8975806 1.0 67.5 71.0 0.9848485 0.99400723 1.0 0.75581396 0.7813954 0.8255814
