rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.88720924 0.95348835
100 0.25 0.348 0.42 1.0 89.3 94.0 0.13333334 0.17039004 0.20481928 0.81395346 0.8639535 0.9186047
200 0.345 0.406 0.46 1.0 88.9 95.0 0.1521739 0.19343829 0.26086956 0.75581396 0.822093 0.8604651
300 0.38 0.44466668 0.48666668 1.0 84.1 91.0 0.19318181 0.24388993 0.29885057 0.7093023 0.7732558 0.8488372
400 0.41 0.47725 0.515 1.0 78.1 86.0 0.2345679 0.27914724 0.3243243 0.6627907 0.73837215 0.7906977
500 0.452 0.5138 0.538 1.0 70.9 78.0 0.24637681 0.31326303 0.38235295 0.6395349 0.7209302 0.7906977
600 0.5 0.5496667 0.5783333 1.0 66.9 74.0 0.27027026 0.37989107 0.46875 0.627907 0.70116276 0.74418604
700 0.5271429 0.57928574 0.6142857 1.0 63.4 70.0 0.328125 0.43268886 0.59016395 0.5813953 0.67441857 0.74418604
800 0.55875 0.6065 0.63125 1.0 59.0 67.0 0.43103448 0.4975646 0.5555556 0.55813956 0.6534884 0.7209302
900 0.58444446 0.6327778 0.6566667 1.0 56.8 60.0 0.46551725 0.54447305 0.6481481 0.54651165 0.63837206 0.6744186
1000 0.612 0.6562 0.677 1.0 54.5 59.0 0.4814815 0.61637914 0.75 0.5232558 0.62674415 0.7093023
1100 0.6381818 0.6776364 0.69545454 1.0 52.7 56.0 0.5925926 0.6808334 0.8043478 0.54651165 0.61162794 0.6511628
1200 0.6616667 0.69675 0.7175 1.0 51.8 55.0 0.6037736 0.7039817 0.76086956 0.53488374 0.6081395 0.6627907
1300 0.6838462 0.715 0.73615384 1.0 50.9 55.0 0.5471698 0.7186806 0.8 0.5232558 0.605814 0.68604654
1400 0.7014286 0.7307857 0.75214285 1.0 50.6 55.0 0.5849057 0.7521866 0.8235294 0.5232558 0.60232556 0.6744186
1500 0.718 0.74459994 0.766 1.0 50.3 54.0 0.754717 0.81161386 0.92 0.5232558 0.5918605 0.6744186
1600 0.730625 0.757375 0.779375 1.0 49.4 54.0 0.7692308 0.83847266 0.93877554 0.5232558 0.5848838 0.6627907
1700 0.7441176 0.7695883 0.7911765 1.0 48.8 54.0 0.78431374 0.85594094 0.9183673 0.5116279 0.5779069 0.627907
1800 0.7544444 0.78044444 0.8016667 1.0 48.7 54.0 0.8235294 0.8859186 0.95652175 0.5116279 0.57441854 0.627907
1900 0.76578945 0.7910526 0.8115789 1.0 48.5 53.0 0.84313726 0.89358175 0.9347826 0.5116279 0.572093 0.61627907
2000 0.7765 0.80065 0.8205 1.0 48.4 53.0 0.84313726 0.9042481 0.9782609 0.5116279 0.5697675 0.627907
2100 0.78571427 0.8093333 0.82857144 1.0 48.2 52.0 0.8627451 0.9302457 0.9782609 0.5116279 0.5674418 0.61627907
2200 0.795 0.8173636 0.83590907 1.0 48.2 52.0 0.9019608 0.9446759 1.0 0.5116279 0.5639535 0.61627907
2300 0.80347824 0.8248695 0.8426087 1.0 48.2 52.0 0.9019608 0.9462576 0.98039216 0.5116279 0.5651163 0.61627907
2400 0.81083333 0.8315833 0.84833336 1.0 48.1 52.0 0.9019608 0.9565214 0.98 0.5 0.5639535 0.61627907
2500 0.8184 0.83792007 0.8532 1.0 48.1 52.0 0.9111111 0.9579285 1.0 0.5116279 0.5651163 0.61627907
2600 0.825 0.8439231 0.8588461 1.0 48.1 52.0 0.9230769 0.96095574 1.0 0.5 0.5639535 0.61627907
2700 0.83037037 0.84948146 0.8637037 1.0 48.1 52.0 0.92156863 0.96302253 1.0 0.5 0.5639535 0.61627907
2800 0.8364286 0.8547143 0.8682143 1.0 48.0 52.0 0.9411765 0.9693386 1.0 0.5 0.5627907 0.61627907
2900 0.842069 0.8596207 0.8727586 1.0 48.0 52.0 0.93333334 0.9692761 1.0 0.5 0.5627907 0.61627907
3000 0.8473333 0.86403334 0.87666667 1.0 48.0 52.0 0.93333334 0.9710947 1.0 0.5 0.5616279 0.61627907
3100 0.8522581 0.8681613 0.88 1.0 47.9 52.0 0.9607843 0.98596925 1.0 0.5 0.56046516 0.61627907
3200 0.856875 0.8721875 0.8834375 1.0 47.9 52.0 0.95555556 0.983747 1.0 0.5 0.56046516 0.61627907
3300 0.86121213 0.87600005 0.88666666 1.0 47.9 52.0 0.9591837 0.98188764 1.0 0.5 0.56046516 0.61627907
3400 0.8652941 0.8795883 0.88941175 1.0 47.9 52.0 0.9591837 0.98210984 1.0 0.5 0.56046516 0.61627907
3500 0.86914283 0.88288563 0.89257145 1.0 47.9 52.0 0.9591837 0.9861506 1.0 0.5 0.55930233 0.61627907
3600 0.87222224 0.88600004 0.8952778 1.0 47.9 52.0 0.9607843 0.9861506 1.0 0.5 0.55930233 0.61627907
3700 0.87540543 0.889027 0.8981081 1.0 47.9 52.0 0.95555556 0.98174703 1.0 0.5 0.55930233 0.61627907
3800 0.87789476 0.8917631 0.9007895 1.0 47.8 51.0 0.9777778 0.99177617 1.0 0.5 0.55697674 0.59302324
3900 0.8810256 0.8944615 0.9033333 1.0 47.8 51.0 0.98 0.9960392 1.0 0.5 0.55697674 0.59302324
4000 0.884 0.89705 0.90575 1.0 47.8 51.0 0.97959185 0.99399835 1.0 0.5 0.55697674 0.59302324
4100 0.88682926 0.8995365 0.9080488 1.0 47.8 51.0 0.97959185 0.9919985 1.0 0.5 0.55697674 0.59302324
4200 0.88928574 0.9018809 0.9102381 1.0 47.8 51.0 0.97959185 0.99595916 1.0 0.5 0.55697674 0.59302324
4300 0.8918605 0.9041394 0.91232556 1.0 47.8 51.0 0.9777778 0.9916962 1.0 0.5 0.55697674 0.59302324
4400 0.89431816 0.9062727 0.9143182 1.0 47.8 51.0 0.9777778 0.9957778 1.0 0.5 0.55697674 0.59302324
4500 0.89666665 0.90828884 0.916 1.0 47.8 51.0 0.98039216 0.99803925 1.0 0.5 0.5558139 0.59302324
4600 0.898913 0.9102826 0.9178261 1.0 47.8 51.0 0.98039216 0.9960785 1.0 0.5 0.5558139 0.59302324
4700 0.90106386 0.91217023 0.91957444 1.0 47.8 51.0 0.98039216 0.9960785 1.0 0.5 0.5558139 0.59302324
4800 0.90291667 0.9139792 0.92125 1.0 47.8 51.0 0.98039216 0.99803925 1.0 0.5 0.5558139 0.59302324
4900 0.9046939 0.91571426 0.92285717 1.0 47.8 51.0 0.98039216 0.99803925 1.0 0.5 0.5558139 0.59302324
5000 0.9066 0.9174 0.9244 1.0 47.8 51.0 0.98039216 0.99803925 1.0 0.5 0.5558139 0.59302324
5100 0.90843135 0.9190196 0.92588234 1.0 47.8 51.0 0.9777778 0.995817 1.0 0.5 0.5558139 0.59302324
