rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.2 55.0 0.10909091 0.11070707 0.11111111 0.8372093 0.88720924 0.95348835
100 0.32 0.42999998 0.5 1.0 59.1 67.0 0.18333334 0.2177701 0.28070176 0.4651163 0.59883726 0.75581396
200 0.52 0.55 0.595 1.0 44.8 53.0 0.2 0.3289194 0.41666666 0.3604651 0.46511626 0.5697674
300 0.6166667 0.6296667 0.6566667 1.0 35.7 44.0 0.29411766 0.4262507 0.5151515 0.3372093 0.40465117 0.54651165
400 0.66 0.6884999 0.7025 1.0 31.6 39.0 0.33333334 0.4812959 0.78571427 0.3139535 0.3837209 0.53488374
500 0.712 0.7306 0.752 1.0 29.3 37.0 0.39285713 0.5248176 0.6923077 0.3139535 0.36162788 0.4883721
600 0.74666667 0.7631666 0.78333336 1.0 28.4 35.0 0.4347826 0.55833805 0.72 0.29069766 0.35348836 0.45348838
700 0.77428573 0.7871429 0.80285716 1.0 27.8 34.0 0.5588235 0.6398761 0.6956522 0.26744187 0.34069768 0.41860464
800 0.79125 0.80687493 0.82125 1.0 26.9 31.0 0.56 0.6843563 0.7619048 0.24418604 0.33139533 0.39534885
900 0.81 0.82288885 0.8377778 1.0 26.5 31.0 0.6 0.7228655 0.85714287 0.23255815 0.322093 0.38372093
1000 0.826 0.8378 0.852 1.0 26.3 31.0 0.65384614 0.76072997 0.85714287 0.23255815 0.3151163 0.37209302
1100 0.84 0.85036373 0.8618182 1.0 26.1 31.0 0.67741936 0.8010523 0.8636364 0.23255815 0.31046513 0.37209302
1200 0.8466667 0.86100006 0.87333333 1.0 26.0 31.0 0.7307692 0.82600987 0.95238096 0.23255815 0.3093023 0.37209302
1300 0.8546154 0.8697692 0.88076925 1.0 25.9 31.0 0.7619048 0.8730191 0.96 0.23255815 0.30581397 0.3604651
1400 0.8635714 0.87799996 0.88857144 1.0 25.9 31.0 0.85714287 0.9074826 0.96 0.23255815 0.30581397 0.3604651
1500 0.87266666 0.88526666 0.8946667 1.0 25.7 31.0 0.88 0.9316484 1.0 0.23255815 0.30232555 0.3604651
1600 0.88 0.89175 0.900625 1.0 25.6 31.0 0.8518519 0.94859153 1.0 0.23255815 0.29999998 0.3604651
1700 0.8870588 0.8978235 0.9052941 1.0 25.6 31.0 0.8518519 0.93736565 1.0 0.23255815 0.29999998 0.3604651
1800 0.89166665 0.90305555 0.91055554 1.0 25.6 31.0 0.8518519 0.95626557 1.0 0.23255815 0.29999998 0.3604651
1900 0.8963158 0.90789473 0.9152632 1.0 25.6 31.0 0.8888889 0.96986926 1.0 0.23255815 0.29883718 0.3604651
2000 0.9015 0.9122 0.9185 1.0 25.5 31.0 0.96 0.9819277 1.0 0.23255815 0.29767442 0.3604651
2100 0.90619045 0.9162857 0.9223809 1.0 25.5 31.0 0.96 0.9852028 1.0 0.23255815 0.29767442 0.3604651
2200 0.91 0.9199091 0.92545456 1.0 25.5 31.0 0.96 0.992 1.0 0.23255815 0.2965116 0.3604651
2300 0.9139131 0.9232174 0.92826086 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
2400 0.9175 0.9264166 0.93125 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
2500 0.9208 0.92932 0.934 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
2600 0.9238461 0.9320385 0.93653846 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
2700 0.9266667 0.93455553 0.9388889 1.0 25.5 31.0 0.96428573 0.9964286 1.0 0.23255815 0.2965116 0.3604651
2800 0.9292857 0.93682146 0.94107145 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
2900 0.93172413 0.93899995 0.94310343 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
3000 0.934 0.941 0.945 1.0 25.5 31.0 0.96 0.996 1.0 0.23255815 0.2965116 0.3604651
3100 0.93612903 0.9427742 0.9467742 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
3200 0.938125 0.94456255 0.9484375 1.0 25.5 31.0 1.0 1.0 1.0 0.23255815 0.2965116 0.3604651
