rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.8372093 0.88720924 0.95348835
100 0.34 0.42999998 0.47 1.0 59.5 66.0 0.15254237 0.20365372 0.25757575 0.4883721 0.6639535 0.75581396
200 0.51 0.5525 0.605 1.0 46.6 55.0 0.18 0.3026306 0.37209302 0.39534885 0.5348838 0.6627907
300 0.6066667 0.633 0.66 1.0 39.1 48.0 0.23809524 0.37341613 0.47058824 0.3488372 0.4848837 0.59302324
400 0.6525 0.688 0.7125 1.0 35.7 43.0 0.3529412 0.4047459 0.5151515 0.3488372 0.4604651 0.5813953
500 0.704 0.729 0.756 1.0 33.9 42.0 0.33333334 0.4419148 0.5 0.3488372 0.44418603 0.53488374
600 0.74 0.7605001 0.7866667 1.0 33.2 41.0 0.43333334 0.48469678 0.5833333 0.3372093 0.44534883 0.53488374
700 0.76857144 0.78428566 0.81 1.0 32.8 40.0 0.41666666 0.52036023 0.64 0.3488372 0.44418603 0.53488374
800 0.785 0.803 0.8275 1.0 32.3 38.0 0.4722222 0.56164676 0.6551724 0.3372093 0.44069767 0.54651165
900 0.80222225 0.81888884 0.84444445 1.0 32.1 38.0 0.44444445 0.59583724 0.72 0.3488372 0.4360465 0.54651165
1000 0.819 0.8338 0.858 1.0 32.1 38.0 0.5263158 0.6267919 0.7241379 0.3372093 0.43139535 0.5232558
1100 0.83181816 0.8464545 0.8681818 1.0 32.1 38.0 0.57894737 0.6496898 0.72 0.3372093 0.43139535 0.53488374
1200 0.8408333 0.85733336 0.87916666 1.0 32.1 38.0 0.5833333 0.65910876 0.7241379 0.3372093 0.43139535 0.53488374
1300 0.8507692 0.8666154 0.88769233 1.0 32.0 38.0 0.64 0.6869389 0.7586207 0.3372093 0.427907 0.5232558
1400 0.86071426 0.8751429 0.895 1.0 32.0 38.0 0.6388889 0.7140013 0.79310346 0.3372093 0.427907 0.5232558
1500 0.86866665 0.8828667 0.90066665 1.0 32.0 38.0 0.6388889 0.7129818 0.8 0.3372093 0.427907 0.5232558
1600 0.87625 0.8898126 0.90625 1.0 31.9 38.0 0.6111111 0.71912444 0.79310346 0.3372093 0.427907 0.5232558
1700 0.8835294 0.896 0.9117647 1.0 31.9 38.0 0.6111111 0.71912444 0.82758623 0.3372093 0.427907 0.5232558
1800 0.8894445 0.90150005 0.9166667 1.0 31.9 38.0 0.6111111 0.72937405 0.8333333 0.3372093 0.42906976 0.5232558
1900 0.8942105 0.90652627 0.92105263 1.0 31.9 38.0 0.6111111 0.73749435 0.8333333 0.3372093 0.42906976 0.5232558
2000 0.8995 0.9109 0.9245 1.0 31.9 38.0 0.6666667 0.74386656 0.8333333 0.3372093 0.42906976 0.5232558
2100 0.9042857 0.91495246 0.9280952 1.0 31.9 38.0 0.6666667 0.7466443 0.8333333 0.3372093 0.427907 0.5232558
2200 0.90818185 0.9187273 0.93136364 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2300 0.9121739 0.9222609 0.9343478 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2400 0.91583335 0.92541665 0.9370833 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2500 0.9192 0.92839986 0.9396 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2600 0.92230767 0.9311539 0.9419231 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2700 0.9251852 0.9336667 0.9440741 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2800 0.92785716 0.9360358 0.94607145 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
2900 0.9303448 0.93824136 0.94793105 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3000 0.93266666 0.9403 0.9496667 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3100 0.9348387 0.94222575 0.9512903 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3200 0.936875 0.94403124 0.9528125 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3300 0.9387879 0.9457272 0.9542424 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3400 0.94058824 0.9473236 0.9555882 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
3500 0.9422857 0.9488286 0.95685714 1.0 31.9 38.0 0.6666667 0.74927586 0.8333333 0.3372093 0.427907 0.5232558
