rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8372093 0.88720924 0.95348835
100 0.23 0.299 0.37 1.0 63.9 71.0 0.109375 0.14894624 0.1754386 0.61627907 0.70581394 0.872093
200 0.27 0.3105 0.355 1.0 63.2 76.0 0.12068965 0.15163977 0.19672132 0.39534885 0.57906973 0.6744186
300 0.29333332 0.3383333 0.37666667 1.0 58.0 71.0 0.12676056 0.15911248 0.24561404 0.39534885 0.49651164 0.61627907
400 0.2975 0.35699996 0.3925 1.0 54.6 60.0 0.12962963 0.19248316 0.3018868 0.3372093 0.4825581 0.6511628
500 0.336 0.3844 0.418 1.0 52.4 58.0 0.1627907 0.1910379 0.24489796 0.3604651 0.4453488 0.5
600 0.37166667 0.409 0.43 1.0 52.2 59.0 0.13333334 0.20097789 0.26415095 0.3488372 0.4453488 0.5697674
700 0.39714286 0.42528567 0.44285715 1.0 48.0 54.0 0.17948718 0.22481775 0.33333334 0.37209302 0.43837214 0.53488374
800 0.43125 0.44475007 0.4575 1.0 45.6 54.0 0.2037037 0.25660935 0.31111112 0.3255814 0.4104651 0.47674417
900 0.44444445 0.45644444 0.46888888 1.0 43.7 52.0 0.25531915 0.30488312 0.3809524 0.23255815 0.3686046 0.41860464
1000 0.463 0.4753 0.485 1.0 41.7 52.0 0.275 0.33698285 0.39534885 0.26744187 0.36627907 0.44186047
1100 0.4790909 0.49236363 0.5 1.0 40.2 46.0 0.30232558 0.40212288 0.52380955 0.26744187 0.3488372 0.4651163
1200 0.5 0.5095 0.52 1.0 41.7 48.0 0.35555556 0.43981728 0.5833333 0.27906978 0.36279067 0.41860464
1300 0.5153846 0.52576923 0.5376923 1.0 40.7 46.0 0.425 0.5131817 0.6904762 0.30232558 0.36162788 0.41860464
1400 0.5321429 0.5417857 0.5542857 1.0 40.0 45.0 0.45238096 0.5642004 0.72727275 0.26744187 0.34534883 0.41860464
1500 0.5426667 0.5558667 0.5733333 1.0 40.6 49.0 0.4878049 0.61499536 0.6944444 0.27906978 0.36395347 0.43023255
1600 0.555625 0.569875 0.588125 1.0 41.5 47.0 0.52380955 0.64017886 0.7368421 0.30232558 0.36511627 0.43023255
1700 0.57 0.5850588 0.60470587 1.0 45.0 59.0 0.5777778 0.6719657 0.7894737 0.3255814 0.40697676 0.53488374
