rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.81395346 0.8802325 0.95348835
100 0.26 0.37700003 0.46 1.0 56.3 64.0 0.11764706 0.15790251 0.23636363 0.4651163 0.61046517 0.75581396
200 0.415 0.4695 0.52 1.0 45.2 54.0 0.175 0.20517758 0.24390244 0.25581396 0.37558138 0.5116279
300 0.5133333 0.5356666 0.56666666 1.0 35.0 45.0 0.18421052 0.24076922 0.30769232 0.20930232 0.2872093 0.40697673
400 0.56 0.58900005 0.62 1.0 28.3 34.0 0.2 0.28316364 0.46153846 0.18604651 0.2616279 0.3372093
500 0.618 0.63979995 0.672 1.0 21.8 27.0 0.25925925 0.34211633 0.5 0.11627907 0.19069766 0.26744187
600 0.655 0.6791666 0.71166664 1.0 16.5 22.0 0.27272728 0.43437895 0.5625 0.093023255 0.1383721 0.20930232
700 0.69857144 0.71500003 0.7385714 1.0 13.5 19.0 0.3529412 0.49168167 0.6 0.08139535 0.11395349 0.1627907
800 0.71875 0.745125 0.7675 1.0 11.8 16.0 0.4375 0.5735985 0.7 0.08139535 0.10232558 0.15116279
900 0.74666667 0.76899993 0.7911111 1.0 10.6 14.0 0.53846157 0.62149405 0.7777778 0.069767445 0.10232558 0.13953489
1000 0.772 0.7903 0.81 1.0 9.8 14.0 0.5 0.66722214 0.7777778 0.069767445 0.096511625 0.13953489
1100 0.78818184 0.80645454 0.82545453 1.0 8.7 12.0 0.5 0.72077924 0.85714287 0.069767445 0.08488373 0.11627907
1200 0.80583334 0.8214167 0.84 1.0 7.8 10.0 0.6 0.79785717 1.0 0.069767445 0.07906977 0.10465116
1300 0.82076925 0.83399993 0.8523077 1.0 7.4 9.0 0.6666667 0.83630955 1.0 0.069767445 0.074418604 0.093023255
1400 0.83357143 0.8455 0.86214286 1.0 7.1 8.0 0.75 0.8660715 1.0 0.069767445 0.074418604 0.093023255
1500 0.844 0.8554667 0.8706667 1.0 6.7 8.0 0.75 0.91785705 1.0 0.069767445 0.074418604 0.093023255
1600 0.8525 0.86412495 0.87875 1.0 6.5 7.0 0.85714287 0.9428571 1.0 0.069767445 0.072093025 0.08139535
1700 0.8594118 0.8719412 0.8858824 1.0 6.5 7.0 0.85714287 0.9428571 1.0 0.069767445 0.072093025 0.08139535
