rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8372093 0.8918605 0.95348835
100 0.32 0.373 0.46 1.0 56.9 61.0 0.11111111 0.15067625 0.21666667 0.4883721 0.63139534 0.7790698
200 0.41 0.45949998 0.515 1.0 47.2 52.0 0.13461539 0.1833802 0.26 0.3604651 0.44534883 0.54651165
300 0.49333334 0.521 0.56 1.0 36.5 40.0 0.15789473 0.23077337 0.2777778 0.18604651 0.33488372 0.40697673
400 0.5475 0.57725 0.5975 1.0 28.4 37.0 0.2 0.26726025 0.36363637 0.13953489 0.23488374 0.3139535
500 0.612 0.6308 0.658 1.0 21.8 28.0 0.23076923 0.31292033 0.3529412 0.12790698 0.17674418 0.24418604
600 0.645 0.67116666 0.70666665 1.0 17.3 22.0 0.2857143 0.38749278 0.4375 0.08139535 0.13604651 0.1744186
700 0.68285716 0.70699996 0.74142855 1.0 14.1 18.0 0.33333334 0.48136908 0.5714286 0.069767445 0.10930233 0.15116279
800 0.71375 0.736125 0.7675 1.0 11.3 14.0 0.46153846 0.5811538 0.72727275 0.069767445 0.10232558 0.19767442
900 0.73888886 0.76100004 0.7877778 1.0 9.8 12.0 0.5 0.65272725 1.0 0.069767445 0.097674415 0.15116279
1000 0.759 0.78139997 0.805 1.0 8.3 10.0 0.6 0.76392853 1.0 0.069767445 0.0860465 0.10465116
1100 0.78 0.7997273 0.82272726 1.0 7.5 10.0 0.6 0.8195238 1.0 0.069767445 0.075581394 0.093023255
1200 0.79833335 0.81525004 0.8375 1.0 6.8 8.0 0.75 0.8964286 1.0 0.069767445 0.074418604 0.093023255
1300 0.8130769 0.82884616 0.85 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.06976745 0.069767445
1400 0.8257143 0.8407857 0.86071426 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.06976745 0.069767445
1500 0.8373333 0.8512667 0.87 1.0 6.1 7.0 0.85714287 0.98571426 1.0 0.069767445 0.06976745 0.069767445
1600 0.8475 0.86056244 0.878125 1.0 6.1 7.0 0.85714287 0.98571426 1.0 0.069767445 0.06976745 0.069767445
1700 0.8564706 0.86870587 0.88529414 1.0 6.1 7.0 0.85714287 0.98571426 1.0 0.069767445 0.06976745 0.069767445
1800 0.86444443 0.8758888 0.89166665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.87157893 0.88242114 0.89736843 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.878 0.88829994 0.9025 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.8838095 0.89361906 0.9071429 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.8890909 0.89845455 0.91136366 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.89391303 0.9028695 0.9152174 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.8983333 0.90691674 0.91875 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.9024 0.91063994 0.922 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.90615386 0.9140769 0.925 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.90962964 0.9172594 0.92777777 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.9128571 0.9202143 0.93035716 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.9158621 0.9229655 0.9327586 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.91866666 0.9255334 0.935 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.92129034 0.9279354 0.9370968 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.92375 0.9301874 0.9390625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.9260606 0.9323031 0.9409091 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.9282353 0.93429404 0.94264704 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.9302857 0.9361714 0.9442857 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.93222225 0.9379444 0.9458333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.9340541 0.9396216 0.9472973 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.93578947 0.94121057 0.9486842 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.9374359 0.9427179 0.95 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.939 0.9441501 0.95125 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.9404878 0.9455122 0.952439 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.9419048 0.9468096 0.95357144 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.94325584 0.9480465 0.9546512 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.94454545 0.9492272 0.9556818 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.9457778 0.95035565 0.95666665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.9469565 0.95143473 0.9576087 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.9480851 0.9524681 0.95851064 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.94916666 0.9534584 0.959375 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.9502041 0.95440817 0.96020406 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.9512 0.95532 0.961 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.95215684 0.956196 0.9617647 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.9530769 0.9570384 0.9625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5300 0.95396227 0.957849 0.96320754 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5400 0.9548148 0.9586296 0.9638889 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5500 0.9556364 0.95938176 0.9645454 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5600 0.9564286 0.96010715 0.96517855 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5700 0.95719296 0.960807 0.9657895 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5800 0.95793104 0.9614827 0.9663793 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5900 0.9586441 0.9621356 0.96694916 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6000 0.95933336 0.96276665 0.9675 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6100 0.96 0.963377 0.9680328 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6200 0.96064514 0.9639677 0.96854836 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6300 0.96126986 0.96453965 0.9690476 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6400 0.961875 0.96509373 0.96953124 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6500 0.96246153 0.9656308 0.97 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6600 0.9630303 0.9661514 0.9704546 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
