rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 53.2 54.0 0.11111111 0.112788275 0.11320755 0.8372093 0.8802325 0.95348835
100 0.54 0.561 0.58 1.0 17.9 23.0 0.26086956 0.35250854 0.5 0.15116279 0.2244186 0.29069766
200 0.715 0.735 0.75 1.0 9.1 12.0 0.54545456 0.6835931 0.85714287 0.08139535 0.099999994 0.13953489
300 0.80333334 0.8163334 0.83 1.0 7.0 9.0 0.6666667 0.8738095 1.0 0.069767445 0.07906977 0.093023255
400 0.8525 0.86149997 0.8725 1.0 6.7 9.0 0.6666667 0.9095238 1.0 0.069767445 0.075581394 0.093023255
500 0.882 0.88879997 0.896 1.0 6.5 8.0 0.75 0.93214285 1.0 0.069767445 0.07441861 0.093023255
600 0.90166664 0.90700006 0.91333336 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.07209303 0.08139535
700 0.9142857 0.92014295 0.9257143 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07209303 0.08139535
800 0.925 0.93 0.935 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
900 0.93333334 0.9376666 0.94222224 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1000 0.94 0.9439 0.948 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1100 0.94545454 0.949 0.95272726 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1200 0.95 0.95324993 0.95666665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1300 0.95384616 0.9568461 0.96 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.95714283 0.95992863 0.9628571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.96 0.96259993 0.96533334 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.9625 0.9649374 0.9675 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9647059 0.967 0.9694118 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.96666664 0.9688333 0.9711111 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.96842104 0.97047365 0.9726316 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.97 0.97194993 0.974 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.9714286 0.9732857 0.9752381 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9727273 0.97450006 0.97636366 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.973913 0.9756087 0.9773913 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.975 0.97662497 0.97833335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.976 0.9775599 0.9792 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.97692305 0.978423 0.98 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.9777778 0.9792222 0.9807407 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.9785714 0.97996426 0.98142856 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.97931033 0.9806551 0.98206896 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.98 0.9813 0.9826667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.9806452 0.98190325 0.9832258 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
