rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.8372093 0.88953483 0.95348835
100 0.23 0.336 0.41 1.0 102.2 110.0 0.12727273 0.17543426 0.2020202 0.8023256 0.8965117 0.95348835
200 0.32 0.382 0.445 1.0 110.1 115.0 0.13333334 0.21039757 0.26086956 0.8488372 0.92325574 0.95348835
300 0.38333333 0.41800004 0.45333335 1.0 111.4 115.0 0.19266056 0.24023886 0.30357143 0.88372093 0.9337209 0.9767442
400 0.415 0.44699997 0.4875 1.0 113.7 118.0 0.21100917 0.2438111 0.27184466 0.89534885 0.9418605 1.0
500 0.446 0.4704 0.504 1.0 113.0 121.0 0.23140496 0.27981475 0.375 0.89534885 0.9418604 0.9767442
600 0.46166667 0.48883334 0.51166666 1.0 113.1 121.0 0.2761905 0.33146948 0.38317758 0.90697676 0.9476744 1.0
700 0.48 0.5047143 0.5328571 1.0 111.3 119.0 0.30252102 0.35858557 0.47572815 0.9302326 0.95930225 0.9883721
800 0.50125 0.52024996 0.5525 1.0 109.9 118.0 0.3153153 0.40435776 0.47524753 0.9302326 0.9604651 1.0
900 0.5144445 0.53477776 0.56666666 1.0 108.7 119.0 0.37383178 0.4462143 0.53 0.9302326 0.96627903 1.0
1000 0.535 0.5521 0.579 1.0 107.3 115.0 0.41121495 0.47952157 0.54285717 0.9302326 0.96279067 1.0
1100 0.5527273 0.5673636 0.59272724 1.0 107.1 115.0 0.46226415 0.5105848 0.58 0.94186044 0.9674419 1.0
1200 0.56583333 0.5825 0.60083336 1.0 103.5 111.0 0.4954955 0.5506612 0.6020408 0.94186044 0.9686047 1.0
1300 0.57769233 0.5967692 0.61538464 1.0 102.1 110.0 0.53636366 0.6123892 0.70408165 0.94186044 0.9732558 1.0
1400 0.5928571 0.61028576 0.625 1.0 101.1 108.0 0.5462963 0.63799286 0.7741935 0.94186044 0.9732558 1.0
1500 0.60733336 0.62520003 0.6433333 1.0 99.3 108.0 0.60784316 0.6789284 0.7340425 0.94186044 0.9732558 1.0
1600 0.618125 0.63675 0.655625 1.0 98.5 105.0 0.5940594 0.7044114 0.7765958 0.94186044 0.97441864 1.0
1700 0.63058823 0.64935297 0.6670588 1.0 97.3 100.0 0.6632653 0.736313 0.78723407 0.94186044 0.97441864 1.0
1800 0.6433333 0.6612778 0.67944443 1.0 95.7 98.0 0.71875 0.7743781 0.8172043 0.94186044 0.97441864 1.0
1900 0.6563158 0.67268425 0.6905263 1.0 95.7 101.0 0.7628866 0.79139054 0.84782606 0.95348835 0.9767442 1.0
2000 0.667 0.68425006 0.703 1.0 94.6 98.0 0.78125 0.8153866 0.86021507 0.95348835 0.97558147 1.0
2100 0.6785714 0.6948571 0.7133333 1.0 94.7 98.0 0.78125 0.8206722 0.8695652 0.95348835 0.97558147 1.0
2200 0.68863636 0.704909 0.7227273 1.0 93.0 96.0 0.7916667 0.83577806 0.8666667 0.95348835 0.97558147 1.0
2300 0.6991304 0.7149566 0.7317391 1.0 92.0 95.0 0.8105263 0.8494077 0.88505745 0.95348835 0.97558147 1.0
2400 0.70875 0.7240417 0.73541665 1.0 90.6 95.0 0.8210526 0.86571705 0.9 0.95348835 0.97558147 1.0
2500 0.7176 0.73284 0.7452 1.0 90.5 94.0 0.84444445 0.87647164 0.9 0.95348835 0.97558147 1.0
2600 0.7257692 0.7410385 0.7526923 1.0 89.7 93.0 0.85393256 0.8955439 0.9318182 0.95348835 0.97558147 1.0
2700 0.7351852 0.7491852 0.7603704 1.0 88.9 93.0 0.8494624 0.9003296 0.9425287 0.95348835 0.97558147 1.0
2800 0.74392855 0.7566786 0.7682143 1.0 88.4 92.0 0.8651685 0.90521353 0.95348835 0.95348835 0.97558147 1.0
2900 0.7527586 0.7639999 0.7755172 1.0 87.6 92.0 0.85393256 0.9170499 0.96511626 0.95348835 0.97558147 1.0
3000 0.76066667 0.77089995 0.783 1.0 87.0 90.0 0.88372093 0.92537963 0.95348835 0.95348835 0.97558147 1.0
3100 0.7677419 0.77761286 0.79 1.0 86.8 91.0 0.89534885 0.92897624 0.96428573 0.95348835 0.97558147 1.0
3200 0.773125 0.7839688 0.7965625 1.0 86.2 90.0 0.90697676 0.9378432 0.9879518 0.95348835 0.97558147 1.0
3300 0.77969694 0.79012126 0.8027273 1.0 86.1 89.0 0.9101124 0.9411653 0.97590363 0.95348835 0.97558147 1.0
3400 0.7852941 0.795647 0.80852944 1.0 85.6 89.0 0.92134833 0.95249397 0.9879518 0.95348835 0.97558147 1.0
3500 0.79085714 0.8008286 0.814 1.0 85.7 89.0 0.92134833 0.9547928 0.9767442 0.95348835 0.97558147 1.0
