rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 56.0 0.10909091 0.11512627 0.12727273 0.8372093 0.88720924 0.95348835
100 0.3 0.388 0.45 1.0 78.7 87.0 0.13953489 0.19729626 0.24050634 0.6627907 0.7593023 0.872093
200 0.435 0.467 0.51 1.0 73.8 80.0 0.19480519 0.25746968 0.28767124 0.5813953 0.6732558 0.74418604
300 0.5133333 0.5336667 0.55 1.0 66.3 73.0 0.22413793 0.28783217 0.33802816 0.55813956 0.65697676 0.7209302
400 0.5575 0.58724993 0.6025 1.0 62.3 70.0 0.22857143 0.35962516 0.44117647 0.59302324 0.65348834 0.7209302
500 0.606 0.6308 0.652 1.0 59.4 68.0 0.33333334 0.4317473 0.53571427 0.59302324 0.6534884 0.7209302
600 0.65166664 0.66716665 0.69666666 1.0 58.2 67.0 0.3846154 0.473639 0.5762712 0.59302324 0.65465117 0.7093023
700 0.6742857 0.695 0.7228571 1.0 57.4 66.0 0.46969697 0.5379799 0.6896552 0.59302324 0.65697676 0.7209302
800 0.7025 0.71975 0.7475 1.0 56.0 62.0 0.4642857 0.56064314 0.6034483 0.59302324 0.6616279 0.7093023
900 0.7266667 0.74022216 0.76666665 1.0 55.7 61.0 0.52459013 0.5901001 0.6666667 0.59302324 0.6627907 0.7209302
1000 0.742 0.7585 0.784 1.0 55.9 61.0 0.5409836 0.6237476 0.7037037 0.60465115 0.6639535 0.7209302
1100 0.7609091 0.77418184 0.79545456 1.0 55.8 60.0 0.54545456 0.649336 0.7735849 0.60465115 0.6639535 0.7209302
1200 0.7733333 0.7865 0.80916667 1.0 56.0 60.0 0.63265306 0.6929552 0.7962963 0.60465115 0.6639535 0.7209302
1300 0.7853846 0.798 0.81846154 1.0 56.1 60.0 0.67241377 0.7580514 0.84615386 0.60465115 0.6639535 0.7209302
1400 0.7942857 0.80742854 0.82714283 1.0 56.0 60.0 0.69491524 0.81090194 0.8833333 0.60465115 0.6639535 0.7209302
1500 0.80333334 0.8176667 0.838 1.0 56.4 61.0 0.74 0.80277205 0.8666667 0.60465115 0.6639535 0.7209302
1600 0.815 0.8270625 0.84625 1.0 56.3 61.0 0.74545455 0.8191303 0.8888889 0.60465115 0.6639535 0.7209302
1700 0.8229412 0.8355293 0.8523529 1.0 56.4 61.0 0.76363635 0.82513875 0.9166667 0.60465115 0.6639535 0.7209302
1800 0.83111113 0.84288895 0.85833335 1.0 56.5 61.0 0.7704918 0.84357834 0.90384614 0.60465115 0.6639535 0.7209302
1900 0.8373684 0.8498421 0.86473686 1.0 56.6 61.0 0.8196721 0.8622123 0.9245283 0.60465115 0.6639535 0.7209302
2000 0.844 0.8559 0.87 1.0 56.8 62.0 0.8333333 0.8825873 0.9298246 0.60465115 0.6639535 0.7209302
2100 0.85 0.86171424 0.8752381 1.0 56.8 62.0 0.86885244 0.8961829 0.93333334 0.60465115 0.6639535 0.7209302
2200 0.85545456 0.86713636 0.87954545 1.0 56.8 62.0 0.85714287 0.90442467 0.95 0.60465115 0.6639535 0.7209302
2300 0.86130434 0.8721305 0.8843478 1.0 56.9 62.0 0.875 0.91891897 0.95 0.60465115 0.6639535 0.7209302
2400 0.8666667 0.87683326 0.8883333 1.0 56.9 62.0 0.875 0.9329319 1.0 0.60465115 0.6639535 0.7209302
2500 0.8712 0.88135993 0.8928 1.0 56.9 62.0 0.89285713 0.9328021 0.98333335 0.60465115 0.6639535 0.7209302
2600 0.875 0.8853847 0.89615387 1.0 56.9 62.0 0.9 0.94002724 0.98333335 0.60465115 0.6639535 0.7209302
2700 0.8792593 0.88933337 0.89962965 1.0 56.9 62.0 0.9166667 0.9350072 0.95 0.60465115 0.6639535 0.7209302
2800 0.8832143 0.8928571 0.9028571 1.0 57.0 62.0 0.9122807 0.9369668 0.962963 0.60465115 0.6639535 0.7209302
