rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07790698 0.08139535
100 0.18 0.32999998 0.43 1.0 67.3 70.0 0.19117647 0.22767067 0.28125 0.45348838 0.5674418 0.627907
200 0.255 0.3365 0.37 1.0 82.3 89.0 0.17948718 0.19790943 0.25714287 0.59302324 0.70930237 0.7790698
300 0.28666666 0.34133336 0.38 1.0 87.4 96.0 0.16483517 0.19266582 0.22093023 0.60465115 0.7209302 0.8372093
400 0.3075 0.35175 0.3825 1.0 85.9 91.0 0.16049382 0.18629661 0.22093023 0.6627907 0.7267442 0.7906977
500 0.318 0.3602 0.392 1.0 81.2 87.0 0.1744186 0.20620355 0.24691358 0.5232558 0.65000004 0.75581396
600 0.33666667 0.37000003 0.395 1.0 80.6 86.0 0.1904762 0.21608596 0.24705882 0.5697674 0.63604647 0.7209302
700 0.34571427 0.37814286 0.4 1.0 74.8 87.0 0.20253165 0.23634084 0.27027026 0.43023255 0.577907 0.7790698
800 0.3575 0.38462502 0.4125 1.0 72.3 83.0 0.19736843 0.25964206 0.3125 0.43023255 0.55465114 0.6744186
900 0.36666667 0.39544445 0.42 1.0 67.6 77.0 0.24675325 0.30410212 0.40983605 0.41860464 0.5081395 0.6395349
1000 0.38 0.4094 0.434 1.0 66.9 73.0 0.26027396 0.3459791 0.5185185 0.44186047 0.5267442 0.6395349
1100 0.39363638 0.4225455 0.45181817 1.0 64.9 72.0 0.30882353 0.3818733 0.48387095 0.43023255 0.5023256 0.6511628
1200 0.40916666 0.4355 0.465 1.0 63.7 73.0 0.34920636 0.4313187 0.50980395 0.3372093 0.4895349 0.60465115
1300 0.42461538 0.44915384 0.47615385 1.0 63.0 69.0 0.40677965 0.4702844 0.55172414 0.39534885 0.48720932 0.54651165
1400 0.44 0.46278572 0.47642857 1.0 63.0 69.0 0.41538462 0.5039686 0.578125 0.39534885 0.4732558 0.54651165
1500 0.45666668 0.47579998 0.49266666 1.0 61.3 66.0 0.46153846 0.5597617 0.67241377 0.38372093 0.477907 0.5232558
1600 0.470625 0.49012503 0.51 1.0 62.1 69.0 0.516129 0.6030721 0.6764706 0.3139535 0.48372093 0.5813953
1700 0.48411766 0.5055883 0.5264706 1.0 63.0 71.0 0.5151515 0.62683594 0.7164179 0.3488372 0.48139533 0.5232558
1800 0.49222222 0.5186111 0.5461111 1.0 62.0 69.0 0.61403507 0.67748415 0.73913044 0.38372093 0.4755814 0.54651165
