rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.8860465 0.95348835
100 0.25 0.314 0.37 1.0 90.8 95.0 0.07954545 0.11864193 0.1827957 0.7790698 0.83720934 0.89534885
200 0.3 0.3495 0.39 1.0 87.7 94.0 0.08139535 0.11616193 0.1590909 0.6976744 0.7569767 0.9186047
300 0.30666667 0.37266666 0.42666668 1.0 78.7 87.0 0.08108108 0.13298157 0.18292683 0.54651165 0.6686047 0.76744187
400 0.3625 0.40400004 0.4375 1.0 67.2 76.0 0.09375 0.14529008 0.20289855 0.43023255 0.55116284 0.6395349
500 0.412 0.43719998 0.464 1.0 56.4 67.0 0.10714286 0.14245553 0.16666667 0.3139535 0.45465118 0.5697674
600 0.43833333 0.473 0.5133333 1.0 46.6 55.0 0.14285715 0.18022096 0.22 0.24418604 0.38372087 0.4883721
700 0.47857141 0.507 0.55714285 1.0 37.3 44.0 0.1627907 0.20610552 0.27272728 0.23255815 0.30813953 0.37209302
800 0.51625 0.543 0.58875 1.0 30.8 37.0 0.18181819 0.23766229 0.27272728 0.1744186 0.24418607 0.30232558
900 0.5477778 0.57255554 0.6111111 1.0 26.4 32.0 0.20689656 0.27874044 0.32142857 0.1627907 0.23837209 0.27906978
1000 0.578 0.6007 0.639 1.0 21.3 25.0 0.27272728 0.33128366 0.4117647 0.15116279 0.20116279 0.27906978
1100 0.6018182 0.62618184 0.6627273 1.0 18.0 24.0 0.27272728 0.41525632 0.5294118 0.10465116 0.17209302 0.25581396
1200 0.62833333 0.6500834 0.68416667 1.0 16.1 21.0 0.31578946 0.4483075 0.6363636 0.10465116 0.14999999 0.19767442
1300 0.65 0.67100006 0.7046154 1.0 13.3 16.0 0.4 0.531039 0.7 0.08139535 0.12558141 0.1744186
1400 0.67214286 0.69107145 0.72 1.0 11.9 15.0 0.4 0.5948274 0.7777778 0.08139535 0.11511628 0.13953489
1500 0.6906667 0.70973337 0.7366667 1.0 11.0 14.0 0.46153846 0.6467921 0.85714287 0.069767445 0.111627914 0.1627907
1600 0.705625 0.7250625 0.748125 1.0 10.2 14.0 0.42857143 0.6996462 1.0 0.069767445 0.10116279 0.15116279
1700 0.71882355 0.73952943 0.7629412 1.0 9.2 13.0 0.53846157 0.759831 1.0 0.069767445 0.09418604 0.13953489
1800 0.7322222 0.75288886 0.77555555 1.0 8.6 11.0 0.6666667 0.81121206 1.0 0.069767445 0.0872093 0.11627907
1900 0.74526316 0.76547366 0.7873684 1.0 7.9 11.0 0.75 0.877096 1.0 0.069767445 0.08488372 0.10465116
2000 0.756 0.77669996 0.798 1.0 7.6 11.0 0.6363636 0.90363634 1.0 0.069767445 0.08255814 0.10465116
2100 0.7652381 0.7869048 0.80761904 1.0 7.3 10.0 0.7 0.93071425 1.0 0.069767445 0.08255814 0.10465116
2200 0.7740909 0.7963182 0.81636363 1.0 7.2 11.0 0.72727275 0.9602273 1.0 0.069767445 0.08023255 0.10465116
2300 0.7826087 0.8050435 0.82434785 1.0 7.0 9.0 0.75 0.96388894 1.0 0.069767445 0.08023255 0.10465116
2400 0.79083335 0.8130417 0.83166665 1.0 6.8 9.0 0.85714287 0.9732143 1.0 0.069767445 0.07790697 0.10465116
2500 0.7988 0.82048 0.8384 1.0 6.8 9.0 0.85714287 0.9732143 1.0 0.069767445 0.07790697 0.10465116
2600 0.80653846 0.82738465 0.8446154 1.0 6.8 9.0 0.85714287 0.9732143 1.0 0.069767445 0.07790697 0.10465116
2700 0.81333333 0.8337407 0.85037035 1.0 6.8 9.0 0.85714287 0.9732143 1.0 0.069767445 0.07790697 0.10465116
2800 0.82 0.8396071 0.85571426 1.0 6.8 9.0 0.85714287 0.9732143 1.0 0.069767445 0.07674419 0.10465116
2900 0.82551724 0.8450345 0.86068964 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3000 0.83133334 0.8502 0.8653333 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3100 0.8367742 0.85503227 0.8696774 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3200 0.841875 0.8595625 0.87375 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3300 0.8466667 0.86381817 0.87757576 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3400 0.8511765 0.8678235 0.8811765 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3500 0.8554286 0.87160003 0.88457143 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3600 0.85944444 0.8751667 0.8877778 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3700 0.8632432 0.8785405 0.8908108 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
3800 0.8668421 0.88173676 0.8936842 1.0 6.6 9.0 1.0 1.0 1.0 0.069767445 0.07674419 0.10465116
