rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.88837206 0.95348835
100 0.25 0.33 0.4 1.0 88.9 95.0 0.093023255 0.115978636 0.13953489 0.7906977 0.8651163 0.94186044
200 0.295 0.3505 0.395 1.0 84.7 91.0 0.069767445 0.11863164 0.15789473 0.6976744 0.79883724 0.88372093
300 0.32333332 0.38766664 0.44 1.0 74.7 82.0 0.085365854 0.11822959 0.15189873 0.5813953 0.6825582 0.8023256
400 0.3625 0.41599995 0.45 1.0 64.9 72.0 0.11111111 0.1401635 0.18965517 0.47674417 0.5709303 0.75581396
500 0.404 0.44559997 0.48 1.0 56.1 63.0 0.12903225 0.17106746 0.22916667 0.40697673 0.49302325 0.6511628
600 0.42 0.47200003 0.51166666 1.0 46.9 52.0 0.14583333 0.18068631 0.25531915 0.3488372 0.4104651 0.47674417
700 0.4457143 0.5021428 0.55 1.0 39.3 44.0 0.1590909 0.20202942 0.25641027 0.25581396 0.33139533 0.40697673
800 0.485 0.53425 0.58875 1.0 32.5 42.0 0.16666667 0.23801117 0.2962963 0.18604651 0.26046515 0.37209302
900 0.52666664 0.56488883 0.6255556 1.0 28.2 34.0 0.1764706 0.2612055 0.33333334 0.19767442 0.23953485 0.29069766
1000 0.557 0.59099996 0.65 1.0 24.5 31.0 0.21428572 0.28643647 0.4 0.15116279 0.19069767 0.25581396
1100 0.58454543 0.61618185 0.6718182 1.0 20.5 28.0 0.27272728 0.33974308 0.61538464 0.12790698 0.16627905 0.18604651
1200 0.60833335 0.63933337 0.6958333 1.0 18.2 22.0 0.27272728 0.38251236 0.6363636 0.10465116 0.15581395 0.20930232
1300 0.6253846 0.65892303 0.7192308 1.0 15.1 18.0 0.3529412 0.458448 0.6363636 0.093023255 0.12325583 0.1627907
