rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.4 56.0 0.10909091 0.11391415 0.12727273 0.8372093 0.88720924 0.95348835
100 0.3 0.38000003 0.41 1.0 59.7 65.0 0.11290322 0.14595652 0.17857143 0.45348838 0.55465114 0.6395349
200 0.475 0.498 0.565 1.0 40.7 51.0 0.14634146 0.1875039 0.21621622 0.24418604 0.30581394 0.37209302
300 0.57666665 0.5976666 0.63666666 1.0 26.2 30.0 0.20689656 0.25360855 0.3043478 0.1627907 0.20581393 0.25581396
400 0.6575 0.67275 0.695 1.0 17.3 19.0 0.31578946 0.37121344 0.44444445 0.11627907 0.14767443 0.19767442
500 0.712 0.72720003 0.744 1.0 12.7 16.0 0.42857143 0.4948589 0.6363636 0.069767445 0.116279066 0.1744186
600 0.7583333 0.76750004 0.7816667 1.0 10.0 13.0 0.46153846 0.6290326 0.75 0.069767445 0.09418604 0.12790698
700 0.7885714 0.7982858 0.80714285 1.0 8.4 10.0 0.6 0.7447619 1.0 0.069767445 0.08139534 0.10465116
800 0.81375 0.82175 0.83125 1.0 7.0 9.0 0.75 0.8849207 1.0 0.069767445 0.07441862 0.093023255
900 0.83444446 0.84111106 0.85 1.0 6.6 9.0 0.75 0.938492 1.0 0.069767445 0.07209303 0.093023255
1000 0.851 0.8566 0.865 1.0 6.2 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
1100 0.86454546 0.86963636 0.8772727 1.0 6.2 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
1200 0.87583333 0.88049996 0.8875 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1300 0.8853846 0.88961536 0.89615387 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
1400 0.89357144 0.8974285 0.9035714 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.90066665 0.90426666 0.91 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.906875 0.91025 0.915625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9123529 0.9155294 0.92058825 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.9172222 0.92022216 0.925 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.92157894 0.92442113 0.9289474 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.9255 0.92820007 0.9325 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.92904764 0.93161905 0.9357143 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.93227273 0.9347273 0.93863636 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.9352174 0.9375652 0.9413043 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.9379167 0.94016665 0.94375 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.9404 0.94256 0.946 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.9426923 0.94476926 0.9480769 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.9448148 0.9468149 0.95 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.9467857 0.9487144 0.95178574 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.9486207 0.9504827 0.9534483 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.95033336 0.95213336 0.955 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.95193547 0.9536773 0.9564516 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.9534375 0.955125 0.9578125 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.95484847 0.9564847 0.9590909 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.95617646 0.95776474 0.9602941 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.9574286 0.9589714 0.9614286 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.95861113 0.960111 0.9625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.95972973 0.96118915 0.9635135 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.9607895 0.9622105 0.96447366 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.96179485 0.9631794 0.9653846 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.96275 0.96410006 0.96625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.9636585 0.9649755 0.96707314 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.9645238 0.96580946 0.9678571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.96534884 0.9666047 0.9686046 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.96613634 0.96736366 0.9693182 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.9668889 0.9680889 0.97 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.9676087 0.9687826 0.97065216 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.9682979 0.96944684 0.9712766 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.9689583 0.97008336 0.971875 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.96959186 0.9706939 0.972449 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.9702 0.97128 0.973 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.9707843 0.97184306 0.9735294 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.97134614 0.97238463 0.9740385 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5300 0.9718868 0.97290564 0.9745283 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5400 0.9724074 0.9734074 0.975 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5500 0.9729091 0.97389096 0.97545457 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5600 0.97339284 0.9743571 0.97589284 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5700 0.97385967 0.97480696 0.9763158 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5800 0.97431034 0.97524136 0.97672415 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5900 0.97474575 0.975661 0.9771187 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6000 0.9751667 0.9760667 0.9775 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6100 0.9755738 0.9764589 0.97786885 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6200 0.97596776 0.9768387 0.9782258 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6300 0.97634923 0.97720635 0.9785714 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6400 0.9767187 0.97756255 0.9789063 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6500 0.97707695 0.9779078 0.97923076 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6600 0.97742426 0.9782425 0.9795455 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6700 0.9777612 0.9785671 0.97985077 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6800 0.97808826 0.9788823 0.98014706 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6900 0.9784058 0.97918844 0.9804348 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7000 0.9787143 0.9794857 0.98071426 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
