rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9461538 1.0 0.069767445 0.08372092 0.093023255
100 0.22 0.30399996 0.37 1.0 59.7 69.0 0.21052632 0.24989322 0.28301886 0.3372093 0.49302325 0.61627907
200 0.265 0.321 0.37 1.0 69.8 74.0 0.20289855 0.23358569 0.25 0.4883721 0.5895349 0.6744186
300 0.28 0.33266664 0.39 1.0 68.8 77.0 0.1780822 0.2347397 0.265625 0.41860464 0.55930233 0.7093023
400 0.3075 0.34974998 0.3925 1.0 66.9 76.0 0.21052632 0.25333908 0.2923077 0.4883721 0.5651163 0.68604654
500 0.326 0.3708 0.406 1.0 63.9 70.0 0.19402985 0.24492463 0.29032257 0.43023255 0.53720933 0.68604654
600 0.35333332 0.3836667 0.42 1.0 58.5 65.0 0.22413793 0.2857476 0.3442623 0.29069766 0.46046513 0.53488374
700 0.3642857 0.40014285 0.43142858 1.0 57.1 66.0 0.22033899 0.3155617 0.36956522 0.37209302 0.43488368 0.54651165
800 0.385 0.41512504 0.435 1.0 55.6 64.0 0.2857143 0.32999828 0.3962264 0.37209302 0.42325583 0.5
900 0.41222224 0.43244442 0.45222223 1.0 52.4 63.0 0.32692307 0.3747112 0.43396226 0.3488372 0.42325583 0.5232558
1000 0.434 0.452 0.476 1.0 50.7 62.0 0.33898306 0.41503 0.4888889 0.29069766 0.38837206 0.5
1100 0.45909092 0.47072726 0.49727273 1.0 49.4 64.0 0.375 0.47231698 0.5319149 0.26744187 0.39186043 0.5813953
1200 0.47333333 0.48841667 0.51666665 1.0 49.4 61.0 0.40983605 0.51185477 0.5740741 0.30232558 0.3732558 0.5
1300 0.49 0.504 0.5346154 1.0 50.7 60.0 0.47916666 0.55085605 0.6 0.30232558 0.39883718 0.5116279
1400 0.50714284 0.52121425 0.5492857 1.0 52.8 65.0 0.44642857 0.5675831 0.64 0.3255814 0.40581393 0.53488374
1500 0.526 0.53699994 0.566 1.0 52.6 63.0 0.5714286 0.6214118 0.7173913 0.3372093 0.41976744 0.5232558
1600 0.54125 0.551125 0.578125 1.0 50.5 63.0 0.6031746 0.68574107 0.75 0.3255814 0.40581393 0.5232558
1700 0.5564706 0.5662941 0.59117645 1.0 51.2 60.0 0.65384614 0.7060737 0.7592593 0.30232558 0.41395348 0.5116279
1800 0.56777775 0.5811667 0.605 1.0 52.3 58.0 0.6909091 0.7389032 0.7916667 0.3139535 0.42674416 0.4883721
1900 0.5794737 0.59378946 0.6168421 1.0 52.1 57.0 0.71929824 0.7823997 0.82978725 0.3488372 0.42325583 0.5232558
2000 0.5925 0.60725003 0.629 1.0 54.2 63.0 0.69491524 0.7983171 0.89361703 0.37209302 0.45 0.5697674
2100 0.6047619 0.61938095 0.64047617 1.0 55.1 64.0 0.75438595 0.8165434 0.8979592 0.38372093 0.45232558 0.5697674
2200 0.61954546 0.63231814 0.65363634 1.0 56.3 68.0 0.7704918 0.8349546 0.8888889 0.40697673 0.47093025 0.5813953
2300 0.63173914 0.64304346 0.6617391 1.0 57.3 69.0 0.8 0.8605998 0.9298246 0.39534885 0.47906977 0.59302324
2400 0.64375 0.65437496 0.6716667 1.0 59.2 66.0 0.77272725 0.8632682 0.9122807 0.39534885 0.494186 0.5697674
2500 0.6532 0.6644 0.6812 1.0 59.8 68.0 0.8030303 0.88337505 0.94 0.44186047 0.5139535 0.60465115
2600 0.6623077 0.6747308 0.68961537 1.0 60.2 71.0 0.8484849 0.90725935 0.98245615 0.40697673 0.51860464 0.6395349
2700 0.67296296 0.6847407 0.69777775 1.0 61.0 70.0 0.8666667 0.92023814 0.9661017 0.44186047 0.53023255 0.61627907
2800 0.6817857 0.69425 0.70607144 1.0 61.4 70.0 0.9 0.93196917 0.9661017 0.4651163 0.53488374 0.61627907
2900 0.6903448 0.70299995 0.7137931 1.0 62.7 68.0 0.9104478 0.9379903 0.95454544 0.4651163 0.55 0.6395349
3000 0.6996667 0.7115333 0.722 1.0 62.4 68.0 0.921875 0.9501675 0.9846154 0.47674417 0.5534884 0.627907
3100 0.7083871 0.71970975 0.7306452 1.0 63.8 70.0 0.9137931 0.93552196 0.9672131 0.4883721 0.5639535 0.6627907
3200 0.715625 0.7273437 0.7384375 1.0 63.5 70.0 0.9137931 0.94780606 0.9692308 0.47674417 0.5674419 0.6395349
3300 0.72333336 0.73451513 0.7460606 1.0 62.7 69.0 0.95 0.96664125 0.983871 0.45348838 0.5616279 0.6395349
3400 0.73058826 0.7417353 0.75264704 1.0 62.9 70.0 0.95 0.9729538 1.0 0.47674417 0.5651163 0.6511628
3500 0.73714286 0.74862856 0.7597143 1.0 63.5 70.0 0.94736844 0.9730674 1.0 0.47674417 0.57325584 0.6627907
3600 0.7438889 0.75527775 0.7658333 1.0 64.2 70.0 0.9516129 0.9844122 1.0 0.5 0.5848838 0.6744186
3700 0.7508108 0.76143247 0.77162164 1.0 64.4 71.0 0.9577465 0.98505056 1.0 0.5116279 0.5848837 0.6744186
3800 0.7571053 0.76736844 0.7773684 1.0 65.4 71.0 0.94285715 0.9852023 1.0 0.5116279 0.5953489 0.6976744
3900 0.7633333 0.7731282 0.7828205 1.0 65.8 71.0 0.94285715 0.9837764 1.0 0.5116279 0.5976744 0.6976744
4000 0.769 0.7785999 0.78825 1.0 66.0 71.0 0.94285715 0.98396176 1.0 0.5232558 0.5976744 0.6976744
4100 0.7743902 0.78375614 0.79341465 1.0 66.2 72.0 0.9577465 0.98719436 1.0 0.5232558 0.6034884 0.6976744
4200 0.7792857 0.7886667 0.7980952 1.0 66.0 71.0 0.9577465 0.9867733 1.0 0.5232558 0.60232556 0.6976744
4300 0.7844186 0.7933489 0.802093 1.0 65.8 70.0 0.9714286 0.99106187 1.0 0.5232558 0.5988372 0.68604654
4400 0.7893182 0.79795456 0.8065909 1.0 65.8 70.0 0.9714286 0.99415714 1.0 0.5232558 0.59883726 0.68604654
4500 0.79377776 0.80233324 0.8108889 1.0 65.8 70.0 0.9714286 0.9956277 1.0 0.5232558 0.59883726 0.68604654
4600 0.79826087 0.8065218 0.815 1.0 65.7 70.0 0.98550725 0.9985507 1.0 0.53488374 0.59883726 0.68604654
4700 0.8025532 0.8105957 0.81893617 1.0 65.9 70.0 0.98550725 0.9971221 1.0 0.53488374 0.6 0.68604654
4800 0.8066667 0.8144375 0.8227083 1.0 66.1 70.0 0.9705882 0.9940678 1.0 0.53488374 0.59883726 0.68604654
4900 0.81061226 0.8181429 0.82632655 1.0 66.0 70.0 0.983871 0.99546605 1.0 0.53488374 0.59883726 0.68604654
5000 0.8144 0.82171994 0.8298 1.0 66.0 70.0 0.98507464 0.9970789 1.0 0.53488374 0.6023256 0.68604654
5100 0.81803924 0.82509804 0.8331373 1.0 66.0 70.0 0.983871 0.99695855 1.0 0.53488374 0.6 0.68604654
5200 0.82153845 0.82846147 0.83634615 1.0 66.0 70.0 0.983871 0.99695855 1.0 0.53488374 0.6 0.68604654
5300 0.82490563 0.83164155 0.83943397 1.0 66.1 70.0 0.983871 0.99695855 1.0 0.53488374 0.6011628 0.68604654
5400 0.8281481 0.8346852 0.8424074 1.0 66.1 70.0 0.983871 0.99695855 1.0 0.53488374 0.6034884 0.68604654
5500 0.8312727 0.8376545 0.8452727 1.0 66.1 70.0 0.983871 0.99695855 1.0 0.53488374 0.6034884 0.68604654
5600 0.83428574 0.8405 0.8480357 1.0 66.1 70.0 0.983871 0.99695855 1.0 0.53488374 0.6034884 0.68604654
5700 0.83701754 0.8432456 0.85070175 1.0 66.1 70.0 0.98571426 0.9985714 1.0 0.53488374 0.6046512 0.68604654
5800 0.8398276 0.8459482 0.85327584 1.0 66.1 70.0 0.98571426 0.9985714 1.0 0.53488374 0.6046512 0.68604654
5900 0.84254235 0.8485424 0.8557627 1.0 66.1 70.0 0.98571426 0.9985714 1.0 0.53488374 0.6046512 0.68604654
6000 0.8451667 0.8510667 0.8581667 1.0 66.2 70.0 0.98550725 0.9971221 1.0 0.53488374 0.605814 0.68604654
6100 0.84770495 0.85347545 0.8604918 1.0 66.1 70.0 0.98550725 0.9985507 1.0 0.53488374 0.6034884 0.68604654
6200 0.8501613 0.8558388 0.86274195 1.0 66.1 70.0 0.98550725 0.9985507 1.0 0.53488374 0.6034884 0.68604654
6300 0.85253966 0.8580953 0.8649206 1.0 66.2 70.0 0.9848485 0.9970355 1.0 0.53488374 0.6034884 0.68604654
6400 0.85484374 0.8602969 0.8670313 1.0 66.1 70.0 0.98550725 0.9985507 1.0 0.53488374 0.6034884 0.68604654
6500 0.85707694 0.8624153 0.8690769 1.0 66.2 70.0 0.9714286 0.9971429 1.0 0.53488374 0.6034884 0.68604654
6600 0.85924244 0.86446965 0.8710606 1.0 66.3 70.0 0.983871 0.9969379 1.0 0.53488374 0.60465115 0.6976744
6700 0.86134326 0.8664776 0.87298506 1.0 66.2 70.0 0.98550725 0.9985507 1.0 0.53488374 0.60465115 0.6976744
6800 0.86338234 0.86841184 0.87485296 1.0 66.2 70.0 0.98550725 0.9985507 1.0 0.53488374 0.60465115 0.6976744
6900 0.86536235 0.8703043 0.87666667 1.0 66.2 70.0 0.98550725 0.9985507 1.0 0.53488374 0.60465115 0.6976744
7000 0.86714286 0.8721429 0.8784286 1.0 66.2 70.0 0.98550725 0.9985507 1.0 0.53488374 0.60465115 0.6976744
7100 0.8690141 0.8739155 0.88014084 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7200 0.87069446 0.875625 0.88180554 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7300 0.8724657 0.87731504 0.88342464 1.0 66.2 70.0 0.983871 0.99838716 1.0 0.53488374 0.6034884 0.6976744
7400 0.8741892 0.87895954 0.885 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7500 0.87586665 0.8805599 0.8865333 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7600 0.8775 0.8821316 0.8880263 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7700 0.8790909 0.8836363 0.88948053 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7800 0.88064104 0.8851282 0.89089745 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
7900 0.8821519 0.8865824 0.8922785 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8000 0.883625 0.8879999 0.893625 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8100 0.88506174 0.8893703 0.8949383 1.0 66.2 70.0 0.9852941 0.99852943 1.0 0.53488374 0.605814 0.6976744
8200 0.8864634 0.8907073 0.8962195 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8300 0.88771087 0.892012 0.8974699 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8400 0.8890476 0.89329755 0.89869046 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8500 0.89035296 0.894553 0.8998824 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8600 0.8916279 0.89577913 0.9010465 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8700 0.8928736 0.89697707 0.9021839 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8800 0.8940909 0.89814776 0.90329546 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
8900 0.8952809 0.8992922 0.90438205 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9000 0.89644444 0.9004111 0.90544444 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9100 0.8975824 0.9015055 0.90648353 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9200 0.89869565 0.9025652 0.9075 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9300 0.8997849 0.9036128 0.90849465 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9400 0.9008511 0.9046383 0.9094681 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9500 0.90189475 0.90564215 0.9104211 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9600 0.90291667 0.906625 0.9113542 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9700 0.90391755 0.90758765 0.91226804 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9800 0.904898 0.9085306 0.91316324 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
9900 0.9058586 0.90944445 0.9140404 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
10000 0.9068 0.91035 0.9149 1.0 66.1 70.0 1.0 1.0 1.0 0.53488374 0.6034884 0.6976744
