rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11111112 0.12727273 0.8372093 0.88837206 0.95348835
100 0.18 0.276 0.37 1.0 88.7 96.0 0.104166664 0.1310552 0.16470589 0.6627907 0.82906973 0.95348835
200 0.235 0.303 0.335 1.0 86.0 95.0 0.08421053 0.14454646 0.19767442 0.627907 0.7488372 0.8488372
300 0.28666666 0.32333332 0.35333332 1.0 74.4 81.0 0.10769231 0.1472685 0.2278481 0.55813956 0.6697674 0.74418604
400 0.3175 0.34175 0.3725 1.0 64.9 73.0 0.10958904 0.15385213 0.22222222 0.47674417 0.6046511 0.76744187
500 0.338 0.357 0.396 1.0 56.6 67.0 0.11940298 0.17094228 0.2264151 0.41860464 0.5139535 0.6627907
600 0.35833332 0.3746667 0.41 1.0 49.9 54.0 0.13207547 0.18670526 0.23529412 0.3488372 0.44534883 0.5232558
700 0.38 0.3962857 0.42142856 1.0 48.4 57.0 0.18181819 0.21383706 0.25 0.3372093 0.43953484 0.53488374
800 0.4025 0.41950002 0.445 1.0 46.2 57.0 0.2 0.2420063 0.33333334 0.3139535 0.3837209 0.4883721
900 0.42222223 0.4374444 0.4722222 1.0 42.8 49.0 0.23255815 0.29142785 0.3265306 0.26744187 0.36627904 0.4651163
1000 0.433 0.4558 0.49 1.0 42.6 50.0 0.2857143 0.32675898 0.40625 0.26744187 0.34767443 0.47674417
1100 0.45090908 0.47363633 0.5 1.0 42.2 48.0 0.36363637 0.3984557 0.4871795 0.23255815 0.35697675 0.45348838
1200 0.47833332 0.4938333 0.52 1.0 44.2 51.0 0.3488372 0.43783736 0.51111114 0.27906978 0.36279067 0.4651163
1300 0.49384615 0.51123077 0.53615385 1.0 44.3 53.0 0.3409091 0.487019 0.6111111 0.29069766 0.37558135 0.43023255
1400 0.5064286 0.5264286 0.5507143 1.0 45.6 57.0 0.48 0.522325 0.5555556 0.3488372 0.39186043 0.5
1500 0.524 0.54113334 0.564 1.0 44.5 51.0 0.50980395 0.5543456 0.6 0.3488372 0.37906975 0.44186047
1600 0.539375 0.5558125 0.583125 1.0 43.4 47.0 0.5681818 0.62343967 0.6888889 0.3139535 0.3697674 0.5
1700 0.55764705 0.57105875 0.5952941 1.0 45.5 51.0 0.5652174 0.6541725 0.73333335 0.3488372 0.40465117 0.4883721
1800 0.5733333 0.5862222 0.6072222 1.0 45.2 52.0 0.625 0.7040461 0.78571427 0.3139535 0.39767438 0.4651163
1900 0.5868421 0.5987894 0.6173684 1.0 44.3 51.0 0.6511628 0.74443686 0.82978725 0.30232558 0.3965116 0.4883721
2000 0.6005 0.61149997 0.6305 1.0 45.4 57.0 0.6666667 0.7781075 0.86 0.29069766 0.40232557 0.54651165
2100 0.61333334 0.62338096 0.6409524 1.0 46.5 56.0 0.7037037 0.790781 0.84313726 0.30232558 0.40813953 0.53488374
2200 0.62545455 0.63477266 0.6504545 1.0 47.5 57.0 0.71929824 0.813589 0.8979592 0.3255814 0.42906976 0.5232558
2300 0.6369565 0.6461739 0.66130435 1.0 49.5 56.0 0.7358491 0.82529056 0.9411765 0.3139535 0.4488372 0.55813956
2400 0.64666665 0.65704167 0.67125 1.0 48.9 57.0 0.74509805 0.8574106 0.94871795 0.30232558 0.4395349 0.5813953
2500 0.6568 0.66772 0.6816 1.0 48.1 57.0 0.8125 0.8887788 0.94 0.29069766 0.44418603 0.59302324
2600 0.6676923 0.6774231 0.69153845 1.0 49.1 57.0 0.78846157 0.9068686 0.96153843 0.30232558 0.45697674 0.5813953
2700 0.67777777 0.68725926 0.7003704 1.0 50.0 55.0 0.76363635 0.9233018 0.9777778 0.3372093 0.46395344 0.5697674
2800 0.6857143 0.69650006 0.7103571 1.0 51.5 57.0 0.84313726 0.9131252 1.0 0.3604651 0.48023254 0.55813956
2900 0.69310343 0.7052413 0.71896553 1.0 52.0 56.0 0.84782606 0.93231314 1.0 0.39534885 0.49069768 0.5697674
