rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.10969697 0.11111111 0.8372093 0.8930233 0.95348835
100 0.21 0.313 0.37 1.0 83.8 91.0 0.101265825 0.1190234 0.15384616 0.68604654 0.8139536 0.90697676
200 0.285 0.35999995 0.4 1.0 75.5 83.0 0.10666667 0.12676921 0.17948718 0.5116279 0.66976744 0.74418604
300 0.35 0.40699998 0.44 1.0 61.3 69.0 0.11594203 0.14908367 0.18461539 0.45348838 0.57093024 0.7209302
400 0.3975 0.45325002 0.495 1.0 46.3 53.0 0.13333334 0.1738092 0.23809524 0.29069766 0.41279072 0.5
500 0.454 0.51240003 0.544 1.0 35.5 41.0 0.14634146 0.21540602 0.27272728 0.22093023 0.29883718 0.37209302
600 0.51666665 0.5593334 0.5883333 1.0 26.8 32.0 0.1875 0.25747332 0.34615386 0.1627907 0.23255816 0.30232558
700 0.58 0.59914285 0.61714286 1.0 20.1 26.0 0.25 0.3444507 0.46153846 0.13953489 0.1755814 0.23255815
800 0.61875 0.63525 0.65375 1.0 15.0 20.0 0.36842105 0.44917244 0.6 0.10465116 0.14069769 0.19767442
900 0.65 0.66844445 0.6844444 1.0 11.8 16.0 0.46153846 0.5689744 0.75 0.08139535 0.10813954 0.15116279
1000 0.679 0.6969 0.714 1.0 9.5 13.0 0.46153846 0.6889208 0.875 0.069767445 0.09186046 0.12790698
1100 0.70363635 0.722 0.7390909 1.0 8.0 10.0 0.6 0.7967063 1.0 0.069767445 0.08488371 0.10465116
1200 0.7275 0.7443333 0.7608333 1.0 7.4 9.0 0.6666667 0.8593254 1.0 0.069767445 0.07790698 0.093023255
1300 0.7476923 0.76315385 0.7792308 1.0 7.1 9.0 0.6666667 0.88253963 1.0 0.069767445 0.07674419 0.093023255
1400 0.765 0.7796429 0.795 1.0 6.8 9.0 0.6666667 0.90238106 1.0 0.069767445 0.07325582 0.093023255
1500 0.78066665 0.794 0.80866665 1.0 6.6 8.0 0.75 0.92142856 1.0 0.069767445 0.07441861 0.093023255
1600 0.79375 0.80656254 0.820625 1.0 6.5 8.0 0.75 0.93571436 1.0 0.069767445 0.07209303 0.093023255
1700 0.8041176 0.8177059 0.83117646 1.0 6.3 8.0 0.75 0.96071434 1.0 0.069767445 0.07209303 0.093023255
1800 0.815 0.82777774 0.84055555 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1900 0.82473683 0.8366841 0.84894735 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.8335 0.84485006 0.8565 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.8414286 0.8522382 0.86333334 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.8486364 0.8589546 0.86954546 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.8552174 0.8650869 0.8752174 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.86125 0.87070835 0.8804167 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.8668 0.87587994 0.8852 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.8719231 0.88065386 0.88961536 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.87666667 0.885074 0.8937037 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.88107145 0.88917863 0.8975 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.8851724 0.893 0.9010345 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.889 0.8965667 0.90433335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.8925806 0.8999031 0.9074194 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.8959375 0.90303123 0.9103125 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
