rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.11171718 0.12727273 0.8372093 0.88720924 0.95348835
100 0.18 0.32900003 0.4 1.0 84.8 92.0 0.086419754 0.12793611 0.15 0.75581396 0.833721 0.89534885
200 0.25 0.35550004 0.445 1.0 75.4 81.0 0.10810811 0.13796265 0.1625 0.54651165 0.67790693 0.7906977
300 0.32 0.402 0.47 1.0 60.6 67.0 0.121212125 0.16101494 0.19354838 0.4883721 0.5697674 0.6976744
400 0.3875 0.45074996 0.5 1.0 45.7 53.0 0.13207547 0.19375792 0.24390244 0.25581396 0.4034884 0.53488374
500 0.46 0.49980003 0.53 1.0 33.8 41.0 0.16666667 0.23274472 0.3 0.20930232 0.2755814 0.43023255
600 0.50666666 0.5475 0.5733333 1.0 24.5 34.0 0.23076923 0.30251926 0.4117647 0.08139535 0.20813954 0.26744187
700 0.57 0.59485716 0.61714286 1.0 18.2 26.0 0.2857143 0.38904053 0.5 0.11627907 0.16162792 0.23255815
800 0.60875 0.63562495 0.6525 1.0 14.1 18.0 0.375 0.47131315 0.5833333 0.093023255 0.13139537 0.1744186
900 0.64555556 0.6702222 0.69 1.0 11.6 16.0 0.42857143 0.5715644 0.7777778 0.08139535 0.10813953 0.15116279
1000 0.678 0.7001 0.717 1.0 10.5 13.0 0.46153846 0.61492425 0.875 0.08139535 0.09651162 0.12790698
1100 0.70181817 0.7244545 0.7409091 1.0 9.2 11.0 0.54545456 0.6899134 0.85714287 0.069767445 0.090697676 0.12790698
1200 0.72333336 0.74591666 0.76166666 1.0 8.3 10.0 0.6 0.7665873 1.0 0.069767445 0.08488372 0.11627907
1300 0.74 0.7633077 0.7776923 1.0 7.2 8.0 0.75 0.86964285 1.0 0.069767445 0.07906978 0.093023255
1400 0.75857145 0.77992857 0.7935714 1.0 6.9 8.0 0.75 0.8928572 1.0 0.069767445 0.07906978 0.093023255
1500 0.77466667 0.7943333 0.806 1.0 6.6 8.0 0.75 0.93214285 1.0 0.069767445 0.07790698 0.093023255
1600 0.7875 0.8069375 0.8175 1.0 6.4 8.0 0.75 0.975 1.0 0.069767445 0.07325582 0.093023255
